well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A,1,0.311,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,0,BPH3523,2,VSS-327
A,1,0.293,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,10,BPH3523,2,VSS-327
A,1,0.301,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,20,BPH3523,2,VSS-327
A,1,0.295,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,30,BPH3523,2,VSS-327
A,1,0.294,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,40,BPH3523,2,VSS-327
A,1,0.291,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,50,BPH3523,2,VSS-327
A,1,0.29,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,60,BPH3523,2,VSS-327
A,1,0.295,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,70,BPH3523,2,VSS-327
A,1,0.29,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,80,BPH3523,2,VSS-327
A,1,0.288,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,90,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,100,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,110,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,120,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,130,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,140,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,150,BPH3523,2,VSS-327
A,1,0.288,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,160,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,170,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,180,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,190,BPH3523,2,VSS-327
A,1,0.288,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,200,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,210,BPH3523,2,VSS-327
A,1,0.288,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,220,BPH3523,2,VSS-327
A,1,0.313,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,230,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,240,BPH3523,2,VSS-327
A,1,0.287,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,250,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,260,BPH3523,2,VSS-327
A,1,0.291,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,270,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,280,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,290,BPH3523,2,VSS-327
A,1,0.288,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,300,BPH3523,2,VSS-327
A,1,0.282,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,310,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,320,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,330,BPH3523,2,VSS-327
A,1,0.286,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,340,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,350,BPH3523,2,VSS-327
A,1,0.284,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,360,BPH3523,2,VSS-327
A,1,0.282,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,370,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,380,BPH3523,2,VSS-327
A,1,0.283,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,390,BPH3523,2,VSS-327
A,1,0.285,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,400,BPH3523,2,VSS-327
A,1,0.281,A01,FALSE,exp200822,GP5,exp200822_GP5_A01,410,BPH3523,2,VSS-327
