well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
B,2,5.28,B02,TRUE,exp200226,P2,exp200226_P2_B02,530,TOX-4,3,CONTROL
B,2,5.379,B02,TRUE,exp200226,P2,exp200226_P2_B02,540,TOX-4,3,CONTROL
B,2,5.397,B02,TRUE,exp200226,P2,exp200226_P2_B02,550,TOX-4,3,CONTROL
B,2,5.515,B02,TRUE,exp200226,P2,exp200226_P2_B02,560,TOX-4,3,CONTROL
B,2,5.562,B02,TRUE,exp200226,P2,exp200226_P2_B02,570,TOX-4,3,CONTROL
B,2,5.654,B02,TRUE,exp200226,P2,exp200226_P2_B02,580,TOX-4,3,CONTROL
B,2,5.718,B02,TRUE,exp200226,P2,exp200226_P2_B02,590,TOX-4,3,CONTROL
B,2,5.77,B02,TRUE,exp200226,P2,exp200226_P2_B02,600,TOX-4,3,CONTROL
B,2,5.841,B02,TRUE,exp200226,P2,exp200226_P2_B02,610,TOX-4,3,CONTROL
B,2,5.869,B02,TRUE,exp200226,P2,exp200226_P2_B02,620,TOX-4,3,CONTROL
B,2,5.929,B02,TRUE,exp200226,P2,exp200226_P2_B02,630,TOX-4,3,CONTROL
B,2,5.976,B02,TRUE,exp200226,P2,exp200226_P2_B02,640,TOX-4,3,CONTROL
B,2,6.012,B02,TRUE,exp200226,P2,exp200226_P2_B02,650,TOX-4,3,CONTROL
B,2,6.047,B02,TRUE,exp200226,P2,exp200226_P2_B02,660,TOX-4,3,CONTROL
B,2,6.065,B02,TRUE,exp200226,P2,exp200226_P2_B02,670,TOX-4,3,CONTROL
B,2,6.081,B02,TRUE,exp200226,P2,exp200226_P2_B02,680,TOX-4,3,CONTROL
B,2,6.087,B02,TRUE,exp200226,P2,exp200226_P2_B02,690,TOX-4,3,CONTROL
B,2,6.138,B02,TRUE,exp200226,P2,exp200226_P2_B02,700,TOX-4,3,CONTROL
B,2,6.161,B02,TRUE,exp200226,P2,exp200226_P2_B02,710,TOX-4,3,CONTROL
B,2,6.162,B02,TRUE,exp200226,P2,exp200226_P2_B02,720,TOX-4,3,CONTROL
B,2,6.22,B02,TRUE,exp200226,P2,exp200226_P2_B02,730,TOX-4,3,CONTROL
B,2,6.233,B02,TRUE,exp200226,P2,exp200226_P2_B02,740,TOX-4,3,CONTROL
B,2,6.124,B02,TRUE,exp200226,P2,exp200226_P2_B02,750,TOX-4,3,CONTROL
B,2,6.221,B02,TRUE,exp200226,P2,exp200226_P2_B02,760,TOX-4,3,CONTROL
B,2,6.233,B02,TRUE,exp200226,P2,exp200226_P2_B02,770,TOX-4,3,CONTROL
B,2,6.278,B02,TRUE,exp200226,P2,exp200226_P2_B02,780,TOX-4,3,CONTROL
B,2,6.24,B02,TRUE,exp200226,P2,exp200226_P2_B02,790,TOX-4,3,CONTROL
B,2,6.288,B02,TRUE,exp200226,P2,exp200226_P2_B02,800,TOX-4,3,CONTROL
B,2,6.318,B02,TRUE,exp200226,P2,exp200226_P2_B02,810,TOX-4,3,CONTROL
B,2,6.287,B02,TRUE,exp200226,P2,exp200226_P2_B02,820,TOX-4,3,CONTROL
B,2,6.292,B02,TRUE,exp200226,P2,exp200226_P2_B02,830,TOX-4,3,CONTROL
B,2,6.301,B02,TRUE,exp200226,P2,exp200226_P2_B02,840,TOX-4,3,CONTROL
B,2,6.301,B02,TRUE,exp200226,P2,exp200226_P2_B02,850,TOX-4,3,CONTROL
B,2,6.301,B02,TRUE,exp200226,P2,exp200226_P2_B02,860,TOX-4,3,CONTROL
B,2,6.317,B02,TRUE,exp200226,P2,exp200226_P2_B02,870,TOX-4,3,CONTROL
B,2,6.244,B02,TRUE,exp200226,P2,exp200226_P2_B02,880,TOX-4,3,CONTROL
B,2,6.307,B02,TRUE,exp200226,P2,exp200226_P2_B02,890,TOX-4,3,CONTROL
B,2,6.341,B02,TRUE,exp200226,P2,exp200226_P2_B02,900,TOX-4,3,CONTROL
B,2,6.299,B02,TRUE,exp200226,P2,exp200226_P2_B02,910,TOX-4,3,CONTROL
B,2,6.286,B02,TRUE,exp200226,P2,exp200226_P2_B02,920,TOX-4,3,CONTROL
B,2,6.305,B02,TRUE,exp200226,P2,exp200226_P2_B02,930,TOX-4,3,CONTROL
B,2,6.31,B02,TRUE,exp200226,P2,exp200226_P2_B02,940,TOX-4,3,CONTROL
B,2,6.271,B02,TRUE,exp200226,P2,exp200226_P2_B02,950,TOX-4,3,CONTROL
B,2,6.251,B02,TRUE,exp200226,P2,exp200226_P2_B02,960,TOX-4,3,CONTROL
B,2,6.271,B02,TRUE,exp200226,P2,exp200226_P2_B02,970,TOX-4,3,CONTROL
B,2,6.297,B02,TRUE,exp200226,P2,exp200226_P2_B02,980,TOX-4,3,CONTROL
B,2,6.327,B02,TRUE,exp200226,P2,exp200226_P2_B02,990,TOX-4,3,CONTROL
B,2,6.262,B02,TRUE,exp200226,P2,exp200226_P2_B02,1000,TOX-4,3,CONTROL
B,2,6.274,B02,TRUE,exp200226,P2,exp200226_P2_B02,1010,TOX-4,3,CONTROL
B,2,6.321,B02,TRUE,exp200226,P2,exp200226_P2_B02,1020,TOX-4,3,CONTROL
B,2,6.262,B02,TRUE,exp200226,P2,exp200226_P2_B02,1030,TOX-4,3,CONTROL
B,2,6.358,B02,TRUE,exp200226,P2,exp200226_P2_B02,1040,TOX-4,3,CONTROL
B,2,6.301,B02,TRUE,exp200226,P2,exp200226_P2_B02,1050,TOX-4,3,CONTROL
B,2,6.374,B02,TRUE,exp200226,P2,exp200226_P2_B02,1060,TOX-4,3,CONTROL
B,2,6.399,B02,TRUE,exp200226,P2,exp200226_P2_B02,1070,TOX-4,3,CONTROL
B,2,6.371,B02,TRUE,exp200226,P2,exp200226_P2_B02,1080,TOX-4,3,CONTROL
B,2,6.328,B02,TRUE,exp200226,P2,exp200226_P2_B02,1090,TOX-4,3,CONTROL
B,2,6.401,B02,TRUE,exp200226,P2,exp200226_P2_B02,1100,TOX-4,3,CONTROL
B,2,6.452,B02,TRUE,exp200226,P2,exp200226_P2_B02,1110,TOX-4,3,CONTROL
B,2,6.398,B02,TRUE,exp200226,P2,exp200226_P2_B02,1120,TOX-4,3,CONTROL
B,2,6.41,B02,TRUE,exp200226,P2,exp200226_P2_B02,1130,TOX-4,3,CONTROL
B,2,6.529,B02,TRUE,exp200226,P2,exp200226_P2_B02,1140,TOX-4,3,CONTROL
B,2,6.326,B02,TRUE,exp200226,P2,exp200226_P2_B02,1150,TOX-4,3,CONTROL
B,3,0.004,B03,TRUE,exp200226,P2,exp200226_P2_B03,0,BPH2904,1,VAN-160
B,3,0.002,B03,TRUE,exp200226,P2,exp200226_P2_B03,10,BPH2904,1,VAN-160
B,3,-3.33333e-4,B03,TRUE,exp200226,P2,exp200226_P2_B03,20,BPH2904,1,VAN-160
B,3,4.66667e-4,B03,TRUE,exp200226,P2,exp200226_P2_B03,30,BPH2904,1,VAN-160
B,3,-0.002,B03,TRUE,exp200226,P2,exp200226_P2_B03,40,BPH2904,1,VAN-160
B,3,-0.002,B03,TRUE,exp200226,P2,exp200226_P2_B03,50,BPH2904,1,VAN-160
