PAIR_ID	n_snippy	n_noref	n_mask
GP-0265	7	5	5
GP-0266	7	5	5
GP-0267	2	0	0
GP-0268	6	5	5
GP-0269	0	0	0
GP-0270	3	0	0
GP-0271	3	1	0
GP-0272	3	1	0
GP-0273	4	0	0
GP-0274	4	0	0
GP-0275	4	0	0
GP-0276	5	1	0
GP-0277	1	0	0
GP-0278	3	2	1
GP-0279	4	2	1
GP-0280	4	2	1
GP-0281	13	11	11
GP-0282	18	16	16
GP-0283	1	0	0
GP-0284	3	2	1
GP-0285	3	2	1
GP-0286	3	2	2
GP-0287	12	11	11
GP-0288	17	16	16
GP-0289	3	2	1
GP-0290	2	1	1
GP-0291	5	3	2
GP-0292	5	4	3
GP-0293	14	13	12
GP-0294	19	18	17
GP-0295	2	2	1
GP-0296	3	3	1
GP-0297	3	3	2
GP-0298	3	3	3
GP-0299	13	13	12
GP-0300	18	18	17
GP-0301	3	1	1
GP-0302	3	2	2
GP-0303	5	4	3
GP-0304	6	4	3
GP-0305	15	13	13
GP-0306	20	18	18
GP-0307	13	11	11
GP-0308	12	11	11
GP-0309	14	13	12
GP-0310	15	13	12
GP-0311	15	13	13
GP-0312	15	13	13
GP-0313	455	454	453
GP-0314	578	572	569
GP-0315	41	35	16
GP-0316	40	35	16
GP-0317	42	37	17
GP-0318	43	37	17
GP-0319	43	37	18
GP-0320	38	32	13
GP-0321	444	441	440
GP-0322	451	448	446
GP-0323	450	447	445
GP-0324	0	0	0
GP-0325	0	0	0
GP-0326	0	0	0
GP-0327	0	0	0
GP-0328	0	0	0
GP-0329	0	0	0
GP-0330	0	0	0
GP-0331	0	0	0
GP-0332	83	72	60
GP-0333	85	72	60
GP-0334	67	56	46
GP-0335	64	51	38
GP-0336	67	55	45
GP-0337	71	59	45
GP-0338	65	52	41
GP-0339	92	79	67
GP-0340	73	60	47
GP-0341	74	60	45
GP-0342	71	57	43
GP-0343	70	58	45
GP-0344	84	72	58
GP-0345	76	64	50
GP-0346	68	55	45
GP-0347	86	76	69
GP-0348	74	60	49
GP-0349	97	84	73
GP-0350	78	66	53
GP-0351	65	53	40
GP-0352	73	60	52
GP-0353	313	300	292
GP-0354	92	78	63
GP-0355	60	48	43
GP-0356	72	58	45
GP-0357	67	53	41
GP-0358	87	74	68
GP-0359	63	52	47
GP-0360	57	45	38
GP-0361	60	48	41
GP-0362	88	76	68
GP-0363	67	55	44
GP-0364	54	42	36
GP-0365	76	63	51
GP-0366	63	50	40
GP-0367	88	77	68
GP-0368	9	8	6
GP-0369	9	8	7
GP-0370	37	36	34
GP-0371	80	74	70
GP-0372	15	10	8
GP-0373	8	2	2
GP-0374	9	3	3
GP-0375	15	9	9
GP-0376	10	5	3
GP-0377	64	59	55
GP-0378	58	54	51
GP-0379	67	61	55
GP-0380	67	62	57
GP-0381	73	67	62
GP-0382	72	66	62
GP-0383	68	62	58
GP-0384	69	63	59
GP-0385	70	66	62
GP-0386	65	59	57
GP-0387	68	62	59
GP-0388	75	69	66
GP-0389	71	65	62
GP-0390	71	65	62
GP-0391	66	60	56
GP-0392	66	60	58
