PAIR_ID	n_snippy	n_noref	n_mask
GP-1159	65	34	24
GP-1160	60	29	19
GP-1161	76	46	34
GP-1162	59	30	20
GP-1163	64	33	24
GP-1164	74	67	64
GP-1165	61	54	45
GP-1166	85	76	73
GP-1167	75	68	65
GP-1168	78	69	66
GP-1169	65	60	57
GP-1170	65	60	59
GP-1171	69	64	60
GP-1172	67	61	59
GP-1173	32	25	22
GP-1174	41	31	25
GP-1175	33	26	23
GP-1176	49	42	35
GP-1177	38	29	25
GP-1178	32	25	20
GP-1179	34	27	19
GP-1180	29	20	17
GP-1181	31	22	18
GP-1182	61	55	47
GP-1183	44	36	34
GP-1184	27	19	17
GP-1185	30	23	17
GP-1186	49	42	36
GP-1187	33	24	20
GP-1188	80	72	70
GP-1189	26	19	15
GP-1190	53	46	43
GP-1191	53	48	43
GP-1192	68	62	53
GP-1193	32	27	22
GP-1194	31	24	18
GP-1195	29	22	16
GP-1196	17	11	10
GP-1197	46	39	37
GP-1198	26	18	14
GP-1199	28	20	17
GP-1200	27	19	18
GP-1201	28	22	18
GP-1202	22	16	14
GP-1203	75	69	68
GP-1204	27	21	16
GP-1205	30	23	18
GP-1206	78	67	64
GP-1207	63	52	46
GP-1208	58	47	45
GP-1209	84	72	67
GP-1210	71	59	59
GP-1211	73	61	62
GP-1212	76	64	63
GP-1213	75	64	63
GP-1214	26	16	9
GP-1215	44	32	27
GP-1216	41	30	24
GP-1217	55	43	35
GP-1218	47	34	27
GP-1219	39	26	19
GP-1220	22	9	4
GP-1221	26	14	8
GP-1222	26	13	6
GP-1223	68	54	45
GP-1224	55	42	35
GP-1225	36	22	19
GP-1226	20	8	6
GP-1227	53	40	37
GP-1228	27	14	8
GP-1229	63	50	44
GP-1230	21	9	6
GP-1231	56	46	44
GP-1232	62	50	43
GP-1233	69	59	55
GP-1234	35	26	24
GP-1235	22	9	7
GP-1236	24	12	7
GP-1237	32	20	18
GP-1238	59	45	41
GP-1239	30	18	15
GP-1240	36	24	19
GP-1241	19	7	7
GP-1242	22	10	7
GP-1243	27	16	15
GP-1244	54	43	42
GP-1245	21	11	7
GP-1246	21	9	8
GP-1247	97	71	59
GP-1248	81	53	41
GP-1249	71	47	43
GP-1250	96	70	65
GP-1251	85	59	58
GP-1252	88	64	62
GP-1253	30	9	8
GP-1254	54	30	24
GP-1255	49	23	21
GP-1256	64	41	35
GP-1257	57	31	25
GP-1258	45	19	17
GP-1259	34	6	3
GP-1260	33	7	5
GP-1261	34	8	5
GP-1262	79	57	47
GP-1263	62	37	33
GP-1264	42	17	16
GP-1265	36	11	5
GP-1266	64	38	35
GP-1267	36	11	7
GP-1268	74	50	42
GP-1269	27	5	4
GP-1270	63	43	42
GP-1271	65	42	40
GP-1272	77	56	53
GP-1273	41	21	20
GP-1274	28	7	6
GP-1275	30	5	4
GP-1276	44	19	16
GP-1277	61	39	38
GP-1278	32	13	12
GP-1279	40	17	16
GP-1280	27	7	6
GP-1281	31	9	7
GP-1282	40	15	14
GP-1283	68	43	39
GP-1284	27	5	4
GP-1285	31	8	7
GP-1286	104	84	61
GP-1287	74	56	45
GP-1288	73	51	45
GP-1289	90	69	63
GP-1290	93	75	67
GP-1291	75	58	58
GP-1292	79	61	59
GP-1293	80	62	61
GP-1294	81	62	60
GP-1295	33	14	10
GP-1296	50	30	25
GP-1297	49	30	24
GP-1298	61	42	34
GP-1299	56	36	26
GP-1300	49	27	19
GP-1301	35	15	9
GP-1302	35	14	8
GP-1303	32	12	7
GP-1304	77	57	46
GP-1305	62	42	37
GP-1306	45	26	18
GP-1307	27	9	7
GP-1308	62	41	35
GP-1309	34	14	9
GP-1310	75	56	44
GP-1311	29	10	4
GP-1312	67	48	44
GP-1313	67	48	43
GP-1314	74	55	53
GP-1315	32	18	18
GP-1316	28	9	7
GP-1317	23	6	5
GP-1318	44	22	17
GP-1319	60	43	39
GP-1320	38	17	13
GP-1321	36	18	16
GP-1322	25	8	7
GP-1323	32	14	7
GP-1324	35	17	15
GP-1325	62	45	42
GP-1326	24	7	4
GP-1327	27	11	7
GP-1328	103	74	61
GP-1329	88	59	47
GP-1330	77	49	45
GP-1331	96	68	60
GP-1332	99	66	57
GP-1333	101	67	59
GP-1334	104	69	60
GP-1335	105	69	60
GP-1336	39	8	3
GP-1337	65	29	24
GP-1338	62	28	21
GP-1339	77	44	34
GP-1340	76	39	25
GP-1341	56	24	17
GP-1342	48	15	7
GP-1343	57	19	7
GP-1344	58	21	6
GP-1345	95	58	44
GP-1346	76	43	34
GP-1347	64	27	16
GP-1348	43	10	1
GP-1349	78	41	35
GP-1350	44	9	2
GP-1351	93	57	41
GP-1352	50	13	6
GP-1353	83	53	44
GP-1354	85	49	41
GP-1355	84	56	53
GP-1356	46	20	19
GP-1357	46	10	2
GP-1358	38	8	4
GP-1359	55	25	17
GP-1360	76	44	39
GP-1361	52	18	12
GP-1362	53	21	17
GP-1363	42	8	1
GP-1364	48	14	2
GP-1365	51	17	13
GP-1366	77	43	39
GP-1367	41	11	4
GP-1368	44	9	3
GP-1369	152	111	89
GP-1370	105	65	58
GP-1371	112	67	58
GP-1372	121	79	68
GP-1373	126	83	70
GP-1374	97	62	61
GP-1375	106	67	61
GP-1376	111	65	64
GP-1377	103	67	63
GP-1378	86	49	47
GP-1379	91	47	39
GP-1380	100	56	49
GP-1381	89	44	38
GP-1382	99	52	40
GP-1383	104	59	47
GP-1384	104	60	48
GP-1385	104	55	47
GP-1386	100	55	45
GP-1387	100	53	46
GP-1388	103	57	51
GP-1389	93	49	43
GP-1390	79	43	42
GP-1391	102	58	50
GP-1392	99	55	47
GP-1393	101	57	44
GP-1394	88	47	42
GP-1395	83	48	48
GP-1396	95	54	46
GP-1397	93	58	56
GP-1398	75	43	43
GP-1399	86	46	45
GP-1400	83	44	40
GP-1401	84	45	42
GP-1402	80	46	40
GP-1403	83	47	43
GP-1404	84	48	44
GP-1405	89	50	45
GP-1406	122	79	72
GP-1407	84	46	46
GP-1408	78	41	40
GP-1409	80	45	43
GP-1410	79	41	41
GP-1411	88	50	45
GP-1412	129	99	78
GP-1413	95	67	48
GP-1414	90	63	51
GP-1415	73	46	39
GP-1416	71	41	33
GP-1417	80	49	39
GP-1418	79	51	42
GP-1419	74	42	33
GP-1420	74	44	36
GP-1421	78	47	38
GP-1422	81	49	38
GP-1423	78	48	35
GP-1424	78	46	37
GP-1425	95	67	54
GP-1426	75	43	34
GP-1427	75	46	33
GP-1428	84	52	44
GP-1429	81	51	39
GP-1430	94	62	51
GP-1431	61	36	31
GP-1432	75	53	49
GP-1433	82	53	49
GP-1434	91	66	61
GP-1435	59	37	35
GP-1436	67	40	36
GP-1437	65	39	31
GP-1438	64	37	33
GP-1439	76	51	45
GP-1440	62	34	29
GP-1441	58	33	32
GP-1442	64	36	35
GP-1443	65	38	34
GP-1444	56	33	29
GP-1445	88	58	48
GP-1446	67	41	32
GP-1447	65	38	34
GP-1448	81	33	22
GP-1449	77	36	24
GP-1450	93	54	34
GP-1451	107	69	52
GP-1452	97	55	48
GP-1453	122	81	60
GP-1454	131	87	66
GP-1455	109	71	57
GP-1456	113	73	58
GP-1457	114	73	60
GP-1458	112	73	60
GP-1459	72	35	20
GP-1460	85	42	26
GP-1461	77	35	21
GP-1462	92	52	31
GP-1463	81	34	26
GP-1464	82	37	18
GP-1465	86	40	20
GP-1466	79	36	18
GP-1467	80	36	17
GP-1468	81	38	16
GP-1469	106	65	43
GP-1470	94	52	35
GP-1471	87	46	40
GP-1472	94	50	34
GP-1473	105	59	44
GP-1474	107	63	43
GP-1475	66	29	13
GP-1476	90	56	41
GP-1477	333	295	283
GP-1478	105	68	52
GP-1479	58	31	18
GP-1480	75	34	19
GP-1481	62	27	13
GP-1482	67	31	18
GP-1483	88	50	36
GP-1484	67	27	13
GP-1485	66	28	16
GP-1486	73	31	17
GP-1487	73	33	18
GP-1488	69	28	13
GP-1489	96	56	40
GP-1490	60	26	13
GP-1491	69	33	19
GP-1492	103	66	34
GP-1493	140	101	76
GP-1494	136	97	72
GP-1495	145	105	63
GP-1496	112	78	56
GP-1497	117	79	58
GP-1498	122	85	61
GP-1499	126	90	58
GP-1500	70	33	4
GP-1501	99	59	27
GP-1502	93	53	22
GP-1503	110	70	34
GP-1504	122	81	49
GP-1505	92	53	18
GP-1506	82	42	8
GP-1507	80	41	7
GP-1508	81	41	7
GP-1509	74	34	1
GP-1510	123	85	45
GP-1511	104	64	34
GP-1512	106	66	41
GP-1513	109	69	35
GP-1514	72	32	3
GP-1515	121	80	41
GP-1516	72	32	5
GP-1517	90	57	42
GP-1518	322	286	257
GP-1519	107	76	54
GP-1520	63	34	22
GP-1521	62	29	3
GP-1522	65	31	5
GP-1523	81	44	18
GP-1524	101	64	38
GP-1525	76	40	13
GP-1526	78	43	17
GP-1527	59	22	1
GP-1528	60	26	2
GP-1529	66	35	13
GP-1530	102	64	39
GP-1531	66	29	5
GP-1532	56	22	2
GP-1533	129	92	75
GP-1534	88	50	41
GP-1535	92	53	48
GP-1536	114	73	63
GP-1537	115	78	68
GP-1538	106	67	61
GP-1539	104	66	61
GP-1540	110	71	64
GP-1541	106	70	64
GP-1542	245	207	199
GP-1543	75	40	36
GP-1544	73	35	31
GP-1545	82	41	35
GP-1546	87	48	39
GP-1547	78	36	28
GP-1548	87	43	33
GP-1549	86	46	37
GP-1550	90	43	36
GP-1551	88	42	34
GP-1552	79	38	33
GP-1553	105	61	52
GP-1554	85	44	40
GP-1555	81	39	33
GP-1556	78	41	34
GP-1557	86	47	36
GP-1558	100	54	47
GP-1559	79	39	32
GP-1560	85	49	46
GP-1561	92	50	45
GP-1562	96	65	58
GP-1563	62	34	32
GP-1564	80	39	35
GP-1565	72	36	32
GP-1566	74	37	32
GP-1567	82	45	41
GP-1568	66	31	29
GP-1569	68	34	32
GP-1570	74	38	33
GP-1571	136	92	75
GP-1572	74	40	35
GP-1573	70	34	31
GP-1574	87	51	45
GP-1575	76	37	30
GP-1576	74	39	35
GP-1577	71	47	38
GP-1578	107	85	80
GP-1579	100	77	74
GP-1580	96	72	63
GP-1581	84	62	57
GP-1582	88	65	59
GP-1583	86	64	60
GP-1584	87	64	59
GP-1585	31	10	5
GP-1586	56	32	26
GP-1587	52	29	23
GP-1588	68	46	34
GP-1589	78	55	51
GP-1590	49	26	19
GP-1591	36	13	9
GP-1592	37	14	8
GP-1593	35	13	8
GP-1594	28	5	2
GP-1595	84	61	47
GP-1596	62	39	35
GP-1597	70	47	42
GP-1598	28	4	2
GP-1599	68	45	38
GP-1600	72	48	44
GP-1601	33	10	6
GP-1602	70	47	43
GP-1603	291	267	259
GP-1604	84	61	53
GP-1605	49	27	22
GP-1606	31	7	4
GP-1607	36	12	6
GP-1608	49	26	20
GP-1609	69	44	39
GP-1610	42	18	14
GP-1611	45	22	18
GP-1612	27	5	3
GP-1613	30	6	3
GP-1614	39	17	14
GP-1615	70	47	41
GP-1616	34	12	6
GP-1617	31	7	4
GP-1618	125	96	86
GP-1619	94	62	55
GP-1620	100	64	56
GP-1621	102	73	64
GP-1622	107	78	69
GP-1623	93	62	59
GP-1624	91	60	59
GP-1625	98	66	60
GP-1626	104	69	60
GP-1627	81	49	47
GP-1628	78	42	38
GP-1629	84	49	45
GP-1630	67	34	27
GP-1631	87	50	39
GP-1632	113	75	67
GP-1633	91	54	46
GP-1634	86	51	46
GP-1635	83	47	43
GP-1636	86	50	44
GP-1637	90	56	45
GP-1638	88	53	48
GP-1639	84	49	41
GP-1640	75	46	43
GP-1641	94	57	49
GP-1642	88	53	46
GP-1643	79	45	39
GP-1644	83	50	46
GP-1645	80	49	46
GP-1646	96	64	55
GP-1647	73	46	44
GP-1648	82	48	44
GP-1649	75	44	40
GP-1650	109	72	68
GP-1651	72	37	31
GP-1652	74	41	37
GP-1653	78	45	40
GP-1654	107	72	67
GP-1655	81	50	45
GP-1656	73	39	37
GP-1657	37	5	1
GP-1658	80	46	41
GP-1659	102	71	67
GP-1660	107	82	58
GP-1661	84	60	39
GP-1662	77	54	41
GP-1663	111	87	66
GP-1664	113	93	68
GP-1665	89	65	55
GP-1666	90	66	56
GP-1667	96	72	57
GP-1668	101	77	62
GP-1669	44	20	8
GP-1670	64	40	24
GP-1671	61	37	20
GP-1672	72	49	32
GP-1673	66	41	24
GP-1674	55	31	15
GP-1675	50	24	7
GP-1676	50	26	6
GP-1677	47	21	3
GP-1678	45	19	5
GP-1679	84	62	43
GP-1680	73	47	31
GP-1681	53	27	14
GP-1682	35	10	5
GP-1683	73	48	33
GP-1684	45	21	7
GP-1685	86	61	39
GP-1686	70	46	40
GP-1687	76	51	39
GP-1688	82	60	52
GP-1689	41	22	20
GP-1690	36	12	6
GP-1691	33	13	3
GP-1692	44	21	13
GP-1693	72	48	35
GP-1694	45	21	10
GP-1695	44	20	14
GP-1696	37	13	6
GP-1697	34	12	6
GP-1698	43	20	11
GP-1699	73	50	38
GP-1700	37	15	3
GP-1701	39	14	6
GP-1702	211	135	87
GP-1703	186	111	55
GP-1704	199	119	54
GP-1705	227	148	65
GP-1706	233	155	67
GP-1707	168	93	61
GP-1708	172	94	62
GP-1709	174	102	63
GP-1710	198	120	63
GP-1711	346	267	198
GP-1712	179	100	47
GP-1713	191	111	40
GP-1714	187	108	47
GP-1715	170	92	37
GP-1716	202	122	40
GP-1717	197	117	44
GP-1718	198	118	48
GP-1719	191	112	47
GP-1720	189	109	43
GP-1721	195	115	47
GP-1722	194	115	49
GP-1723	195	115	53
GP-1724	195	115	43
GP-1725	151	74	45
GP-1726	195	116	51
GP-1727	213	133	47
GP-1728	208	128	45
GP-1729	164	86	42
GP-1730	155	77	42
GP-1731	134	62	25
GP-1732	124	58	48
GP-1733	163	86	47
GP-1734	154	78	43
GP-1735	165	85	42
GP-1736	167	87	40
GP-1737	175	95	42
GP-1738	163	84	43
GP-1739	177	97	44
GP-1740	208	130	70
GP-1741	146	72	44
GP-1742	151	74	41
GP-1743	169	91	46
GP-1744	156	81	43
GP-1745	150	76	45
GP-1746	179	144	98
GP-1747	391	350	298
GP-1748	391	350	300
GP-1749	184	144	72
GP-1750	195	155	74
GP-1751	127	90	62
GP-1752	126	91	62
GP-1753	133	100	64
GP-1754	137	102	62
GP-1755	129	92	45
GP-1756	139	98	44
GP-1757	142	101	47
GP-1758	126	92	41
GP-1759	395	354	285
GP-1760	151	110	45
GP-1761	158	117	47
GP-1762	146	104	47
GP-1763	138	97	44
GP-1764	146	105	44
GP-1765	153	119	52
GP-1766	134	94	48
GP-1767	392	350	290
GP-1768	325	293	262
GP-1769	159	117	52
GP-1770	378	337	269
GP-1771	156	114	51
GP-1772	103	73	40
GP-1773	89	60	42
GP-1774	107	75	54
GP-1775	74	50	42
GP-1776	120	84	43
GP-1777	94	62	39
GP-1778	129	93	56
GP-1779	126	90	41
GP-1780	120	85	38
GP-1781	110	76	40
GP-1782	113	77	43
GP-1783	102	71	43
GP-1784	93	58	37
GP-1785	115	81	49
GP-1786	109	72	40
GP-1787	93	60	39
GP-1788	206	167	96
GP-1789	170	136	65
GP-1790	187	146	62
GP-1791	208	166	72
GP-1792	214	173	74
GP-1793	151	114	68
GP-1794	158	124	70
GP-1795	162	126	70
GP-1796	178	139	70
GP-1797	171	130	57
GP-1798	176	135	51
GP-1799	166	125	56
GP-1800	165	124	48
GP-1801	188	145	52
GP-1802	187	146	55
GP-1803	188	145	56
GP-1804	185	144	58
GP-1805	172	131	52
GP-1806	178	138	56
GP-1807	186	147	57
GP-1808	182	142	60
GP-1809	171	128	51
GP-1810	142	101	53
GP-1811	181	141	60
GP-1812	182	139	55
GP-1813	189	147	54
GP-1814	153	111	51
GP-1815	95	59	27
GP-1816	144	102	52
GP-1817	106	74	57
GP-1818	138	100	55
GP-1819	128	89	51
GP-1820	132	95	51
GP-1821	150	111	50
GP-1822	154	115	52
GP-1823	140	100	51
GP-1824	128	89	53
GP-1825	133	96	56
GP-1826	125	88	49
GP-1827	148	108	53
GP-1828	144	106	51
GP-1829	133	98	55
GP-1830	200	190	60
GP-1831	179	169	40
GP-1832	197	187	42
GP-1833	253	243	60
GP-1834	155	145	54
GP-1835	150	140	57
GP-1836	155	145	24
GP-1837	175	165	27
GP-1838	163	153	22
GP-1839	182	172	35
GP-1840	192	182	25
GP-1841	180	170	19
GP-1842	183	173	23
GP-1843	184	174	21
GP-1844	168	158	18
GP-1845	174	164	21
GP-1846	206	196	43
GP-1847	166	156	32
GP-1848	171	161	18
GP-1849	123	113	20
GP-1850	173	163	31
GP-1851	179	169	22
GP-1852	207	197	42
GP-1853	135	125	18
GP-1854	110	100	44
GP-1855	147	137	40
GP-1856	137	127	55
GP-1857	126	116	22
GP-1858	114	104	17
GP-1859	119	109	17
GP-1860	153	143	36
GP-1861	136	126	16
GP-1862	112	102	20
GP-1863	126	116	19
GP-1864	107	97	21
GP-1865	103	93	18
GP-1866	159	149	41
GP-1867	128	118	17
GP-1868	106	96	20
GP-1869	77	44	0
GP-1870	134	91	62
GP-1871	123	80	46
GP-1872	124	78	43
GP-1873	156	112	66
GP-1874	115	74	57
GP-1875	127	84	62
GP-1876	72	28	4
GP-1877	108	64	26
GP-1878	102	58	24
GP-1879	110	66	33
GP-1880	111	67	24
GP-1881	101	57	16
GP-1882	90	45	7
GP-1883	87	43	7
GP-1884	87	43	8
GP-1885	83	39	1
GP-1886	128	85	44
GP-1887	117	74	34
GP-1888	103	59	19
GP-1889	51	12	1
GP-1890	111	67	36
GP-1891	85	41	3
GP-1892	133	89	43
GP-1893	70	25	5
GP-1894	94	54	43
GP-1895	104	64	44
GP-1896	108	66	53
GP-1897	64	33	24
GP-1898	65	24	7
GP-1899	80	35	16
GP-1900	106	64	40
GP-1901	80	38	15
GP-1902	78	37	19
GP-1903	66	23	2
GP-1904	64	19	2
GP-1905	66	27	15
GP-1906	110	67	41
GP-1907	63	20	7
GP-1908	57	18	3
GP-1909	159	107	56
GP-1910	142	91	38
GP-1911	155	102	38
GP-1912	200	145	60
GP-1913	205	150	62
GP-1914	139	88	56
GP-1915	132	82	56
GP-1916	137	87	59
GP-1917	146	93	58
GP-1918	103	50	7
GP-1919	132	78	22
GP-1920	115	63	18
GP-1921	140	85	33
GP-1922	162	107	22
GP-1923	145	90	14
GP-1924	123	68	7
GP-1925	121	67	6
GP-1926	112	58	4
GP-1927	106	53	5
GP-1928	154	100	42
GP-1929	128	76	28
GP-1930	133	79	14
GP-1931	79	31	5
GP-1932	149	95	32
GP-1933	126	71	7
GP-1934	178	122	40
GP-1935	89	38	3
GP-1936	96	52	40
GP-1937	118	67	38
GP-1938	111	70	52
GP-1939	58	19	16
GP-1940	76	28	6
GP-1941	93	41	14
GP-1942	119	69	36
GP-1943	95	45	10
GP-1944	89	39	13
GP-1945	77	28	5
GP-1946	78	27	7
GP-1947	70	25	11
GP-1948	116	67	36
GP-1949	72	24	1
GP-1950	64	20	5
GP-1951	29	17	2
GP-1952	56	44	26
GP-1953	121	95	63
GP-1954	107	83	45
GP-1955	137	109	73
GP-1956	136	110	63
GP-1957	145	119	65
GP-1958	96	72	57
GP-1959	105	79	58
GP-1960	104	77	59
GP-1961	112	85	58
GP-1962	78	51	20
GP-1963	88	61	26
GP-1964	86	60	22
GP-1965	100	74	34
GP-1966	96	68	25
GP-1967	74	47	10
GP-1968	83	57	20
GP-1969	91	65	18
GP-1970	82	55	16
GP-1971	86	59	17
GP-1972	116	90	45
GP-1973	93	68	35
GP-1974	75	48	20
GP-1975	67	39	18
GP-1976	101	75	36
GP-1977	83	58	21
GP-1978	143	115	71
GP-1979	64	37	13
GP-1980	81	53	42
GP-1981	100	76	58
GP-1982	87	64	55
GP-1983	47	27	21
GP-1984	73	46	19
GP-1985	59	36	14
GP-1986	85	60	36
GP-1987	59	35	13
GP-1988	66	40	16
GP-1989	67	42	17
GP-1990	63	36	18
GP-1991	53	27	13
GP-1992	124	97	70
GP-1993	67	41	14
GP-1994	63	36	19
GP-1995	113	92	82
GP-1996	88	67	53
GP-1997	88	68	48
GP-1998	103	82	60
GP-1999	109	87	62
GP-2000	78	60	54
GP-2001	84	65	55
GP-2002	87	69	56
GP-2003	94	74	56
GP-2004	247	227	197
GP-2005	76	57	43
GP-2006	74	52	35
GP-2007	77	55	40
GP-2008	70	51	24
GP-2009	80	58	33
GP-2010	85	63	38
GP-2011	83	61	43
GP-2012	91	70	42
GP-2013	82	60	38
GP-2014	83	61	41
GP-2015	89	68	42
GP-2016	83	61	43
GP-2017	77	55	36
GP-2018	62	43	39
GP-2019	84	63	43
GP-2020	82	61	43
GP-2021	80	58	32
GP-2022	70	50	37
GP-2023	65	49	44
GP-2024	71	51	41
GP-2025	85	67	55
GP-2026	57	41	38
GP-2027	68	49	41
GP-2028	64	47	37
GP-2029	61	41	36
GP-2030	64	44	33
GP-2031	62	45	36
GP-2032	67	46	39
GP-2033	116	96	66
GP-2034	70	48	40
GP-2035	53	37	32
GP-2036	63	42	30
GP-2037	69	51	37
GP-2038	62	44	38
GP-2039	90	72	58
GP-2040	82	65	42
GP-2041	82	61	40
GP-2042	99	81	55
GP-2043	106	89	61
GP-2044	76	59	53
GP-2045	85	67	54
GP-2046	79	63	55
GP-2047	80	64	55
GP-2048	52	33	17
GP-2049	66	45	22
GP-2050	58	39	20
GP-2051	72	54	31
GP-2052	70	48	22
GP-2053	58	37	14
GP-2054	62	40	17
GP-2055	64	45	16
GP-2056	56	35	12
GP-2057	52	30	14
GP-2058	88	69	42
GP-2059	72	50	29
GP-2060	59	37	14
GP-2061	44	22	15
GP-2062	71	52	29
GP-2063	64	42	17
GP-2064	87	66	38
GP-2065	40	19	12
GP-2066	67	48	39
GP-2067	70	52	38
GP-2068	74	55	49
GP-2069	33	20	18
GP-2070	41	20	15
GP-2071	37	21	12
GP-2072	45	25	13
GP-2073	69	48	33
GP-2074	33	17	13
GP-2075	44	24	14
GP-2076	41	23	15
GP-2077	23	4	0
GP-2078	70	50	37
GP-2079	39	20	12
GP-2080	43	24	15
GP-2081	108	85	58
GP-2082	94	71	44
GP-2083	105	82	42
GP-2084	130	107	60
GP-2085	138	114	64
GP-2086	87	64	57
GP-2087	102	80	58
GP-2088	91	72	59
GP-2089	106	82	59
GP-2090	71	48	22
GP-2091	86	61	24
GP-2092	84	60	22
GP-2093	93	70	34
GP-2094	89	65	24
GP-2095	82	58	16
GP-2096	81	57	21
GP-2097	81	57	20
GP-2098	81	57	16
GP-2099	79	54	19
GP-2100	112	88	44
GP-2101	79	55	32
GP-2102	72	48	16
GP-2103	56	32	18
GP-2104	90	66	36
GP-2105	81	57	21
GP-2106	111	87	41
GP-2107	62	38	15
GP-2108	75	52	43
GP-2109	76	55	41
GP-2110	87	65	53
GP-2111	42	26	23
GP-2112	52	31	20
GP-2113	49	29	15
GP-2114	49	28	16
GP-2115	72	49	36
GP-2116	52	27	13
GP-2117	56	31	17
GP-2118	59	35	18
GP-2119	44	24	13
GP-2120	79	54	40
GP-2121	59	36	16
GP-2122	59	36	19
GP-2123	104	85	62
GP-2124	95	72	45
GP-2125	121	97	72
GP-2126	116	93	61
GP-2127	89	69	56
GP-2128	99	78	59
GP-2129	42	19	4
GP-2130	75	50	24
GP-2131	64	42	22
GP-2132	79	59	34
GP-2133	79	53	25
GP-2134	69	43	18
GP-2135	56	31	7
GP-2136	56	33	7
GP-2137	56	31	6
GP-2138	45	20	1
GP-2139	99	76	43
GP-2140	83	58	35
GP-2141	68	43	17
GP-2142	38	15	1
GP-2143	81	58	35
GP-2144	51	26	3
GP-2145	121	97	70
GP-2146	42	20	5
GP-2147	71	51	43
GP-2148	75	55	41
GP-2149	87	65	53
GP-2150	41	26	22
GP-2151	37	16	2
GP-2152	39	19	5
GP-2153	56	33	17
GP-2154	72	49	38
GP-2155	53	29	13
GP-2156	49	26	17
GP-2157	34	11	2
GP-2158	48	25	13
GP-2159	101	81	68
GP-2160	39	17	5
GP-2161	33	13	1
GP-2162	108	72	66
GP-2163	114	79	71
GP-2164	112	76	75
GP-2165	93	68	67
GP-2166	100	68	67
GP-2167	175	107	64
GP-2168	159	93	47
GP-2169	163	95	49
GP-2170	187	122	63
GP-2171	135	77	58
GP-2172	145	86	59
GP-2173	150	83	61
GP-2174	160	95	59
GP-2175	101	37	9
GP-2176	139	70	29
GP-2177	122	58	24
GP-2178	145	78	36
GP-2179	148	78	29
GP-2180	135	65	20
GP-2181	123	53	9
GP-2182	126	56	9
GP-2183	121	53	8
GP-2184	114	45	4
GP-2185	165	98	46
GP-2186	133	69	35
GP-2187	134	64	19
GP-2188	93	31	3
GP-2189	154	84	38
GP-2190	116	46	5
GP-2191	167	98	47
GP-2192	89	25	6
GP-2193	118	59	45
GP-2194	131	66	43
GP-2195	127	69	55
GP-2196	75	31	23
GP-2197	83	23	3
GP-2198	85	25	7
GP-2199	110	44	19
GP-2200	136	70	40
GP-2201	121	53	15
GP-2202	96	38	19
GP-2203	94	30	4
GP-2204	90	29	15
GP-2205	133	66	42
GP-2206	95	30	7
GP-2207	91	28	5
GP-2208	167	114	61
GP-2209	139	90	42
GP-2210	153	95	39
GP-2211	183	128	60
GP-2212	193	137	61
GP-2213	127	74	53
GP-2214	136	81	55
GP-2215	133	78	55
GP-2216	150	93	55
GP-2217	109	54	17
GP-2218	128	72	22
GP-2219	125	69	19
GP-2220	139	84	32
GP-2221	146	88	22
GP-2222	130	73	14
GP-2223	130	74	16
GP-2224	127	71	16
GP-2225	124	69	13
GP-2226	129	72	15
GP-2227	156	99	42
GP-2228	129	72	30
GP-2229	130	72	15
GP-2230	98	45	14
GP-2231	144	89	33
GP-2232	133	76	16
GP-2233	159	103	39
GP-2234	102	50	11
GP-2235	100	52	40
GP-2236	123	67	38
GP-2237	123	75	50
GP-2238	67	29	20
GP-2239	90	37	15
GP-2240	89	42	12
GP-2241	101	48	13
GP-2242	125	68	33
GP-2243	84	29	1
GP-2244	95	40	14
GP-2245	105	51	14
GP-2246	101	49	15
GP-2247	129	73	37
GP-2248	91	36	11
GP-2249	101	53	16
GP-2250	24	14	2
GP-2251	31	14	3
GP-2252	38	21	0
GP-2253	126	111	59
GP-2254	16	7	1
GP-2255	26	13	0
GP-2256	134	121	103
GP-2257	112	98	68
GP-2258	93	80	63
GP-2259	106	94	62
GP-2260	106	93	60
GP-2261	24	11	1
GP-2262	97	87	79
GP-2263	104	93	82
GP-2264	102	92	78
GP-2265	62	52	46
GP-2266	57	47	48
GP-2267	22	11	2
GP-2268	94	87	80
GP-2269	95	87	77
GP-2270	92	83	76
GP-2271	92	86	79
GP-2272	104	93	82
GP-2273	67	42	7
GP-2274	53	29	5
GP-2275	81	55	23
GP-2276	53	30	3
GP-2277	58	32	5
GP-2278	89	64	30
GP-2279	89	64	35
GP-2280	150	125	80
GP-2281	141	115	78
GP-2282	57	33	6
GP-2283	40	17	4
GP-2284	42	19	5
GP-2285	68	43	4
GP-2286	60	35	23
GP-2287	42	20	5
GP-2288	36	15	7
GP-2289	55	33	22
GP-2290	32	15	5
GP-2291	28	9	0
GP-2292	65	46	28
GP-2293	64	48	33
GP-2294	117	97	78
GP-2295	107	89	75
GP-2296	31	11	5
GP-2297	31	12	7
GP-2298	32	12	8
GP-2299	40	18	7
GP-2300	43	24	20
GP-2301	106	70	9
GP-2302	72	37	1
GP-2303	103	66	24
GP-2304	74	40	0
GP-2305	86	50	5
GP-2306	121	85	30
GP-2307	112	77	34
GP-2308	173	138	77
GP-2309	157	120	75
GP-2310	66	31	4
GP-2311	78	44	6
GP-2312	46	13	1
GP-2313	87	52	1
GP-2314	86	51	22
GP-2315	105	71	10
GP-2316	81	47	1
GP-2317	119	85	25
GP-2318	77	45	2
GP-2319	95	61	7
GP-2320	118	84	32
GP-2321	111	81	37
GP-2322	184	150	80
