PI_kinetic_outliers
exp191212_B_G11
exp191219_C_G11
exp191213_C_G11
exp191220_D_G11
exp191219_A_G12
exp191212_B_H09
exp191212_B_H06
exp191212_B_G10
exp191212_B_G12
exp191212_B_D02
exp191219_C_H07
exp191219_C_G08
exp191219_C_A07
exp191219_C_C01
exp191213_C_G10
exp191219_C_G10
exp191213_C_H02
exp191219_C_D08
exp191219_C_G12
exp191213_C_G12
exp191219_C_D03
exp191219_C_E12
exp191219_C_D12
exp191219_C_D02
exp191213_C_G05
exp191219_C_F12
exp191220_D_H09
exp191220_D_H06
exp191220_D_G10
exp191220_D_G12
exp191220_D_G05
exp191213_C_D06
exp191220_D_D06
exp200122_E_E08
