well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id
H03,19712,0,H,03,exp190923,20000,3,exp190923_3_H03
H04,19405,0,H,04,exp190923,20000,3,exp190923_3_H04
H05,19562,0,H,05,exp190923,20000,3,exp190923_3_H05
H06,19254,0,H,06,exp190923,20000,3,exp190923_3_H06
H07,19654,0,H,07,exp190923,20000,3,exp190923_3_H07
H08,18218,0,H,08,exp190923,20000,3,exp190923_3_H08
H09,19673,0,H,09,exp190923,20000,3,exp190923_3_H09
H10,17304,0,H,10,exp190923,20000,3,exp190923_3_H10
H11,17167,0,H,11,exp190923,20000,3,exp190923_3_H11
H12,25860,0,H,12,exp190923,20000,3,exp190923_3_H12
A01,18829,6,A,01,exp190923,20000,3,exp190923_3_A01
A02,18531,6,A,02,exp190923,20000,3,exp190923_3_A02
A03,18947,6,A,03,exp190923,20000,3,exp190923_3_A03
A04,19376,6,A,04,exp190923,20000,3,exp190923_3_A04
A05,17196,6,A,05,exp190923,20000,3,exp190923_3_A05
A06,19645,6,A,06,exp190923,20000,3,exp190923_3_A06
A07,18873,6,A,07,exp190923,20000,3,exp190923_3_A07
A08,19394,6,A,08,exp190923,20000,3,exp190923_3_A08
A09,18891,6,A,09,exp190923,20000,3,exp190923_3_A09
A10,18444,6,A,10,exp190923,20000,3,exp190923_3_A10
A11,19222,6,A,11,exp190923,20000,3,exp190923_3_A11
A12,20753,6,A,12,exp190923,20000,3,exp190923_3_A12
B01,19553,6,B,01,exp190923,20000,3,exp190923_3_B01
B02,20670,6,B,02,exp190923,20000,3,exp190923_3_B02
B03,18785,6,B,03,exp190923,20000,3,exp190923_3_B03
B04,18134,6,B,04,exp190923,20000,3,exp190923_3_B04
B05,19300,6,B,05,exp190923,20000,3,exp190923_3_B05
B06,18365,6,B,06,exp190923,20000,3,exp190923_3_B06
B07,19617,6,B,07,exp190923,20000,3,exp190923_3_B07
B08,18478,6,B,08,exp190923,20000,3,exp190923_3_B08
B09,19437,6,B,09,exp190923,20000,3,exp190923_3_B09
B10,17873,6,B,10,exp190923,20000,3,exp190923_3_B10
B11,19712,6,B,11,exp190923,20000,3,exp190923_3_B11
B12,19988,6,B,12,exp190923,20000,3,exp190923_3_B12
C01,19002,6,C,01,exp190923,20000,3,exp190923_3_C01
C02,19944,6,C,02,exp190923,20000,3,exp190923_3_C02
C03,18646,6,C,03,exp190923,20000,3,exp190923_3_C03
C04,17917,6,C,04,exp190923,20000,3,exp190923_3_C04
C05,19221,6,C,05,exp190923,20000,3,exp190923_3_C05
C06,18901,6,C,06,exp190923,20000,3,exp190923_3_C06
C07,19641,6,C,07,exp190923,20000,3,exp190923_3_C07
C08,18604,6,C,08,exp190923,20000,3,exp190923_3_C08
C09,18611,6,C,09,exp190923,20000,3,exp190923_3_C09
C10,19085,6,C,10,exp190923,20000,3,exp190923_3_C10
C11,19033,6,C,11,exp190923,20000,3,exp190923_3_C11
C12,19468,6,C,12,exp190923,20000,3,exp190923_3_C12
D01,21112,6,D,01,exp190923,20000,3,exp190923_3_D01
D02,18894,6,D,02,exp190923,20000,3,exp190923_3_D02
D03,18748,6,D,03,exp190923,20000,3,exp190923_3_D03
D04,18055,6,D,04,exp190923,20000,3,exp190923_3_D04
D05,18286,6,D,05,exp190923,20000,3,exp190923_3_D05
D06,18501,6,D,06,exp190923,20000,3,exp190923_3_D06
D07,19145,6,D,07,exp190923,20000,3,exp190923_3_D07
D08,19198,6,D,08,exp190923,20000,3,exp190923_3_D08
D09,18766,6,D,09,exp190923,20000,3,exp190923_3_D09
D10,17131,6,D,10,exp190923,20000,3,exp190923_3_D10
D11,19072,6,D,11,exp190923,20000,3,exp190923_3_D11
D12,18644,6,D,12,exp190923,20000,3,exp190923_3_D12
E01,18660,6,E,01,exp190923,20000,3,exp190923_3_E01
E02,18758,6,E,02,exp190923,20000,3,exp190923_3_E02
E03,18505,6,E,03,exp190923,20000,3,exp190923_3_E03
E04,18300,6,E,04,exp190923,20000,3,exp190923_3_E04
E05,18118,6,E,05,exp190923,20000,3,exp190923_3_E05
E06,18864,6,E,06,exp190923,20000,3,exp190923_3_E06
E07,17237,6,E,07,exp190923,20000,3,exp190923_3_E07
E08,18296,6,E,08,exp190923,20000,3,exp190923_3_E08
E09,18823,6,E,09,exp190923,20000,3,exp190923_3_E09
E10,18047,6,E,10,exp190923,20000,3,exp190923_3_E10
E11,19142,6,E,11,exp190923,20000,3,exp190923_3_E11
E12,19242,6,E,12,exp190923,20000,3,exp190923_3_E12
F01,18867,6,F,01,exp190923,20000,3,exp190923_3_F01
F02,18335,6,F,02,exp190923,20000,3,exp190923_3_F02
F03,19375,6,F,03,exp190923,20000,3,exp190923_3_F03
F04,18387,6,F,04,exp190923,20000,3,exp190923_3_F04
F05,18981,6,F,05,exp190923,20000,3,exp190923_3_F05
F06,18706,6,F,06,exp190923,20000,3,exp190923_3_F06
F07,19010,6,F,07,exp190923,20000,3,exp190923_3_F07
F08,18201,6,F,08,exp190923,20000,3,exp190923_3_F08
F09,19053,6,F,09,exp190923,20000,3,exp190923_3_F09
F10,18908,6,F,10,exp190923,20000,3,exp190923_3_F10
F11,18657,6,F,11,exp190923,20000,3,exp190923_3_F11
F12,19184,6,F,12,exp190923,20000,3,exp190923_3_F12
G01,20143,6,G,01,exp190923,20000,3,exp190923_3_G01
G02,19529,6,G,02,exp190923,20000,3,exp190923_3_G02
G03,18782,6,G,03,exp190923,20000,3,exp190923_3_G03
G04,19106,6,G,04,exp190923,20000,3,exp190923_3_G04
G05,19580,6,G,05,exp190923,20000,3,exp190923_3_G05
G06,19510,6,G,06,exp190923,20000,3,exp190923_3_G06
G07,18343,6,G,07,exp190923,20000,3,exp190923_3_G07
G08,18664,6,G,08,exp190923,20000,3,exp190923_3_G08
G09,19093,6,G,09,exp190923,20000,3,exp190923_3_G09
G10,18878,6,G,10,exp190923,20000,3,exp190923_3_G10
G11,19547,6,G,11,exp190923,20000,3,exp190923_3_G11
G12,19064,6,G,12,exp190923,20000,3,exp190923_3_G12
H01,13557,6,H,01,exp190923,20000,3,exp190923_3_H01
H02,19758,6,H,02,exp190923,20000,3,exp190923_3_H02
H03,19256,6,H,03,exp190923,20000,3,exp190923_3_H03
H04,19353,6,H,04,exp190923,20000,3,exp190923_3_H04
H05,19189,6,H,05,exp190923,20000,3,exp190923_3_H05
H06,19128,6,H,06,exp190923,20000,3,exp190923_3_H06
H07,19063,6,H,07,exp190923,20000,3,exp190923_3_H07
H08,18180,6,H,08,exp190923,20000,3,exp190923_3_H08
H09,19243,6,H,09,exp190923,20000,3,exp190923_3_H09
H10,17066,6,H,10,exp190923,20000,3,exp190923_3_H10
H11,17139,6,H,11,exp190923,20000,3,exp190923_3_H11
H12,27912,6,H,12,exp190923,20000,3,exp190923_3_H12
A01,18787,12,A,01,exp190923,20000,3,exp190923_3_A01
A02,18371,12,A,02,exp190923,20000,3,exp190923_3_A02
