row,01,02,03,04,05,06,07,08,09,10,11,12
A,NE46,NE1561,JE2,NE1553,NE743,NE172,NE1166,NE704,NE369,NE188,NE1183,NE1919
B,NE573,NE1020,NE573,NE1561,NE581,NE873,NE172,NE1532,NE1553,NE472,NE1671,NE1561
C,NE1183,NE1462,NE46,NE573,NE1671,NE440,NE1380,NE214,NE214,NE1,NE362,Non infected
D,NE704,NE472,NE362,NE119,NE1532,NE873,JE2,NE172,NE117,NE119,NE1919,NE472
E,Non infected,NE440,NE369,NE119,NE873,NE440,NE743,NE1140,NE117,NE1553,NE1166,NE362
F,NE581,NE369,NE186,NE46,NE66,NE66,NE186,NE1140,NE117,NE188,Non infected,NE704
G,NE1671,NE581,NE1020,NE1462,NE66,NE186,NE1532,NE1140,NE188,NE1380,JE2,NE214
H,NE743,NE1462,NE1020,NE1166,NE1380,NE1183,NE1,NE1919,NE1,Complete lysis,Complete lysis,Complete lysis
