sample_id,mean_pct_death,sd_pct_death,mean_max_tox,sd_max_tox,mean_max_tox_rate,sd_max_tox_rate,mean_AUC,sd_AUC,mean_f_signal_endpoint_535,sd_f_signal_endpoint_535,exp
BPH2728,0.3917419426787108,0.06146410506694369,25352.151715092867,899.6814136940544,2.0302134426682787,0.6345589470006058,30394573.627612464,1093530.4619048145,25893.333333333332,452.2359266282737,exp190909
BPH2729,0.17815322850451656,0.062465988379916036,23523.674124237325,578.8731778013597,0.871807544477091,0.15684248357158298,28291091.258365646,694718.7846515123,25105,219.1049976609388,exp190909
BPH2730,0.3006858481097357,0.08397278232092607,24260.577933856035,599.0625496188225,1.438346666955885,0.7590206484532492,29058954.457385987,716615.9861101984,25479.666666666668,423.91783795133387,exp190909
BPH2731,0.22356975577116092,0.045883008590929385,23984.10155827941,1051.6350928716763,1.2063846403550857,0.23067277227381858,28829488.686158527,1256164.0516691513,24885.666666666668,296.3314585617486,exp190909
BPH2732,0.4923329987732798,0.08357819450714934,26472.401022133465,967.6762205211832,3.2567093316182656,0.8314568054875439,31652440.053155687,1094625.0794806655,26134.666666666668,1051.7910121945963,exp190909
BPH2733,0.4372699899631984,0.06367675223517846,26383.34113491615,763.0886090369664,2.654547402722755,1.0287222971276448,31540369.944705077,856043.8817470912,25293.333333333332,184.71690050813794,exp190909
BPH2734,0.20371919259507082,0.12846627766609345,23459.43030615054,1165.9435220430053,1.0232924167697777,0.5345665010670477,28181506.687789027,1304380.099789504,25409.333333333332,730.8463130736402,exp190909
BPH2735,0.18595962975354074,0.09125092239056026,23563.21063291326,859.8670065767268,1.0015518883819825,0.17384619969638143,28330937.190936904,1030019.5749084364,25014.666666666668,284.00058685385375,exp190909
BPH2736,0.3230177316828371,0.05797399394288085,25343.481438240535,1022.9572906072386,1.6580757598052918,0.6439933263690039,30404411.849266246,1173600.7749981484,25457.666666666668,212.2176555645956,exp190909
BPH2737,0.13120330099252817,0.04677162211991186,22978.795401172763,441.03239710031426,0.8976563959599269,0.3241066763402001,27610028.549899466,540038.062922427,24890,319.64824416849217,exp190909
BPH2738,0.2938552470168395,0.10862304848422655,24875.591012315825,1443.348152352962,1.303054384221734,0.8163645281543638,29864915.14352534,1746393.8866617728,25290.666666666668,713.1551958257987,exp190909
BPH2739,0.28462696554031447,0.08946162574876329,24563.031017449506,867.2268834409832,1.4232135269647777,0.1868042634544825,29481266.517606154,1009567.0791959066,25469.333333333332,756.6745227198636,exp190909
BPH2740,0.3197000111520018,0.020764521223782115,24717.865280703252,354.02223806795206,1.9285118863953234,0.35801421034534775,29647309.16096108,414626.1300465614,25988,498.19975913282013,exp190909
BPH2741,0.2353629976580796,0.08892184394008695,23773.391287283892,968.2982590257171,1.2627656704099506,0.48432102740221294,28494767.020198517,1081012.3713763882,25241.666666666668,362.7910325977385,exp190909
BPH2742,0.28331660533065683,0.09092136246806423,24617.461366133393,1114.626913143093,1.1675366362118713,0.56402702463477306,29569633.919773128,1322125.2755338359,25564.333333333332,634.9057672862433,exp190909
BPH2743,0.2685680829708933,0.1236493913635431,24135.543216394188,1407.5085361327338,1.2585361865821922,0.496517709873567,28956459.197132163,1717885.1085304092,25104,547.5426923994146,exp190909
BPH2744,0.5921434147429463,0.1551275441727489,26772.560520929026,1127.897155278548,3.7646112678140997,1.924456155542983,31947495.199106365,1204092.2869273038,26192,944.2986815621422,exp190909
BPH2745,0.31002564960410395,0.11973447936615672,24657.275811627635,1355.4805197733149,1.8060560311263942,1.4867695843740898,29590341.634558156,1576191.0103352172,25985.666666666668,779.811729415077,exp190909
BPH2746,0.5216627634660421,0.20500675734022988,26183.23194398722,1411.3091136214696,3.520548099105124,1.3992004191086924,31285373.751734275,1570403.2959404695,26096,1377.4000871206595,exp190909
BPH2747,0.3317720530835285,0.08474617041905379,24325.307135848292,1093.8670846694324,2.2333311085500958,0.6614833398037216,29156294.9039396,1251630.342094495,25763.666666666668,698.1592463996544,exp190909
BPH2748,0.29480316716850674,0.1429296565375291,23952.38652958873,1249.2237476429245,2.065642554500781,0.6948728671228173,28732622.13560494,1514201.8974358886,25532.333333333332,1501.6262295702395,exp190909
