well,sample,wave_length,f_signal_endpoint,experiment,plate
F01,Sample X61,WL493,45831,exp190831,2
F01,Sample X61,WL535,44485,exp190831,2
F02,Sample X62,WL493,38309,exp190831,2
F02,Sample X62,WL535,28021,exp190831,2
F03,Sample X63,WL493,39177,exp190831,2
F03,Sample X63,WL535,29734,exp190831,2
F04,Sample X64,WL493,37493,exp190831,2
F04,Sample X64,WL535,26075,exp190831,2
F05,Sample X65,WL493,39313,exp190831,2
F05,Sample X65,WL535,29480,exp190831,2
F06,Sample X66,WL493,39244,exp190831,2
F06,Sample X66,WL535,29682,exp190831,2
F07,Sample X67,WL493,38611,exp190831,2
F07,Sample X67,WL535,29133,exp190831,2
F08,Sample X68,WL493,36714,exp190831,2
F08,Sample X68,WL535,23625,exp190831,2
F09,Sample X69,WL493,40390,exp190831,2
F09,Sample X69,WL535,33111,exp190831,2
F10,Sample X70,WL493,39612,exp190831,2
F10,Sample X70,WL535,30277,exp190831,2
F11,Sample X71,WL493,39201,exp190831,2
F11,Sample X71,WL535,28228,exp190831,2
F12,Sample X72,WL493,45017,exp190831,2
F12,Sample X72,WL535,37367,exp190831,2
G01,Sample X73,WL493,42510,exp190831,2
G01,Sample X73,WL535,35718,exp190831,2
G02,Sample X74,WL493,44387,exp190831,2
G02,Sample X74,WL535,44289,exp190831,2
G03,Sample X75,WL493,40148,exp190831,2
G03,Sample X75,WL535,31377,exp190831,2
G04,Sample X76,WL493,36100,exp190831,2
G04,Sample X76,WL535,21216,exp190831,2
G05,Sample X77,WL493,38627,exp190831,2
G05,Sample X77,WL535,27823,exp190831,2
G06,Sample X78,WL493,39271,exp190831,2
G06,Sample X78,WL535,29877,exp190831,2
G07,Sample X79,WL493,36043,exp190831,2
G07,Sample X79,WL535,21125,exp190831,2
G08,Sample X80,WL493,36630,exp190831,2
G08,Sample X80,WL535,23195,exp190831,2
G09,Sample X81,WL493,39053,exp190831,2
G09,Sample X81,WL535,29476,exp190831,2
G10,Sample X82,WL493,38389,exp190831,2
G10,Sample X82,WL535,24921,exp190831,2
G11,Sample X83,WL493,41542,exp190831,2
G11,Sample X83,WL535,32475,exp190831,2
G12,Sample X84,WL493,43713,exp190831,2
G12,Sample X84,WL535,35652,exp190831,2
H01,Sample X85,WL493,37311,exp190831,2
H01,Sample X85,WL535,22377,exp190831,2
H02,Sample X86,WL493,37047,exp190831,2
H02,Sample X86,WL535,22298,exp190831,2
H03,Sample X87,WL493,40652,exp190831,2
H03,Sample X87,WL535,31375,exp190831,2
H04,Sample X88,WL493,41021,exp190831,2
H04,Sample X88,WL535,32303,exp190831,2
H05,Sample X89,WL493,38451,exp190831,2
H05,Sample X89,WL535,24489,exp190831,2
H06,Sample X90,WL493,35610,exp190831,2
H06,Sample X90,WL535,20411,exp190831,2
H07,Sample X91,WL493,36653,exp190831,2
H07,Sample X91,WL535,23016,exp190831,2
H08,Sample X92,WL493,37802,exp190831,2
