sample_id,mean_pct_death,sd_pct_death,mean_max_tox,sd_max_tox,mean_max_tox_rate,sd_max_tox_rate,mean_AUC,sd_AUC,mean_f_signal_endpoint_535,sd_f_signal_endpoint_535,exp
BPH2728,-0.5060257294952681,0.1659087347821204,76572.02171936898,3240.7278383332005,27.777163990594598,10.353032337115382,85839188.49828307,2861857.7920893515,26666,793.1853503437894,exp190905
BPH2729,-0.2621500394321767,0.0925073810043364,71558.24525218205,2588.9553964803417,12.243827536299403,2.0778308862237815,81391697.73748274,2842935.27286234,25756.666666666668,443.0872750749375,exp190905
BPH2730,-0.6101020307570979,0.09192986850143242,79055.62279767168,2004.5532370547048,36.3660103843145,12.269044116859869,88014828.7459554,1330743.110486903,26877.666666666668,355.35944244290647,exp190905
BPH2731,-0.24049930993690855,0.061846742531951,70990.86822276475,1469.684090895879,10.65737100329342,1.2749510580577796,80919514.62167296,1619332.5471195618,25594,72.91776189653656,exp190905
BPH2732,-0.7447629140378549,0.2660167360038055,84089.0843379371,6012.00952136682,39.10924899420984,19.18757687713614,94046872.49481106,5684075.278301429,27201.666666666668,1086.7963624034326,exp190905
BPH2733,-0.5660488958990537,0.037878925382340244,79067.94643597888,516.9064115551126,21.976879492029536,0.9061537114245319,89559743.59483889,541706.2217764634,26290,189.69185538657163,exp190905
BPH2734,-0.3569721017350158,0.18212304339706795,73467.12901960142,4252.673444376495,12.149199266533541,3.286832735590553,83564610.5285872,4661125.0981127685,26356.666666666668,1052.252979721765,exp190905
BPH2735,-0.28083103312302843,0.048154784668417175,72100.52689723864,761.561823230504,9.563262916988101,2.6479433425850245,82104099.8281573,899801.3674425498,25849.666666666668,263.59881132761836,exp190905
BPH2736,-0.2729569203470032,0.041803374525361724,71486.27229688337,512.4694417015145,7.348085287080216,1.2588809680971151,81768203.25259274,768483.4920069424,25707,123.88704532758864,exp190905
BPH2737,-0.26336997239747634,0.05662270298710711,71962.53148956077,1773.2355686259832,10.084912041115887,2.196884072623317,81981051.68836673,1920248.3673817266,25722.333333333332,189.11460370191756,exp190905
BPH2738,-0.297121451104101,0.05155962813210006,71784.90946348377,656.2493065248674,8.459273944546263,3.4862634476422207,81919657.677018,828869.911720948,25916,260.31519356349526,exp190905
BPH2739,-0.34505619085173506,0.07190555922060857,73937.46200220344,1421.703407926543,14.68226036757364,4.119049949839554,83934358.31381223,1653497.3893287266,26277.333333333332,588.8330267005523,exp190905
BPH2740,-0.44388308359621453,0.04951810644701263,76659.5609586598,1707.3024941555775,19.105706365878024,3.7421340914862253,86716156.31308383,1530915.103454609,26782.333333333332,354.95398762844366,exp190905
BPH2741,-0.47190457413249215,0.07000213143224343,76002.46591398299,2391.148247532924,23.969741203217332,1.5700648218903221,85375425.61130437,2715765.9195951642,26603,568.9121197513725,exp190905
BPH2742,-0.3076818809148265,0.07033390572360655,73249.57069611485,1635.8225618172212,15.66577669770272,8.634630824655426,82878207.11507756,993496.0381605984,26118.666666666668,476.96680527404976,exp190905
BPH2743,-0.3507985015772871,0.061428885673782165,73902.93879851869,932.3946278645273,18.90312551652419,2.36047503378853,83396459.21097338,864389.2933652875,25963.666666666668,250.080653656642,exp190905
BPH2744,-0.8532383675078865,0.27758739573526764,85021.58325047452,6541.412937702717,47.31447522197999,19.426121218217506,94431414.01716673,5968361.7197459545,27217.333333333332,1025.0894269932421,exp190905
BPH2745,-0.4345179416403786,0.21578119519354874,75060.6587947493,5039.981902422534,21.284434483894074,16.285308042838444,84496414.09034538,4400190.298702637,26696.666666666668,1087.219542380164,exp190905
BPH2746,-0.6870317429022083,0.22195603577230535,79821.71764197582,4689.079934329261,36.75809952536302,24.161774418419405,88820335.14461169,3243721.659867437,26885.666666666668,648.2378678643615,exp190905
BPH2747,-0.4665565851735016,0.06579227097762994,76137.97804014849,2576.1044882149936,24.853313228229784,10.825687797977285,85440858.60172766,1868646.903479757,26444.666666666668,480.6332628245088,exp190905
BPH2748,-0.40813535094637227,0.10453305653014541,74639.32405107176,2756.220746333719,22.713524783173447,7.651302980045196,83935287.50305234,2435198.933087541,26149.333333333332,852.003716736807,exp190905
BPH2749,-0.7931042981072556,0.05403477832422919,83328.47567151916,1591.0007276842537,36.83128927185266,2.884804915891897,93525310.57430579,1954687.1359333158,26518,263.28501666445055,exp190905
BPH2750,-0.3666329850157729,0.11145663719046206,73573.3571275479,2497.199568871093,19.06717473248323,7.299369814499594,83121539.74944468,2312793.0734457187,26370,731.5415230866939,exp190905
BPH2751,-0.43742606466876977,0.1181066313778552,75326.66765276414,2699.4301306350176,18.065878686059676,9.824189819811075,85240121.42033526,2239654.863177024,26578.666666666668,674.6260692660293,exp190905
BPH2752,-0.4382886435331231,0.04158867310722632,75766.60807217124,1243.4121538915088,18.790783253180408,4.32893765204677,85704764.5327264,1060574.2068774463,26408,454.0528603587913,exp190905
