inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate
0.374,F07,TRUE,310905,2
0.382,F08,TRUE,310905,2
0.369,F09,TRUE,310905,2
0.452,F10,TRUE,310905,2
0.508,F11,TRUE,310905,2
0.446,F12,TRUE,310905,2
0.521,G01,TRUE,310905,2
0.48,G02,TRUE,310905,2
0.588,G03,TRUE,310905,2
0.563,G04,TRUE,310905,2
0.371,G05,TRUE,310905,2
0.35,G06,TRUE,310905,2
0.418,G07,TRUE,310905,2
0.426,G08,TRUE,310905,2
0.474,G09,TRUE,310905,2
0.438,G10,TRUE,310905,2
0.541,G11,TRUE,310905,2
0.649,G12,TRUE,310905,2
0.613,H02,TRUE,310905,2
0.571,H03,TRUE,310905,2
0.542,H04,TRUE,310905,2
0.574,H05,TRUE,310905,2
0.356,H06,TRUE,310905,2
0.425,H07,TRUE,310905,2
0.407,H08,TRUE,310905,2
0.508,H09,TRUE,310905,2
-0.002,H10,TRUE,310905,2
-0.006,H11,TRUE,310905,2
-0.004,H12,TRUE,310905,2
NA,H10,TRUE,310909,2
NA,H11,TRUE,310909,2
NA,H12,TRUE,310909,2
0.811,A01,TRUE,310909,2
0.586,A02,TRUE,310909,2
0.575,A03,TRUE,310909,2
0.529,A04,TRUE,310909,2
0.004,A05,TRUE,310909,2
0.463,A06,TRUE,310909,2
0.418,A07,TRUE,310909,2
0.634,A08,TRUE,310909,2
0.465,A09,TRUE,310909,2
0.507,A10,TRUE,310909,2
0.445,A11,TRUE,310909,2
0.849,A12,TRUE,310909,2
0.493,B01,TRUE,310909,2
0.526,B02,TRUE,310909,2
0.33,B03,TRUE,310909,2
0.353,B04,TRUE,310909,2
0.302,B05,TRUE,310909,2
0.402,B06,TRUE,310909,2
0.345,B07,TRUE,310909,2
0.391,B08,TRUE,310909,2
0.571,B09,TRUE,310909,2
0.411,B10,TRUE,310909,2
0.373,B11,TRUE,310909,2
0.716,B12,TRUE,310909,2
0.316,C01,TRUE,310909,2
0.357,C02,TRUE,310909,2
0.254,C03,TRUE,310909,2
0.245,C04,TRUE,310909,2
0.228,C05,TRUE,310909,2
0.344,C06,TRUE,310909,2
0.378,C07,TRUE,310909,2
0.407,C08,TRUE,310909,2
0.513,C09,TRUE,310909,2
0.347,C10,TRUE,310909,2
0.373,C11,TRUE,310909,2
0.364,C12,TRUE,310909,2
0.329,D01,TRUE,310909,2
0.246,D02,TRUE,310909,2
0.359,D03,TRUE,310909,2
0.284,D04,TRUE,310909,2
0.453,D05,TRUE,310909,2
0.297,D06,TRUE,310909,2
0.377,D07,TRUE,310909,2
0.284,D08,TRUE,310909,2
0.412,D09,TRUE,310909,2
0.318,D10,TRUE,310909,2
0.474,D11,TRUE,310909,2
0.341,D12,TRUE,310909,2
0.34,E01,TRUE,310909,2
0.376,E02,TRUE,310909,2
0.433,E03,TRUE,310909,2
0.313,E04,TRUE,310909,2
