well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.498,TRUE,exp210321,GP9,exp210321_GP9_A01,0,BPH3524,2,VSS-328
A01,A,1,0.492,TRUE,exp210321,GP9,exp210321_GP9_A01,10,BPH3524,2,VSS-328
A01,A,1,0.504,TRUE,exp210321,GP9,exp210321_GP9_A01,20,BPH3524,2,VSS-328
A01,A,1,0.486,TRUE,exp210321,GP9,exp210321_GP9_A01,30,BPH3524,2,VSS-328
A01,A,1,0.497,TRUE,exp210321,GP9,exp210321_GP9_A01,40,BPH3524,2,VSS-328
A01,A,1,0.49,TRUE,exp210321,GP9,exp210321_GP9_A01,50,BPH3524,2,VSS-328
A01,A,1,0.487,TRUE,exp210321,GP9,exp210321_GP9_A01,60,BPH3524,2,VSS-328
A01,A,1,0.508,TRUE,exp210321,GP9,exp210321_GP9_A01,70,BPH3524,2,VSS-328
A01,A,1,0.5,TRUE,exp210321,GP9,exp210321_GP9_A01,80,BPH3524,2,VSS-328
A01,A,1,0.497,TRUE,exp210321,GP9,exp210321_GP9_A01,90,BPH3524,2,VSS-328
A01,A,1,0.499,TRUE,exp210321,GP9,exp210321_GP9_A01,100,BPH3524,2,VSS-328
A01,A,1,0.509,TRUE,exp210321,GP9,exp210321_GP9_A01,110,BPH3524,2,VSS-328
A01,A,1,0.501,TRUE,exp210321,GP9,exp210321_GP9_A01,120,BPH3524,2,VSS-328
A01,A,1,0.495,TRUE,exp210321,GP9,exp210321_GP9_A01,130,BPH3524,2,VSS-328
A01,A,1,0.503,TRUE,exp210321,GP9,exp210321_GP9_A01,140,BPH3524,2,VSS-328
A01,A,1,0.504,TRUE,exp210321,GP9,exp210321_GP9_A01,150,BPH3524,2,VSS-328
A01,A,1,0.498,TRUE,exp210321,GP9,exp210321_GP9_A01,160,BPH3524,2,VSS-328
A01,A,1,0.495,TRUE,exp210321,GP9,exp210321_GP9_A01,170,BPH3524,2,VSS-328
A01,A,1,0.49,TRUE,exp210321,GP9,exp210321_GP9_A01,180,BPH3524,2,VSS-328
A01,A,1,0.494,TRUE,exp210321,GP9,exp210321_GP9_A01,190,BPH3524,2,VSS-328
