row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3682,BPH3368,BPH2869,BPH3366,Non infected,BPH3499,BPH2926,JE2,BPH3652,BPH3545,Non infected,BPH2964
B,BPH3568,BPH3694,BPH2904,BPH3694,BPH3757,BPH3368,BPH3757,Non infected,BPH3499,BPH3362,BPH3366,BPH3684
C,BPH3403,BPH3368,BPH2964,BPH3348,BPH3757,BPH3739,BPH3403,BPH3682,BPH3282,BPH3590,BPH3590,BPH2902
D,BPH3652,Non infected,Non infected,BPH3684,BPH3662,BPH3274,BPH3362,TOX-4,BPH2869,BPH3499,BPH2963,BPH3274
E,BPH3568,BPH3684,Non infected,BPH3672,BPH3662,BPH3274,BPH3672,BPH3652,TOX-4,BPH2925,BPH2963,BPH3366
F,BPH2926,BPH3672,JE2,Non infected,BPH3523,Non infected,TOX-4,BPH3348,BPH3739,BPH3545,BPH2925,BPH2963
G,BPH3523,BPH3682,Non infected,BPH3590,BPH3523,BPH2904,BPH3348,BPH3739,BPH3403,JE2,BPH2925,BPH3545
H,BPH3282,BPH2869,BPH3568,BPH3662,BPH3362,BPH2904,BPH2926,BPH3282,BPH2964,BPH2902,BPH3694,BPH2902
