row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH2991,BPH2961,BPH2922,BPH2960,JE2,BPH2966,BPH2926,BPH3220,BPH2988,BPH2974,BPH2947,BPH2975
B,BPH3204,BPH2924,BPH3204,BPH2961,BPH3208,Non infected,BPH2966,BPH2959,BPH2960,BPH3202,BPH2964,BPH2961
C,BPH2947,BPH2953,BPH2991,BPH3204,BPH2964,BPH2990,BPH2952,BPH2987,BPH2987,BPH2923,BPH2988,TOX-4
D,BPH3220,BPH3202,BPH2988,BPH2948,BPH2959,Non infected,BPH2922,BPH2966,BPH2946,BPH2948,BPH2975,BPH3202
E,TOX-4,BPH2990,BPH2989,BPH2948,Non infected,BPH2990,JE2,BPH2925,BPH2946,BPH2960,BPH2926,BPH2989
F,BPH3208,BPH2989,BPH2973,BPH2991,BPH3216,BPH3216,BPH2973,BPH2925,BPH2946,BPH2974,JE2,BPH3220
G,BPH2964,BPH3208,BPH2924,BPH2953,BPH3216,BPH2973,BPH2959,BPH2925,BPH2974,BPH2952,BPH2922,BPH2987
H,JE2,BPH2953,BPH2924,BPH2926,BPH2952,BPH2947,BPH2923,BPH2975,BPH2923,Complete lysis,Complete lysis,Complete lysis
