row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH2722,BPH2712,BPH2700,BPH2711,Non infected,BPH2714,BPH2704,BPH2727,BPH2719,BPH2716,BPH2706,BPH2717
B,BPH2724,BPH2702,BPH2724,BPH2712,BPH2725,TOX-4,BPH2714,BPH2710,BPH2711,BPH2723,BPH2713,BPH2712
C,BPH2706,BPH2709,BPH2722,BPH2724,BPH2713,BPH2721,BPH2708,BPH2718,BPH2718,BPH2701,BPH2719,TOX-5
D,BPH2727,BPH2723,BPH2719,BPH2707,BPH2710,TOX-4,BPH2700,BPH2714,BPH2705,BPH2707,BPH2717,BPH2723
E,TOX-5,BPH2721,BPH2720,BPH2707,TOX-4,BPH2721,Non infected,BPH2703,BPH2705,BPH2711,BPH2704,BPH2720
F,BPH2725,BPH2720,BPH2715,BPH2722,BPH2726,BPH2726,BPH2715,BPH2703,BPH2705,BPH2716,TOX-5,BPH2727
G,BPH2713,BPH2725,BPH2702,BPH2709,BPH2726,BPH2715,BPH2710,BPH2703,BPH2716,BPH2708,BPH2700,BPH2718
H,Non infected,BPH2709,BPH2702,BPH2704,BPH2708,BPH2706,BPH2701,BPH2717,BPH2701,Total LDH,Total LDH,Total LDH
