row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3343,BPH3333,BPH3321,BPH3332,Non infected,BPH3335,BPH3325,BPH3734,BPH3340,BPH3337,BPH3327,BPH3338
B,BPH3345,BPH3323,BPH3345,BPH3333,BPH3346,TOX-4,BPH3335,BPH3331,BPH3332,BPH3344,BPH3334,BPH3333
C,BPH3327,BPH3330,BPH3343,BPH3345,BPH3334,BPH3342,BPH3329,BPH3339,BPH3339,BPH3322,BPH3340,TOX-5
D,BPH3734,BPH3344,BPH3340,BPH3328,BPH3331,TOX-4,BPH3321,BPH3335,BPH3326,BPH3328,BPH3338,BPH3344
E,TOX-5,BPH3342,BPH3341,BPH3328,TOX-4,BPH3342,Non infected,BPH3324,BPH3326,BPH3332,BPH3325,BPH3341
F,BPH3346,BPH3341,BPH3336,BPH3343,BPH3733,BPH3733,BPH3336,BPH3324,BPH3326,BPH3337,TOX-5,BPH3734
G,BPH3334,BPH3346,BPH3323,BPH3330,BPH3733,BPH3336,BPH3331,BPH3324,BPH3337,BPH3329,BPH3321,BPH3339
H,Non infected,BPH3330,BPH3323,BPH3325,BPH3329,BPH3327,BPH3322,BPH3338,BPH3322,Total LDH,Total LDH,Total LDH
