well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
E11,12578,0,E,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_E11,NE1166,NEBRASKA
E12,13224,0,E,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_E12,NE369,NEBRASKA
F01,12047,0,F,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_F01,NE581,NEBRASKA
F02,12373,0,F,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_F02,NE369,NEBRASKA
F03,11920,0,F,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_F03,NE186,NEBRASKA
F04,11839,0,F,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_F04,NE46,NEBRASKA
F05,11823,0,F,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_F05,NE66,NEBRASKA
F06,12501,0,F,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_F06,NE66,NEBRASKA
F07,11786,0,F,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_F07,NE186,NEBRASKA
F08,11901,0,F,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_F08,NE1140,NEBRASKA
F09,11875,0,F,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_F09,NE117,NEBRASKA
F10,12000,0,F,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_F10,NE188,NEBRASKA
F11,11044,0,F,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_F11,Non infected,CONTROL
F12,15665,0,F,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_F12,NE704,NEBRASKA
G01,12639,0,G,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_G01,NE1671,NEBRASKA
G02,14103,0,G,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_G02,NE581,NEBRASKA
G03,13785,0,G,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_G03,NE1020,NEBRASKA
G04,11550,0,G,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_G04,NE1462,NEBRASKA
G05,14946,0,G,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_G05,NE66,NEBRASKA
G06,12526,0,G,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_G06,NE186,NEBRASKA
G07,12366,0,G,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_G07,NE1532,NEBRASKA
G08,12112,0,G,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_G08,NE1140,NEBRASKA
G09,12502,0,G,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_G09,NE188,NEBRASKA
G10,11798,0,G,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_G10,NE1380,NEBRASKA
G11,12555,0,G,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_G11,JE2,CONTROL
G12,13069,0,G,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_G12,NE214,NEBRASKA
H01,14317,0,H,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_H01,NE743,NEBRASKA
H02,13940,0,H,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_H02,NE1462,NEBRASKA
H03,15454,0,H,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_H03,NE1020,NEBRASKA
H04,12964,0,H,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_H04,NE1166,NEBRASKA
H05,15005,0,H,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_H05,NE1380,NEBRASKA
H06,12577,0,H,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_H06,NE1183,NEBRASKA
H07,12790,0,H,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_H07,NE1,NEBRASKA
H08,12304,0,H,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_H08,NE1919,NEBRASKA
H09,13595,0,H,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_H09,NE1,NEBRASKA
H10,28394,0,H,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_H10,Complete lysis,CONTROL
H11,33444,0,H,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_H11,Complete lysis,CONTROL
H12,27559,0,H,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_H12,Complete lysis,CONTROL
A01,12601,5,A,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_A01,NE46,NEBRASKA
A02,15567,5,A,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_A02,NE1561,NEBRASKA
A03,12777,5,A,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_A03,JE2,CONTROL
A04,12569,5,A,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_A04,NE1553,NEBRASKA
A05,13472,5,A,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_A05,NE743,NEBRASKA
A06,12913,5,A,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_A06,NE172,NEBRASKA
A07,11397,5,A,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_A07,NE1166,NEBRASKA
A08,12097,5,A,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_A08,NE704,NEBRASKA
A09,12515,5,A,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_A09,NE362,NEBRASKA
A10,12556,5,A,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_A10,NE188,NEBRASKA
A11,11999,5,A,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_A11,NE1183,NEBRASKA
A12,14697,5,A,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_A12,NE1919,NEBRASKA
B01,12048,5,B,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_B01,NE573,NEBRASKA
B02,14158,5,B,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_B02,NE1020,NEBRASKA
B03,12374,5,B,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_B03,NE573,NEBRASKA
B04,12206,5,B,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_B04,NE1561,NEBRASKA
B05,12320,5,B,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_B05,NE581,NEBRASKA
B06,11758,5,B,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_B06,NE873,NEBRASKA
B07,12174,5,B,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_B07,NE172,NEBRASKA
B08,11036,5,B,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_B08,NE1532,NEBRASKA
B09,11650,5,B,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_B09,NE1553,NEBRASKA
B10,11094,5,B,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_B10,NE472,NEBRASKA
B11,11980,5,B,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_B11,NE1671,NEBRASKA
B12,13077,5,B,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_B12,NE1561,NEBRASKA
C01,11033,5,C,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_C01,NE1183,NEBRASKA
C02,13022,5,C,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_C02,NE1462,NEBRASKA
C03,11694,5,C,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_C03,NE46,NEBRASKA
C04,11531,5,C,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_C04,NE573,NEBRASKA
C05,13229,5,C,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_C05,NE1671,NEBRASKA
C06,11390,5,C,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_C06,NE440,NEBRASKA
C07,11409,5,C,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_C07,NE1380,NEBRASKA
C08,10932,5,C,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_C08,NE214,NEBRASKA
C09,11763,5,C,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_C09,NE214,NEBRASKA
C10,11179,5,C,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_C10,NE1,NEBRASKA
C11,11516,5,C,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_C11,NE362,NEBRASKA
C12,10278,5,C,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_C12,Non infected,CONTROL
D01,11746,5,D,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_D01,NE704,NEBRASKA
D02,13027,5,D,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_D02,NE472,NEBRASKA
D03,11861,5,D,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_D03,NE362,NEBRASKA
D04,11783,5,D,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_D04,NE119,NEBRASKA
D05,11169,5,D,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_D05,NE1532,NEBRASKA
D06,11474,5,D,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_D06,NE873,NEBRASKA
D07,11283,5,D,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_D07,JE2,CONTROL
D08,11179,5,D,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_D08,NE172,NEBRASKA
D09,11133,5,D,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_D09,NE117,NEBRASKA
D10,10945,5,D,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_D10,NE119,NEBRASKA
D11,11467,5,D,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_D11,NE1919,NEBRASKA
D12,13433,5,D,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_D12,NE472,NEBRASKA
E01,10068,5,E,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_E01,Non infected,CONTROL
E02,12033,5,E,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_E02,NE440,NEBRASKA
E03,11460,5,E,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_E03,NE369,NEBRASKA
E04,11435,5,E,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_E04,NE119,NEBRASKA
E05,11637,5,E,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_E05,NE873,NEBRASKA
E06,11927,5,E,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_E06,NE440,NEBRASKA
E07,11262,5,E,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_E07,NE743,NEBRASKA
E08,11325,5,E,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_E08,NE1140,NEBRASKA
E09,11888,5,E,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_E09,NE117,NEBRASKA
E10,11585,5,E,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_E10,NE1553,NEBRASKA
E11,11914,5,E,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_E11,NE1166,NEBRASKA
E12,12328,5,E,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_E12,NE369,NEBRASKA
F01,11444,5,F,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_F01,NE581,NEBRASKA
F02,11778,5,F,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_F02,NE369,NEBRASKA
F03,11448,5,F,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_F03,NE186,NEBRASKA
F04,11239,5,F,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_F04,NE46,NEBRASKA
F05,11561,5,F,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_F05,NE66,NEBRASKA
F06,11820,5,F,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_F06,NE66,NEBRASKA
F07,11172,5,F,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_F07,NE186,NEBRASKA
F08,11242,5,F,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_F08,NE1140,NEBRASKA
F09,11118,5,F,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_F09,NE117,NEBRASKA
F10,11641,5,F,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_F10,NE188,NEBRASKA
F11,10182,5,F,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_F11,Non infected,CONTROL
F12,15198,5,F,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_F12,NE704,NEBRASKA
G01,12065,5,G,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_G01,NE1671,NEBRASKA
G02,13351,5,G,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_G02,NE581,NEBRASKA
G03,13599,5,G,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_G03,NE1020,NEBRASKA
G04,10969,5,G,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_G04,NE1462,NEBRASKA
G05,14639,5,G,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_G05,NE66,NEBRASKA
G06,11782,5,G,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_G06,NE186,NEBRASKA
G07,11680,5,G,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_G07,NE1532,NEBRASKA
G08,11465,5,G,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_G08,NE1140,NEBRASKA
G09,11929,5,G,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_G09,NE188,NEBRASKA
G10,11666,5,G,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_G10,NE1380,NEBRASKA
G11,11779,5,G,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_G11,JE2,CONTROL
G12,12339,5,G,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_G12,NE214,NEBRASKA
H01,13508,5,H,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_H01,NE743,NEBRASKA
H02,13148,5,H,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_H02,NE1462,NEBRASKA
H03,14598,5,H,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_H03,NE1020,NEBRASKA
H04,12549,5,H,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_H04,NE1166,NEBRASKA
H05,14297,5,H,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_H05,NE1380,NEBRASKA
H06,12077,5,H,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_H06,NE1183,NEBRASKA
H07,12179,5,H,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_H07,NE1,NEBRASKA
H08,11670,5,H,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_H08,NE1919,NEBRASKA
H09,12451,5,H,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_H09,NE1,NEBRASKA
H10,31349,5,H,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_H10,Complete lysis,CONTROL
H11,35043,5,H,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_H11,Complete lysis,CONTROL
H12,31441,5,H,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_H12,Complete lysis,CONTROL
A01,12009,10,A,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_A01,NE46,NEBRASKA
A02,15316,10,A,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_A02,NE1561,NEBRASKA
A03,12824,10,A,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_A03,JE2,CONTROL
A04,11806,10,A,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_A04,NE1553,NEBRASKA
A05,12469,10,A,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_A05,NE743,NEBRASKA
A06,12051,10,A,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_A06,NE172,NEBRASKA
A07,11012,10,A,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_A07,NE1166,NEBRASKA
A08,11628,10,A,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_A08,NE704,NEBRASKA
A09,12015,10,A,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_A09,NE362,NEBRASKA
A10,12541,10,A,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_A10,NE188,NEBRASKA
A11,11187,10,A,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_A11,NE1183,NEBRASKA
A12,14171,10,A,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_A12,NE1919,NEBRASKA
B01,11782,10,B,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_B01,NE573,NEBRASKA
B02,13448,10,B,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_B02,NE1020,NEBRASKA
B03,11431,10,B,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_B03,NE573,NEBRASKA
B04,11568,10,B,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_B04,NE1561,NEBRASKA
B05,11406,10,B,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_B05,NE581,NEBRASKA
B06,11349,10,B,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_B06,NE873,NEBRASKA
B07,11741,10,B,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_B07,NE172,NEBRASKA
B08,10679,10,B,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_B08,NE1532,NEBRASKA
B09,11015,10,B,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_B09,NE1553,NEBRASKA
B10,10729,10,B,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_B10,NE472,NEBRASKA
B11,10999,10,B,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_B11,NE1671,NEBRASKA
B12,12838,10,B,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_B12,NE1561,NEBRASKA
C01,10542,10,C,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_C01,NE1183,NEBRASKA
C02,12529,10,C,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_C02,NE1462,NEBRASKA
C03,11211,10,C,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_C03,NE46,NEBRASKA
C04,10896,10,C,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_C04,NE573,NEBRASKA
C05,12743,10,C,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_C05,NE1671,NEBRASKA
C06,11048,10,C,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_C06,NE440,NEBRASKA
C07,10868,10,C,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_C07,NE1380,NEBRASKA
C08,10492,10,C,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_C08,NE214,NEBRASKA
C09,11256,10,C,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_C09,NE214,NEBRASKA
C10,10793,10,C,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_C10,NE1,NEBRASKA
C11,10866,10,C,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_C11,NE362,NEBRASKA
C12,9761,10,C,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_C12,Non infected,CONTROL
D01,11102,10,D,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_D01,NE704,NEBRASKA
D02,12188,10,D,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_D02,NE472,NEBRASKA
