sample_id	sample_id2	phensim
zero	zero	-48.713
1	1	-35.9485
2	2	-12.0044
3	3	-1.10569
4	4	57.0672
5	5	26.9075
6	6	16.4157
7	7	-14.1959
8	8	-55.6595
9	9	1.13279
10	10	10.1384
11	11	-17.8905
12	12	56.7339
13	13	26.6072
14	14	14.1396
15	15	29.8055
16	16	20.7253
17	17	57.7327
18	18	-32.4211
19	19	-21.2647
20	20	-5.858
21	21	19.8768
22	22	-1.61982
23	23	-26.1477
24	24	7.37626
25	25	10.7204
26	26	-7.43928
27	27	30.2419
28	28	21.89
29	29	46.5705
30	30	-6.21616
31	31	3.49644
32	32	6.81158
33	33	20.5435
34	34	6.46602
35	35	-12.6206
36	36	-2.00453
37	37	3.78784
38	38	-22.8375
39	39	-2.26126
40	40	29.6304
41	41	8.79372
42	42	11.4068
43	43	14.514
44	44	27.0118
45	45	-4.43556
46	46	31.791
47	47	21.0442
48	48	28.6702
49	49	-55.2685
50	50	-96.6753
51	51	9.43108
52	52	-1.99004
53	53	54.364
54	54	10.9471
55	55	6.08521
56	56	17.9
57	57	10.8519
58	58	-15.931
59	59	28.8611
60	60	-26.1167
61	61	33.2864
62	62	-10.9037
63	63	13.0742
64	64	28.7285
65	65	12.4901
66	66	-41.8627
67	67	-20.297
68	68	-28.3147
69	69	12.4145
70	70	-0.126925
71	71	-0.881632
72	72	-22.2256
73	73	-0.123073
74	74	-27.1417
75	75	-26.2312
76	76	-23.4038
77	77	20.2332
78	78	25.4569
79	79	7.76526
80	80	-43.0399
81	81	41.3757
82	82	-6.30467
83	83	1.54719
84	84	4.36674
85	85	-10.8189
86	86	25.8406
87	87	-21.6704
88	88	-34.2345
89	89	-7.96449
90	90	41.0636
91	91	-10.11
92	92	20.6775
93	93	67.9596
94	94	26.2607
95	95	20.1815
96	96	-1.12089
97	97	-20.8568
98	98	23.7379
99	99	-9.22304
100	100	23.4216
101	101	-27.6026
102	102	1.36008
103	103	-21.8005
104	104	-6.19691
105	105	25.7522
106	106	74.9016
107	107	-10.6046
108	108	-42.2525
109	109	-11.8227
110	110	-4.84971
111	111	15.1158
112	112	-28.1186
113	113	-10.0093
114	114	-19.4211
115	115	9.32463
116	116	-26.615
117	117	-13.2283
118	118	15.4537
119	119	32.1832
120	120	-43.0606
121	121	-1.85817
122	122	-13.1486
123	123	-32.9167
124	124	-15.3727
125	125	-30.0326
126	126	26.1905
127	127	8.3916
128	128	23.2569
129	129	-22.0176
130	130	-5.26537
131	131	-0.780316
132	132	-22.5837
133	133	11.3887
134	134	22.668
135	135	-45.3245
136	136	26.6482
137	137	-14.0483
138	138	-3.52435
139	139	-11.3054
140	140	-31.4504
141	141	-11.876
142	142	25.3858
143	143	-37.2259
144	144	15.8933
145	145	12.3595
146	146	-37.4471
147	147	-6.09754
148	148	-23.5486
149	149	-6.58928
150	150	13.172
151	151	23.883
152	152	-13.6931
153	153	45.8537
154	154	2.00427
155	155	-18.9799
156	156	14.3599
