GP-0001	0
GP-0002	22
GP-0003	0
GP-0004	21
GP-0005	159
GP-0006	113
GP-0007	148
GP-0008	94
GP-0009	89
GP-0010	103
GP-0011	127
GP-0012	60
GP-0013	2
GP-0014	54
GP-0015	54
GP-0016	54
GP-0017	46
GP-0018	20
GP-0019	74
GP-0020	35
GP-0021	84
GP-0022	79
GP-0023	25
GP-0024	74
GP-0025	38
GP-0026	77
GP-0027	75
GP-0028	96
GP-0029	15
GP-0030	1
GP-0031	9
GP-0032	6
GP-0033	65
GP-0034	71
GP-0035	4
GP-0036	51
GP-0037	14
GP-0038	33
GP-0039	4
GP-0040	4
GP-0041	22
GP-0042	0
GP-0043	30
GP-0044	41
GP-0045	3
GP-0046	3
GP-0047	0
GP-0048	0
GP-0049	38
GP-0050	47
GP-0051	2
GP-0052	68
GP-0053	44
GP-0054	19
GP-0055	35
GP-0056	35
GP-0057	578
GP-0058	72
GP-0059	67
GP-0060	61
GP-0061	119
GP-0062	62
GP-0063	64
GP-0064	58
GP-0065	64
GP-0066	59
GP-0067	77
GP-0068	45
GP-0069	55
GP-0070	58
GP-0071	58
GP-0072	57
GP-0073	57
GP-0074	89
GP-0075	71
GP-0076	36
GP-0077	35
GP-0078	73
GP-0079	40
GP-0080	82
GP-0081	53
GP-0082	81
GP-0083	81
GP-0084	95
GP-0085	55
GP-0086	57
GP-0087	52
GP-0088	54
GP-0089	75
GP-0090	51
GP-0091	49
GP-0092	53
GP-0093	56
GP-0094	52
GP-0095	78
GP-0096	54
GP-0097	55
GP-0098	52
GP-0099	1
GP-0100	1
GP-0101	52
GP-0102	51
GP-0103	0
GP-0104	0
GP-0105	51
GP-0106	52
GP-0107	0
GP-0108	0
GP-0109	52
GP-0110	10
GP-0111	28
GP-0112	11
GP-0113	32
GP-0114	26
GP-0115	31
GP-0116	0
GP-0117	0
GP-0118	10
GP-0119	10
GP-0120	10
GP-0121	0
GP-0122	0
GP-0123	0
GP-0124	0
GP-0125	0
GP-0126	0
GP-0127	0
GP-0128	0
GP-0129	0
GP-0130	2
GP-0131	2
GP-0132	0
GP-0133	0
GP-0134	21
GP-0135	21
GP-0136	0
GP-0137	2
GP-0138	3
GP-0139	1
GP-0140	6
GP-0141	7
GP-0142	22
GP-0143	2
GP-0144	43
GP-0145	62
GP-0146	2
GP-0147	4
GP-0148	2
GP-0149	36
GP-0150	37
GP-0151	2
GP-0152	20
GP-0153	4
GP-0154	2
GP-0155	11
GP-0156	12
GP-0157	64
GP-0158	61
GP-0159	82
GP-0160	73
GP-0161	75
GP-0162	79
GP-0163	77
GP-0164	50
GP-0165	45
GP-0166	49
GP-0167	56
GP-0168	51
GP-0169	48
GP-0170	52
GP-0171	50
GP-0172	48
GP-0173	49
GP-0174	69
GP-0175	52
GP-0176	51
GP-0177	76
GP-0178	49
GP-0179	82
GP-0180	63
GP-0181	44
GP-0182	58
GP-0183	298
GP-0184	74
GP-0185	44
GP-0186	49
GP-0187	44
GP-0188	45
GP-0189	54
GP-0190	42
GP-0191	44
GP-0192	46
GP-0193	47
GP-0194	43
GP-0195	57
GP-0196	44
GP-0197	46
GP-0198	0
GP-0199	0
GP-0200	8
GP-0201	13
GP-0202	14
GP-0203	40
GP-0204	13
GP-0205	11
GP-0206	0
GP-0207	0
GP-0208	1
GP-0209	0
GP-0210	55
GP-0211	17
GP-0212	81
GP-0213	49
GP-0214	26
GP-0215	40
GP-0216	47
GP-0217	2
GP-0218	0
GP-0219	201
GP-0220	209
GP-0221	102
GP-0222	93
GP-0223	89
GP-0224	87
GP-0225	2
GP-0226	3
GP-0227	3
GP-0228	5
GP-0229	4
GP-0230	5
GP-0231	6
GP-0232	6
GP-0233	4
GP-0234	4
GP-0235	1
GP-0236	5
GP-0237	3
GP-0238	3
GP-0239	0
GP-0240	4
GP-0241	5
GP-0242	3
GP-0243	4
GP-0244	4
GP-0245	16
GP-0246	1
GP-0247	50
GP-0248	60
GP-0249	60
GP-0250	60
GP-0251	2
GP-0252	60
GP-0253	0
GP-0254	58
GP-0255	2
GP-0256	2
GP-0257	0
GP-0258	0
GP-0259	0
GP-0260	0
GP-0261	0
GP-0262	0
GP-0263	5
GP-0264	0
GP-0265	5
GP-0266	5
GP-0267	0
GP-0268	5
GP-0269	0
GP-0270	0
GP-0271	1
GP-0272	1
GP-0273	0
GP-0274	0
GP-0275	0
GP-0276	1
GP-0277	0
GP-0278	2
GP-0279	2
GP-0280	2
GP-0281	11
GP-0282	16
GP-0283	0
GP-0284	2
GP-0285	2
GP-0286	2
GP-0287	11
GP-0288	16
GP-0289	2
GP-0290	1
GP-0291	3
GP-0292	4
GP-0293	13
GP-0294	18
GP-0295	2
GP-0296	3
GP-0297	3
GP-0298	3
GP-0299	13
GP-0300	18
GP-0301	1
GP-0302	2
GP-0303	4
GP-0304	4
GP-0305	13
GP-0306	18
GP-0307	11
GP-0308	11
GP-0309	13
GP-0310	13
GP-0311	13
GP-0312	13
GP-0313	454
GP-0314	572
GP-0315	35
GP-0316	35
GP-0317	37
GP-0318	37
GP-0319	37
GP-0320	32
GP-0321	441
GP-0322	448
GP-0323	447
GP-0324	0
GP-0325	0
GP-0326	0
GP-0327	0
GP-0328	0
GP-0329	0
GP-0330	0
GP-0331	0
GP-0332	72
GP-0333	72
GP-0334	56
GP-0335	51
GP-0336	55
GP-0337	59
GP-0338	52
GP-0339	79
GP-0340	60
GP-0341	60
GP-0342	57
GP-0343	58
GP-0344	72
GP-0345	64
GP-0346	55
GP-0347	76
GP-0348	60
GP-0349	84
GP-0350	66
GP-0351	53
GP-0352	60
GP-0353	300
GP-0354	78
GP-0355	48
GP-0356	58
GP-0357	53
GP-0358	74
GP-0359	52
GP-0360	45
GP-0361	48
GP-0362	76
GP-0363	55
GP-0364	42
GP-0365	63
GP-0366	50
GP-0367	77
GP-0368	8
GP-0369	8
GP-0370	36
GP-0371	74
GP-0372	10
GP-0373	2
GP-0374	3
GP-0375	9
GP-0376	5
GP-0377	59
GP-0378	54
GP-0379	61
GP-0380	62
GP-0381	67
GP-0382	66
GP-0383	62
GP-0384	63
GP-0385	66
GP-0386	59
GP-0387	62
GP-0388	69
GP-0389	65
GP-0390	65
GP-0391	60
GP-0392	60
GP-0393	65
GP-0394	73
GP-0395	57
GP-0396	63
GP-0397	59
GP-0398	59
GP-0399	62
GP-0400	57
GP-0401	61
GP-0402	60
GP-0403	60
GP-0404	52
GP-0405	60
GP-0406	59
GP-0407	3
GP-0408	13
GP-0409	8
GP-0410	11
GP-0411	19
GP-0412	10
GP-0413	68
GP-0414	62
GP-0415	68
GP-0416	69
GP-0417	70
GP-0418	74
GP-0419	68
GP-0420	77
GP-0421	75
GP-0422	68
GP-0423	68
GP-0424	72
GP-0425	81
GP-0426	66
GP-0427	64
GP-0428	65
GP-0429	62
GP-0430	64
GP-0431	61
GP-0432	70
GP-0433	64
GP-0434	40
GP-0435	20
GP-0436	48
GP-0437	1
GP-0438	116
GP-0439	20
GP-0440	37
GP-0441	32
GP-0442	112
GP-0443	51
GP-0444	62
GP-0445	38
GP-0446	38
GP-0447	39
GP-0448	86
GP-0449	92
GP-0450	104
GP-0451	102
GP-0452	102
GP-0453	107
GP-0454	102
GP-0455	94
GP-0456	97
GP-0457	91
GP-0458	87
GP-0459	95
GP-0460	107
GP-0461	109
GP-0462	84
GP-0463	79
GP-0464	89
GP-0465	88
GP-0466	60
GP-0467	90
GP-0468	77
GP-0469	81
GP-0470	86
GP-0471	85
GP-0472	78
GP-0473	83
GP-0474	77
GP-0475	74
GP-0476	87
GP-0477	80
GP-0478	39
GP-0479	119
GP-0480	97
GP-0481	42
GP-0482	53
GP-0483	11
GP-0484	26
GP-0485	25
GP-0486	89
GP-0487	84
GP-0488	95
GP-0489	89
GP-0490	93
GP-0491	97
GP-0492	85
GP-0493	98
GP-0494	94
GP-0495	73
GP-0496	95
GP-0497	100
GP-0498	101
GP-0499	73
GP-0500	66
GP-0501	82
GP-0502	83
GP-0503	75
GP-0504	67
GP-0505	75
GP-0506	72
GP-0507	72
GP-0508	73
GP-0509	69
GP-0510	86
GP-0511	72
GP-0512	105
GP-0513	68
GP-0514	72
GP-0515	29
GP-0516	36
GP-0517	41
GP-0518	95
GP-0519	98
GP-0520	112
GP-0521	109
GP-0522	114
GP-0523	115
GP-0524	106
GP-0525	106
GP-0526	109
GP-0527	108
GP-0528	87
GP-0529	114
GP-0530	112
GP-0531	117
GP-0532	87
GP-0533	76
GP-0534	90
GP-0535	89
GP-0536	62
GP-0537	80
GP-0538	78
GP-0539	82
GP-0540	86
GP-0541	85
GP-0542	78
GP-0543	82
GP-0544	82
GP-0545	73
GP-0546	85
GP-0547	85
GP-0548	20
GP-0549	50
GP-0550	20
GP-0551	44
GP-0552	5
GP-0553	23
GP-0554	20
GP-0555	20
GP-0556	26
GP-0557	18
GP-0558	46
GP-0559	16
GP-0560	13
GP-0561	95
GP-0562	31
GP-0563	31
GP-0564	6
GP-0565	13
GP-0566	19
GP-0567	79
GP-0568	67
GP-0569	81
GP-0570	81
GP-0571	84
GP-0572	80
GP-0573	79
GP-0574	87
GP-0575	81
GP-0576	69
GP-0577	84
GP-0578	88
GP-0579	82
GP-0580	70
GP-0581	65
GP-0582	75
GP-0583	77
GP-0584	68
GP-0585	67
GP-0586	69
GP-0587	72
GP-0588	64
GP-0589	65
GP-0590	64
GP-0591	66
GP-0592	71
GP-0593	127
GP-0594	116
GP-0595	71
GP-0596	69
GP-0597	70
GP-0598	47
GP-0599	41
GP-0600	99
GP-0601	90
GP-0602	100
GP-0603	14
GP-0604	18
GP-0605	38
GP-0606	12
GP-0607	109
GP-0608	121
GP-0609	109
GP-0610	17
GP-0611	23
GP-0612	106
GP-0613	101
GP-0614	87
GP-0615	87
GP-0616	88
GP-0617	9
GP-0618	23
GP-0619	72
GP-0620	68
GP-0621	72
GP-0622	47
GP-0623	71
GP-0624	79
GP-0625	64
GP-0626	94
GP-0627	83
GP-0628	72
GP-0629	104
GP-0630	93
GP-0631	80
GP-0632	99
GP-0633	98
GP-0634	82
GP-0635	72
GP-0636	37
GP-0637	39
GP-0638	34
GP-0639	56
GP-0640	72
GP-0641	91
GP-0642	101
GP-0643	124
GP-0644	153
GP-0645	71
GP-0646	543
GP-0647	98
GP-0648	79
GP-0649	74
GP-0650	50
GP-0651	47
GP-0652	84
GP-0653	11
GP-0654	38
GP-0655	97
GP-0656	103
GP-0657	63
GP-0658	113
GP-0659	39
GP-0660	512
GP-0661	84
GP-0662	65
GP-0663	59
GP-0664	36
GP-0665	32
GP-0666	36
GP-0667	11
GP-0668	66
GP-0669	73
GP-0670	21
GP-0671	10
GP-0672	26
GP-0673	10
GP-0674	5
GP-0675	35
GP-0676	38
GP-0677	84
GP-0678	79
GP-0679	10
GP-0680	7
GP-0681	12
GP-0682	10
GP-0683	13
GP-0684	22
GP-0685	139
GP-0686	17
GP-0687	30
GP-0688	181
GP-0689	121
GP-0690	119
GP-0691	116
GP-0692	125
GP-0693	143
GP-0694	166
GP-0695	65
GP-0696	156
GP-0697	27
GP-0698	115
GP-0699	146
GP-0700	142
GP-0701	14
GP-0702	25
GP-0703	61
GP-0704	22
GP-0705	172
GP-0706	161
GP-0707	46
GP-0708	100
GP-0709	141
GP-0710	44
GP-0711	36
GP-0712	37
GP-0713	131
GP-0714	186
GP-0715	121
GP-0716	168
GP-0717	114
GP-0718	55
GP-0719	165
GP-0720	157
GP-0721	169
GP-0722	26
GP-0723	41
GP-0724	17
GP-0725	19
GP-0726	50
GP-0727	54
GP-0728	105
GP-0729	97
GP-0730	15
GP-0731	18
GP-0732	16
GP-0733	11
GP-0734	25
GP-0735	35
GP-0736	3
GP-0737	3
GP-0738	2
GP-0739	70
GP-0740	62
GP-0741	23
GP-0742	28
GP-0743	23
GP-0744	19
GP-0745	39
GP-0746	41
GP-0747	22
GP-0748	20
GP-0749	25
GP-0750	24
GP-0751	25
GP-0752	1
GP-0753	8
GP-0754	10
GP-0755	62
GP-0756	103
GP-0757	103
GP-0758	79
GP-0759	112
GP-0760	63
GP-0761	550
GP-0762	508
GP-0763	75
GP-0764	59
GP-0765	54
GP-0766	33
GP-0767	30
GP-0768	46
GP-0769	9
GP-0770	34
GP-0771	11
GP-0772	18
GP-0773	18
GP-0774	23
GP-0775	36
GP-0776	91
GP-0777	79
GP-0778	66
GP-0779	70
GP-0780	52
GP-0781	27
GP-0782	33
GP-0783	19
GP-0784	27
GP-0785	55
GP-0786	48
GP-0787	22
GP-0788	24
GP-0789	11
GP-0790	18
GP-0791	54
GP-0792	47
GP-0793	20
GP-0794	7
GP-0795	6
GP-0796	49
GP-0797	11
GP-0798	6
GP-0799	12
GP-0800	46
GP-0801	27
GP-0802	47
GP-0803	31
GP-0804	197
GP-0805	191
GP-0806	16
GP-0807	24
GP-0808	15
GP-0809	13
GP-0810	28
GP-0811	37
GP-0812	63
GP-0813	107
GP-0814	86
GP-0815	82
GP-0816	67
GP-0817	66
GP-0818	21
GP-0819	21
GP-0820	10
GP-0821	9
GP-0822	57
GP-0823	109
GP-0824	61
GP-0825	53
GP-0826	66
GP-0827	61
GP-0828	42
GP-0829	25
GP-0830	31
GP-0831	120
