well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
F09,18004,0,F,09,exp191130,40000,5,exp191130_5_F09,BPH2817,1,VAN-092
F10,17605,0,F,10,exp191130,40000,5,exp191130_5_F10,BPH2829,2,VAN-102
F11,16907,0,F,11,exp191130,40000,5,exp191130_5_F11,Blank,3,NA
F12,17575,0,F,12,exp191130,40000,5,exp191130_5_F12,Non infected,2,CONTROL
G01,18486,0,G,01,exp191130,40000,5,exp191130_5_G01,BPH2825,2,VAN-098
G02,18130,0,G,02,exp191130,40000,5,exp191130_5_G02,BPH2838,2,VAN-109
G03,18002,0,G,03,exp191130,40000,5,exp191130_5_G03,BPH2814,3,VAN-090
G04,16737,0,G,04,exp191130,40000,5,exp191130_5_G04,BPH2821,2,VAN-095
G05,18114,0,G,05,exp191130,40000,5,exp191130_5_G05,BPH2839,3,VAN-110
G06,17171,0,G,06,exp191130,40000,5,exp191130_5_G06,BPH2828,1,VAN-101
G07,17697,0,G,07,exp191130,40000,5,exp191130_5_G07,BPH2822,1,VAN-096
G08,17648,0,G,08,exp191130,40000,5,exp191130_5_G08,BPH2815,1,VAN-090
G09,17739,0,G,09,exp191130,40000,5,exp191130_5_G09,BPH2829,1,VAN-102
G10,17121,0,G,10,exp191130,40000,5,exp191130_5_G10,BPH2820,2,VAN-094
G11,16374,0,G,11,exp191130,40000,5,exp191130_5_G11,BPH2812,3,VAN-090
G12,17729,0,G,12,exp191130,40000,5,exp191130_5_G12,BPH2831,3,VAN-104
H01,18154,0,H,01,exp191130,40000,5,exp191130_5_H01,TOX-4,2,CONTROL
H02,18014,0,H,02,exp191130,40000,5,exp191130_5_H02,BPH2821,3,VAN-095
H03,18075,0,H,03,exp191130,40000,5,exp191130_5_H03,BPH2814,2,VAN-090
H04,17327,0,H,04,exp191130,40000,5,exp191130_5_H04,BPH2816,3,VAN-091
H05,17558,0,H,05,exp191130,40000,5,exp191130_5_H05,BPH2820,3,VAN-094
H06,17242,0,H,06,exp191130,40000,5,exp191130_5_H06,BPH2818,1,VAN-093
H07,17079,0,H,07,exp191130,40000,5,exp191130_5_H07,BPH2813,2,VAN-090
H08,17340,0,H,08,exp191130,40000,5,exp191130_5_H08,BPH2830,2,VAN-103
H09,18047,0,H,09,exp191130,40000,5,exp191130_5_H09,BPH2813,1,VAN-090
H10,29809,0,H,10,exp191130,40000,5,exp191130_5_H10,Complete lysis,1,CONTROL
