well,sample_id,before-3,after_neat,after-1,experiment,plate,trial,lysis_method,infection duration,to exclude,strain_group
D5,NE300,11,,18,exp191219-,C,2,water,24h,,NEBRASKA
G7,NE300,16,,21,exp191219-,C,2,water,24h,,NEBRASKA
A4,NE302,21,,19,exp191219-,C,2,water,24h,,NEBRASKA
B9,NE302,13,,17,exp191219-,C,2,water,24h,,NEBRASKA
E10,NE302,19,,38,exp191219-,C,2,water,24h,,NEBRASKA
A2,NE319,21,,29,exp191219-,C,2,water,24h,,NEBRASKA
B12,NE319,19,,38,exp191219-,C,2,water,24h,,NEBRASKA
B4,NE319,10,,32,exp191219-,C,2,water,24h,,NEBRASKA
B11,NE338,22,,27,exp191219-,C,2,water,24h,,NEBRASKA
C5,NE338,6,,40,exp191219-,C,2,water,24h,,NEBRASKA
G1,NE338,26,,35,exp191219-,C,2,water,24h,,NEBRASKA
A6,NE346,17,,43,exp191219-,C,2,water,24h,,NEBRASKA
B7,NE346,17,,59,exp191219-,C,2,water,24h,,NEBRASKA
D8,NE346,11,,41,exp191219-,C,2,water,24h,,NEBRASKA
E12,NE346,60,,18,exp200122-,E,1,water,24h,,NEBRASKA
E3,NE346,38,,46,exp200122-,E,1,water,24h,,NEBRASKA
F2,NE346,43,,15,exp200122-,E,1,water,24h,,NEBRASKA
E3,NE346,11,4,0,exp200203-,E,2,water,72h,,NEBRASKA
E12,NE346,10,0,0,exp200203-,E,2,water,72h,dry well,NEBRASKA
F2,NE346,6,1,0,exp200203-,E,2,water,72h,,NEBRASKA
F3,NE348,12,,13,exp191219-,C,2,water,24h,,NEBRASKA
F7,NE348,15,,33,exp191219-,C,2,water,24h,,NEBRASKA
G6,NE348,12,,34,exp191219-,C,2,water,24h,,NEBRASKA
A10,NE35,16,,43,exp191219-,C,2,water,24h,,NEBRASKA
F10,NE35,19.5,,28,exp191219-,C,2,water,24h,,NEBRASKA
G9,NE35,16,,26,exp191219-,C,2,water,24h,,NEBRASKA
A12,NE354,18,,38,exp191219-,C,2,water,24h,,NEBRASKA
D11,NE354,13,,50,exp191219-,C,2,water,24h,,NEBRASKA
H8,NE354,25,,22,exp191219-,C,2,water,24h,,NEBRASKA
C8,NE363,14,,7,exp191219-,C,2,water,24h,,NEBRASKA
C9,NE363,10,,33,exp191219-,C,2,water,24h,,NEBRASKA
G12,NE363,25,,1,exp191219-,C,2,water,24h,,NEBRASKA
B11,NE363,0,7,0,exp200213-,F,1,water,48h,,NEBRASKA
C5,NE363,2,7,0,exp200213-,F,1,water,48h,,NEBRASKA
G1,NE363,9,58,0,exp200213-,F,1,water,48h,,NEBRASKA
A9,NE376,11,,27,exp191219-,C,2,water,24h,,NEBRASKA
C11,NE376,12,,19,exp191219-,C,2,water,24h,,NEBRASKA
D3,NE376,19,,35,exp191219-,C,2,water,24h,,NEBRASKA
C6,NE382,41,,7,exp200122-,E,1,water,24h,,NEBRASKA
E2,NE382,52,,13,exp200122-,E,1,water,24h,,NEBRASKA
E6,NE382,24,,6,exp200122-,E,1,water,24h,,NEBRASKA
C6,NE382,15,0,0,exp200203-,E,2,water,72h,,NEBRASKA
E2,NE382,8,3,0,exp200203-,E,2,water,72h,,NEBRASKA
E6,NE382,12,1,0,exp200203-,E,2,water,72h,,NEBRASKA
E12,NE382 or NE282,24,,8,exp191219-,C,2,water,24h,,NEBRASKA
C6,NE385,20,,37,exp191219-,C,2,water,24h,,NEBRASKA
E2,NE385,13,,18,exp191219-,C,2,water,24h,,NEBRASKA
E6,NE385,17,,25,exp191219-,C,2,water,24h,,NEBRASKA
A6,NE385,2,24,0,exp200213-,F,1,water,48h,evaporation,NEBRASKA
B7,NE385,3,49,0,exp200213-,F,1,water,48h,,NEBRASKA
D8,NE385,0,5,0,exp200213-,F,1,water,48h,,NEBRASKA
A1,NE390,22,,19,exp191219-,C,2,water,24h,,NEBRASKA
C3,NE390,14,,27,exp191219-,C,2,water,24h,,NEBRASKA
F4,NE390,17,,32,exp191219-,C,2,water,24h,,NEBRASKA
A1,NE390,97,,14,exp200122-,E,1,water,24h,,NEBRASKA
C3,NE390,51,,16,exp200122-,E,1,water,24h,,NEBRASKA
F4,NE390,35,,9,exp200122-,E,1,water,24h,,NEBRASKA
A1,NE390,18,10,0,exp200203-,E,2,water,72h,,NEBRASKA
C3,NE390,10,12,0,exp200203-,E,2,water,72h,,NEBRASKA
F4,NE390,12,1,0,exp200203-,E,2,water,72h,,NEBRASKA
B10,NE391,14,,23,exp191219-,C,2,water,24h,,NEBRASKA
D12,NE391,15,,18,exp191219-,C,2,water,24h,,NEBRASKA
D2,NE391,12,,10,exp191219-,C,2,water,24h,,NEBRASKA
F3,NE391,2,3,0,exp200213-,F,1,water,48h,,NEBRASKA
F7,NE391,0,48,0,exp200213-,F,1,water,48h,,NEBRASKA
G6,NE391,2,18,0,exp200213-,F,1,water,48h,,NEBRASKA
B1,NE398,18.5,,19,exp191219-,C,2,water,24h,,NEBRASKA
B3,NE398,10,,30,exp191219-,C,2,water,24h,,NEBRASKA
C4,NE398,13,,16,exp191219-,C,2,water,24h,,NEBRASKA
A10,NE398,1,42,0,exp200213-,F,1,water,48h,,NEBRASKA
F10,NE398,1,3,0,exp200213-,F,1,water,48h,,NEBRASKA
G9,NE398,14,2,0,exp200213-,F,1,water,48h,,NEBRASKA
B5,NE402,20,,27,exp191219-,C,2,water,24h,,NEBRASKA
F1,NE402,36,,14,exp191219-,C,2,water,24h,,NEBRASKA
G2,NE402,12,,28,exp191219-,C,2,water,24h,,NEBRASKA
F5,NE424,9,,20,exp191219-,C,2,water,24h,,NEBRASKA
F6,NE424,5,,26,exp191219-,C,2,water,24h,,NEBRASKA
G5,NE424,18,,19,exp191219-,C,2,water,24h,,NEBRASKA
A12,NE424,5,16,0,exp200213-,F,1,water,48h,,NEBRASKA
D11,NE424,2,28.5,0,exp200213-,F,1,water,48h,,NEBRASKA
H8,NE424,12,25,0,exp200213-,F,1,water,48h,,NEBRASKA
A8,NE432,22,,16,exp191219-,C,2,water,24h,,NEBRASKA
D1,NE432,24,,15,exp191219-,C,2,water,24h,,NEBRASKA
F12,NE432,27,,12,exp191219-,C,2,water,24h,,NEBRASKA
B10,NE432,30,,4,exp200122-,E,1,water,24h,,NEBRASKA
D12,NE432,46,,1,exp200122-,E,1,water,24h,,NEBRASKA
D2,NE432,46,,9,exp200122-,E,1,water,24h,,NEBRASKA
B10,NE432,5,2,0,exp200203-,E,2,water,72h,,NEBRASKA
D2,NE432,3,0,0,exp200203-,E,2,water,72h,,NEBRASKA
D12,NE432,11,0,0,exp200203-,E,2,water,72h,dry well,NEBRASKA
A5,NE455,28,,37,exp191219-,C,2,water,24h,,NEBRASKA
E7,NE455,16,,21,exp191219-,C,2,water,24h,,NEBRASKA
H1,NE455,17.5,,16,exp191219-,C,2,water,24h,,NEBRASKA
B1,NE46,54,,10,exp200122-,E,1,water,24h,,NEBRASKA
B3,NE46,63,,10,exp200122-,E,1,water,24h,,NEBRASKA
C4,NE46,32,,13,exp200122-,E,1,water,24h,,NEBRASKA
B1,NE46,6,0,0,exp200203-,E,2,water,72h,,NEBRASKA
B3,NE46,7,0,0,exp200203-,E,2,water,72h,,NEBRASKA
C4,NE46,7,1,0,exp200203-,E,2,water,72h,,NEBRASKA
C10,NE46,30,,23,exp201219-,D,1,water,24h,,NEBRASKA
H7,NE46,77,,28,exp201219-,D,1,water,24h,,NEBRASKA
H9,NE46,46,,4,exp201219-,D,1,water,24h,,NEBRASKA
B2,NE472,39,,11,exp201219-,D,1,water,24h,,NEBRASKA
G3,NE472,30,,9,exp201219-,D,1,water,24h,,NEBRASKA
H3,NE472,41,,21.5,exp201219-,D,1,water,24h,,NEBRASKA
E8,NE479,47,,20,exp201219-,D,1,water,24h,,NEBRASKA
F8,NE479,49,,25,exp201219-,D,1,water,24h,,NEBRASKA
G8,NE479,40,,32,exp201219-,D,1,water,24h,,NEBRASKA
A7,NE488,79,,21,exp201219-,D,1,water,24h,,NEBRASKA
E11,NE488,58,,24,exp201219-,D,1,water,24h,,NEBRASKA
H4,NE488,57,,19,exp201219-,D,1,water,24h,,NEBRASKA
D9,NE509,40,,19,exp201219-,D,1,water,24h,,NEBRASKA
E9,NE509,43,,25,exp201219-,D,1,water,24h,,NEBRASKA
F9,NE509,41,,29,exp201219-,D,1,water,24h,,NEBRASKA
B5,NE515,46,,6,exp200122-,E,1,water,24h,,NEBRASKA
F1,NE515,70,,13,exp200122-,E,1,water,24h,,NEBRASKA
G2,NE515,37,,18,exp200122-,E,1,water,24h,,NEBRASKA
B5,NE515,8,1,0,exp200203-,E,2,water,72h,,NEBRASKA
F1,NE515,27,0,0,exp200203-,E,2,water,72h,,NEBRASKA
G2,NE515,11,0,0,exp200203-,E,2,water,72h,,NEBRASKA
A11,NE515,84,,30,exp201219-,D,1,water,24h,,NEBRASKA
C1,NE515,50,,49,exp201219-,D,1,water,24h,,NEBRASKA
H6,NE515,59,,25,exp201219-,D,1,water,24h,,NEBRASKA
C8,NE52,0,39,0,exp200213-,F,1,water,48h,,NEBRASKA
C9,NE52,0,18,0,exp200213-,F,1,water,48h,,NEBRASKA
G12,NE52,8,0,0,exp200213-,F,1,water,48h,evaporation,NEBRASKA
D10,NE52,40,,23,exp201219-,D,1,water,24h,,NEBRASKA
D4,NE52,32,,19,exp201219-,D,1,water,24h,,NEBRASKA
E4,NE52,29,,22,exp201219-,D,1,water,24h,,NEBRASKA
F5,NE558,50,,6,exp200122-,E,1,water,24h,,NEBRASKA
F6,NE558,38,,8,exp200122-,E,1,water,24h,,NEBRASKA
G5,NE558,49,,10,exp200122-,E,1,water,24h,,NEBRASKA
F5,NE558,14,0,0,exp200203-,E,2,water,72h,,NEBRASKA
F6,NE558,8,0,0,exp200203-,E,2,water,72h,,NEBRASKA
G5,NE558,14,0,0,exp200203-,E,2,water,72h,,NEBRASKA
C7,NE558,42,,33,exp201219-,D,1,water,24h,,NEBRASKA
G10,NE558,37,,6,exp201219-,D,1,water,24h,,NEBRASKA
H5,NE558,43,,24,exp201219-,D,1,water,24h,,NEBRASKA
A9,NE564,2,25,0,exp200213-,F,1,water,48h,,NEBRASKA
C11,NE564,1,40,0,exp200213-,F,1,water,48h,,NEBRASKA
D3,NE564,1,11,0,exp200213-,F,1,water,48h,,NEBRASKA
C2,NE564,40,,42,exp201219-,D,1,water,24h,,NEBRASKA
G4,NE564,28,,21,exp201219-,D,1,water,24h,,NEBRASKA
H2,NE564,73,,26,exp201219-,D,1,water,24h,,NEBRASKA
B8,NE567,38,,31,exp201219-,D,1,water,24h,,NEBRASKA
D5,NE567,19,,15,exp201219-,D,1,water,24h,,NEBRASKA
G7,NE567,36,,29,exp201219-,D,1,water,24h,,NEBRASKA
A4,NE575,46,,26,exp201219-,D,1,water,24h,,NEBRASKA
B9,NE575,42,,35,exp201219-,D,1,water,24h,,NEBRASKA
E10,NE575,41,,35,exp201219-,D,1,water,24h,,NEBRASKA
A2,NE607,19,,19,exp201219-,D,1,water,24h,,NEBRASKA
B12,NE607,66,,29,exp201219-,D,1,water,24h,,NEBRASKA
B4,NE607,31,,26,exp201219-,D,1,water,24h,,NEBRASKA
E3,NE683,1,6,0,exp200213-,F,1,water,48h,,NEBRASKA
E12,NE683,26,0,0,exp200213-,F,1,water,48h,evaporation,NEBRASKA
F2,NE683,0,7,0,exp200213-,F,1,water,48h,,NEBRASKA
B11,NE683,30,,21,exp201219-,D,1,water,24h,,NEBRASKA
C5,NE683,36,,26,exp201219-,D,1,water,24h,,NEBRASKA
G1,NE683,48,,31,exp201219-,D,1,water,24h,,NEBRASKA
A6,NE712,37,,20,exp201219-,D,1,water,24h,,NEBRASKA
B7,NE712,44,,24,exp201219-,D,1,water,24h,,NEBRASKA
D8,NE712,48,,33,exp201219-,D,1,water,24h,,NEBRASKA
F3,NE728,34,,20.5,exp201219-,D,1,water,24h,,NEBRASKA
F7,NE728,100,,29,exp201219-,D,1,water,24h,,NEBRASKA
G6,NE728,33,,40,exp201219-,D,1,water,24h,,NEBRASKA
A10,NE741,90,,23,exp201219-,D,1,water,24h,,NEBRASKA
F10,NE741,35,,33,exp201219-,D,1,water,24h,,NEBRASKA
G9,NE741,47,,35,exp201219-,D,1,water,24h,,NEBRASKA
A12,NE781,60,,8,exp201219-,D,1,water,24h,,NEBRASKA
D11,NE781,36,,16.5,exp201219-,D,1,water,24h,,NEBRASKA
H8,NE781,54,,26,exp201219-,D,1,water,24h,,NEBRASKA
C6,NE81,0,510,51,exp200213-,F,1,water,48h,,NEBRASKA
E2,NE81,2,380,38,exp200213-,F,1,water,48h,,NEBRASKA
E6,NE81,5,340,34,exp200213-,F,1,water,48h,,NEBRASKA
C8,NE81,33,,100,exp201219-,D,1,water,24h,,NEBRASKA
C9,NE81,35,,100,exp201219-,D,1,water,24h,,NEBRASKA
G12,NE81,56,,100,exp201219-,D,1,water,24h,,NEBRASKA
A8,NE822,51,,13,exp200122-,E,1,water,24h,,NEBRASKA
D1,NE822,44,,25,exp200122-,E,1,water,24h,,NEBRASKA
F12,NE822,53,,11,exp200122-,E,1,water,24h,,NEBRASKA
A8,NE822,9,15,0,exp200203-,E,2,water,72h,,NEBRASKA
D1,NE822,15,1,0,exp200203-,E,2,water,72h,,NEBRASKA
F12,NE822,24,0,0,exp200203-,E,2,water,72h,,NEBRASKA
A9,NE822,74,,38,exp201219-,D,1,water,24h,,NEBRASKA
C11,NE822,79,,41,exp201219-,D,1,water,24h,,NEBRASKA
D3,NE822,33,,31,exp201219-,D,1,water,24h,,NEBRASKA
A1,NE823,7,40,0,exp200213-,F,1,water,48h,,NEBRASKA
C3,NE823,1,41,0,exp200213-,F,1,water,48h,,NEBRASKA
F4,NE823,1.5,40,0,exp200213-,F,1,water,48h,,NEBRASKA
E12,NE823,88,,16,exp201219-,D,1,water,24h,,NEBRASKA
E3,NE823,36,,18,exp201219-,D,1,water,24h,,NEBRASKA
F2,NE823,23,,12,exp201219-,D,1,water,24h,,NEBRASKA
A5,NE834,45,,15,exp200122-,E,1,water,24h,,NEBRASKA
E7,NE834,38,,10,exp200122-,E,1,water,24h,,NEBRASKA
H1,NE834,89,,11,exp200122-,E,1,water,24h,,NEBRASKA
A5,NE834,6,0,0,exp200203-,E,2,water,72h,,NEBRASKA
E7,NE834,16,3,0,exp200203-,E,2,water,72h,,NEBRASKA
H1,NE834,12,0,0,exp200203-,E,2,water,72h,,NEBRASKA
C6,NE834,30,,28,exp201219-,D,1,water,24h,,NEBRASKA
E2,NE834,34,,31,exp201219-,D,1,water,24h,,NEBRASKA
E6,NE834,30,,27,exp201219-,D,1,water,24h,,NEBRASKA
B10,NE841,0,18,0,exp200213-,F,1,water,48h,,NEBRASKA
D2,NE841,0,15,0,exp200213-,F,1,water,48h,,NEBRASKA
D12,NE841,4,2,0,exp200213-,F,1,water,48h,evaporation,NEBRASKA
A1,NE841,46,,16,exp201219-,D,1,water,24h,,NEBRASKA
C3,NE841,36,,32,exp201219-,D,1,water,24h,,NEBRASKA
F4,NE841,31,,28,exp201219-,D,1,water,24h,,NEBRASKA
B1,NE858,4,4,0,exp200213-,F,1,water,48h,,NEBRASKA
B3,NE858,3,10,0,exp200213-,F,1,water,48h,,NEBRASKA
C4,NE858,1,0,0,exp200213-,F,1,water,48h,,NEBRASKA
B10,NE858,23,,7,exp201219-,D,1,water,24h,,NEBRASKA
D12,NE858,42,,9,exp201219-,D,1,water,24h,,NEBRASKA
D2,NE858,24,,14,exp201219-,D,1,water,24h,,NEBRASKA
B1,NE866,34,,19,exp201219-,D,1,water,24h,,NEBRASKA
B3,NE866,36,,25.5,exp201219-,D,1,water,24h,,NEBRASKA
C4,NE866,30,,22,exp201219-,D,1,water,24h,,NEBRASKA
B5,NE872,31,,34,exp201219-,D,1,water,24h,,NEBRASKA
F1,NE872,39,,53,exp201219-,D,1,water,24h,,NEBRASKA
G2,NE872,57,,33,exp201219-,D,1,water,24h,,NEBRASKA
F5,NE874,34,,21,exp201219-,D,1,water,24h,,NEBRASKA
F6,NE874,37,,17,exp201219-,D,1,water,24h,,NEBRASKA
G5,NE874,39,,32,exp201219-,D,1,water,24h,,NEBRASKA
B1,NE89,17,,18,exp181219-,A,2,water,24h,,NEBRASKA
B3,NE89,6,,11,exp181219-,A,2,water,24h,,NEBRASKA
C4,NE89,9,,28,exp181219-,A,2,water,24h,,NEBRASKA
B1,NE89,8,0,0,exp191209-,A,1,triton,24h,,NEBRASKA
B3,NE89,12,0,0,exp191209-,A,1,triton,24h,,NEBRASKA
C4,NE89,10,3,0,exp191209-,A,1,triton,24h,,NEBRASKA
B5,NE896,2,210,21,exp200213-,F,1,water,48h,,NEBRASKA
F1,NE896,20,390,39,exp200213-,F,1,water,48h,,NEBRASKA
G2,NE896,20,360,36,exp200213-,F,1,water,48h,,NEBRASKA
A8,NE896,113,,100,exp201219-,D,1,water,24h,,NEBRASKA
D1,NE896,90,,100,exp201219-,D,1,water,24h,,NEBRASKA
F12,NE896,91,,100,exp201219-,D,1,water,24h,,NEBRASKA
B5,NE954,9,,21,exp181219-,A,2,water,24h,,NEBRASKA
F1,NE954,14,,11,exp181219-,A,2,water,24h,,NEBRASKA
G2,NE954,10,,16,exp181219-,A,2,water,24h,,NEBRASKA
B5,NE954,11,0,0,exp191209-,A,1,triton,24h,,NEBRASKA
F1,NE954,7,0,0,exp191209-,A,1,triton,24h,,NEBRASKA
G2,NE954,17,1,0,exp191209-,A,1,triton,24h,,NEBRASKA
F5,NE97,8,,30,exp181219-,A,2,water,24h,,NEBRASKA
F6,NE97,11,,7,exp181219-,A,2,water,24h,,NEBRASKA
G5,NE97,11,,35,exp181219-,A,2,water,24h,,NEBRASKA
F5,NE97,23,0,1,exp191209-,A,1,triton,24h,,NEBRASKA
F6,NE97,15,2,0,exp191209-,A,1,triton,24h,,NEBRASKA
G5,NE97,17,0,0,exp191209-,A,1,triton,24h,,NEBRASKA
A5,NE982,41,,21,exp201219-,D,1,water,24h,,NEBRASKA
E7,NE982,82,,33,exp201219-,D,1,water,24h,,NEBRASKA
H1,NE982,38,,14,exp201219-,D,1,water,24h,,NEBRASKA
A8,NEB agrA,13,,70,exp181219-,A,2,water,24h,,NEBRASKA
D1,NEB agrA,14,,100,exp181219-,A,2,water,24h,,NEBRASKA
F12,NEB agrA,14,,100,exp181219-,A,2,water,24h,,NEBRASKA
A8,NEB agrA,14,26,6,exp191209-,A,1,triton,24h,,NEBRASKA
D1,NEB agrA,10,8,1,exp191209-,A,1,triton,24h,,NEBRASKA
F12,NEB agrA,13,7,26,exp191209-,A,1,triton,24h,,NEBRASKA
B6,NEB agrA,1,,62,exp191216-,B,1,water,24h,,NEBRASKA
D6,NEB agrA,4,,58,exp191216-,B,1,water,24h,,NEBRASKA
E5,NEB agrA,8,,63,exp191216-,B,1,water,24h,,NEBRASKA
B6,NEB agrA,16,,100,exp191219-,C,2,water,24h,,NEBRASKA
D6,NEB agrA,10,,100,exp191219-,C,2,water,24h,,NEBRASKA
E5,NEB agrA,15,,100,exp191219-,C,2,water,24h,,NEBRASKA
B6,NEB agrA,49,,100,exp200122-,E,1,water,24h,,NEBRASKA
D6,NEB agrA,35,,100,exp200122-,E,1,water,24h,,NEBRASKA
E5,NEB agrA,36,,100,exp200122-,E,1,water,24h,,NEBRASKA
B6,NEB agrA,5,115,54,exp200203-,E,2,water,72h,,NEBRASKA
D6,NEB agrA,7,115,45,exp200203-,E,2,water,72h,,NEBRASKA
E5,NEB agrA,16,115,48,exp200203-,E,2,water,72h,,NEBRASKA
F5,NEB agrA,2,1000,100,exp200213-,F,1,water,48h,,NEBRASKA
F6,NEB agrA,3,1000,100,exp200213-,F,1,water,48h,,NEBRASKA
G5,NEB agrA,1,1000,100,exp200213-,F,1,water,48h,,NEBRASKA
B6,NEB agrA,43,,100,exp201219-,D,1,water,24h,,NEBRASKA
D6,NEB agrA,32,,100,exp201219-,D,1,water,24h,,NEBRASKA
E5,NEB agrA,39,,100,exp201219-,D,1,water,24h,,NEBRASKA
A5,Non infected,0,,0,exp181219-,A,2,water,24h,,
E7,Non infected,0,,0,exp181219-,A,2,water,24h,,
H1,Non infected,0,,0,exp181219-,A,2,water,24h,,
A5,Non infected,0,0,0,exp191209-,A,1,triton,24h,,
E7,Non infected,0,0,0,exp191209-,A,1,triton,24h,,
H1,Non infected,0,0,0,exp191209-,A,1,triton,24h,,
C12,Non infected,0,,0,exp191216-,B,1,water,24h,,
E1,Non infected,0,,0,exp191216-,B,1,water,24h,,
F11,Non infected,0,,0,exp191216-,B,1,water,24h,,
C12,Non infected,0,,0,exp191219-,C,2,water,24h,,
E1,Non infected,0,,0,exp191219-,C,2,water,24h,,
F11,Non infected,0,,0,exp191219-,C,2,water,24h,,
C12,Non infected,0,,0,exp200122-,E,1,water,24h,,
E1,Non infected,0,,0,exp200122-,E,1,water,24h,,
F11,Non infected,0,,0,exp200122-,E,1,water,24h,,
C12,Non infected,0,0,0,exp200203-,E,2,water,72h,,
E1,Non infected,0,0,0,exp200203-,E,2,water,72h,,
F11,Non infected,0,0,0,exp200203-,E,2,water,72h,,
A8,Non infected,0,0,0,exp200213-,F,1,water,48h,,
D1,Non infected,0,0,0,exp200213-,F,1,water,48h,evaporation,
F12,Non infected,0,0,0,exp200213-,F,1,water,48h,,
C12,Non infected,0,,0,exp201219-,D,1,water,24h,,
E1,Non infected,0,,0,exp201219-,D,1,water,24h,,
F11,Non infected,0,,0,exp201219-,D,1,water,24h,,
A5,NRS384,0,7,0,exp200213-,F,1,water,48h,,
E7,NRS384,1,3,0,exp200213-,F,1,water,48h,,
H1,NRS384,10,21,0,exp200213-,F,1,water,48h,,
B6,rbf SSR ST5,16,,63,exp181219-,A,2,water,24h,,
D6,rbf SSR ST5,19,,57,exp181219-,A,2,water,24h,,
E5,rbf SSR ST5,21,,68,exp181219-,A,2,water,24h,,
B6,rbf SSR ST5,19,0,0,exp191209-,A,1,triton,24h,,
D6,rbf SSR ST5,26,0,1,exp191209-,A,1,triton,24h,,
E5,rbf SSR ST5,15,1,0,exp191209-,A,1,triton,24h,,
C12,rbf SSR ST8,12,,35,exp181219-,A,2,water,24h,,
E1,rbf SSR ST8,18,,50,exp181219-,A,2,water,24h,,
F11,rbf SSR ST8,12,,60,exp181219-,A,2,water,24h,,
C12,rbf SSR ST8,11,1,0,exp191209-,A,1,triton,24h,,
E1,rbf SSR ST8,12,2,0,exp191209-,A,1,triton,24h,,
F11,rbf SSR ST8,4,2,0,exp191209-,A,1,triton,24h,,
B6,rbf SSR ST8,3,68,0,exp200213-,F,1,water,48h,,
D6,rbf SSR ST8,0,25,0,exp200213-,F,1,water,48h,,
E5,rbf SSR ST8,0,54,0,exp200213-,F,1,water,48h,,
C12,SCV,7,21,0,exp200213-,F,1,water,48h,,
E1,SCV,3,26,0,exp200213-,F,1,water,48h,evaporation,
F11,SCV,10,3.5,0,exp200213-,F,1,water,48h,,
H10,Total LDH,0,,0,exp181219-,A,2,water,24h,,
H11,Total LDH,0,,0,exp181219-,A,2,water,24h,,
H12,Total LDH,0,,0,exp181219-,A,2,water,24h,,
H10,Total LDH,0,0,0,exp191209-,A,1,triton,24h,,
H11,Total LDH,0,0,0,exp191209-,A,1,triton,24h,,
H12,Total LDH,0,0,0,exp191209-,A,1,triton,24h,,
H10,Total LDH,0,,0,exp191216-,B,1,water,24h,,
H11,Total LDH,0,,0,exp191216-,B,1,water,24h,,
H12,Total LDH,0,,0,exp191216-,B,1,water,24h,,
H10,Total LDH,0,,0,exp191219-,C,2,water,24h,,
H11,Total LDH,0,,0,exp191219-,C,2,water,24h,,
H12,Total LDH,0,,0,exp191219-,C,2,water,24h,,
H10,Total LDH,0,,0,exp201219-,D,1,water,24h,,
H11,Total LDH,0,,0,exp201219-,D,1,water,24h,,
H12,Total LDH,0,,0,exp201219-,D,1,water,24h,,
