"well_id","time_of_max_rate_growth","max_rate_growth","doubling_time_growth","AUC_growth","time_of_max_growth","max_growth","time_of_min_growth","min_growth","end_point_growth","end_point_timepoint_growth","experiment_id","well_row","well_col","OD","well","OD_blank_normalised","experiment","plate","sample_id","replicate","strain_group","mean_blank_OD","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp191107_2_B05",370,0.00253385856835837,273.554013320096,57.9963752952064,930,1.04884355619251,0,0.0430956334363918,1.04884355619251,930,"exp191107_2","B","5",-0.005,"B05",TRUE,"exp191107","2","BPH2753","3","VAN-042",0.006,0.00275510840633602,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B06",410,0.00281519546878321,246.216359839319,58.3762230290992,870,1.10611625138618,90,0.0562256847400298,1.1052900891615,930,"exp191107_2","B","6",0.01,"B06",TRUE,"exp191107","2","TOX-4","3","CONTROL",0.006,0.0152119412755205,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B07",340,0.00273612784533726,253.331430306213,61.0593333052871,930,1.06166359233756,0,0.0363482504684229,1.06166359233756,930,"exp191107_2","B","7",-0.006466667,"B07",TRUE,"exp191107","2","BPH2742","2","VAN-032",0.006,0.00951909752663404,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B08",540,0.00295794533330132,234.334006364591,46.0523478578772,930,1.09977150512545,210,0.060870345982393,1.09977150512545,930,"exp191107_2","B","8",-0.001,"B08",TRUE,"exp191107","2","BPH2738","3","VAN-029",0.006,0.00166538182433318,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B09",370,0.00310997479727334,222.878713090428,66.3980248239525,770,1.16875446823782,0,0.0503317425051199,1.15328606793268,930,"exp191107_2","B","9",-0.001,"B09",TRUE,"exp191107","2","BPH2739","2","VAN-030",0.006,0.00433942188779791,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B10",380,0.00266488178186697,260.104288781748,56.2632372898674,930,1.05196452609886,60,0.0541487213539641,1.05196452609886,930,"exp191107_2","B","10",-0.015,"B10",TRUE,"exp191107","2","BPH2751","1","VAN-040",0.006,0.00460133015725536,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B11",320,0.0026039119690282,266.194552198565,59.5025311180971,760,0.965433226004738,0,0.048378196709229,0.955021579262217,930,"exp191107_2","B","11",0.023,"B11",TRUE,"exp191107","2","BPH2741","3","VAN-031",0.006,0.00805060474892146,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_B12",350,0.00284744848185757,243.427470233899,62.6107973308035,680,1.04615694980292,0,0.067523101543608,0.980436087747801,930,"exp191107_2","B","12",0.005,"B12",TRUE,"exp191107","2","BPH2740","2","VAN-030",0.006,0.00264702253583678,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C01",330,0.00251530432996157,275.571894940655,54.7345817754213,680,0.895924707602249,0,0.0316913347554608,0.860752610860283,930,"exp191107_2","C","1",-0.003,"C01",TRUE,"exp191107","2","BPH2734","2","VAN-026",0.006,0.0236554714656872,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_C02",370,0.0033291365497929,208.206293191268,66.0757718885151,930,1.17744591460996,80,0.0397897477450168,1.17744591460996,930,"exp191107_2","C","2",-0.006966667,"C02",TRUE,"exp191107","2","BPH2737","1","VAN-029",0.006,0.00231250056022883,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
