well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A05,A,5,0.706,TRUE,exp201112,P2,exp201112_P2_A05,540,JE2,NA,CONTROL
A05,A,5,0.704,TRUE,exp201112,P2,exp201112_P2_A05,550,JE2,NA,CONTROL
A05,A,5,0.712,TRUE,exp201112,P2,exp201112_P2_A05,560,JE2,NA,CONTROL
A05,A,5,0.71,TRUE,exp201112,P2,exp201112_P2_A05,570,JE2,NA,CONTROL
A05,A,5,0.732,TRUE,exp201112,P2,exp201112_P2_A05,580,JE2,NA,CONTROL
A05,A,5,0.723,TRUE,exp201112,P2,exp201112_P2_A05,590,JE2,NA,CONTROL
A05,A,5,0.734,TRUE,exp201112,P2,exp201112_P2_A05,600,JE2,NA,CONTROL
A05,A,5,0.73,TRUE,exp201112,P2,exp201112_P2_A05,610,JE2,NA,CONTROL
A05,A,5,0.736,TRUE,exp201112,P2,exp201112_P2_A05,620,JE2,NA,CONTROL
A05,A,5,0.742,TRUE,exp201112,P2,exp201112_P2_A05,630,JE2,NA,CONTROL
A05,A,5,0.747,TRUE,exp201112,P2,exp201112_P2_A05,640,JE2,NA,CONTROL
A05,A,5,0.748,TRUE,exp201112,P2,exp201112_P2_A05,650,JE2,NA,CONTROL
A05,A,5,0.737,TRUE,exp201112,P2,exp201112_P2_A05,660,JE2,NA,CONTROL
A05,A,5,0.749,TRUE,exp201112,P2,exp201112_P2_A05,670,JE2,NA,CONTROL
A05,A,5,0.739,TRUE,exp201112,P2,exp201112_P2_A05,680,JE2,NA,CONTROL
A05,A,5,0.758,TRUE,exp201112,P2,exp201112_P2_A05,690,JE2,NA,CONTROL
A05,A,5,0.74,TRUE,exp201112,P2,exp201112_P2_A05,700,JE2,NA,CONTROL
A05,A,5,0.764,TRUE,exp201112,P2,exp201112_P2_A05,710,JE2,NA,CONTROL
A05,A,5,0.765,TRUE,exp201112,P2,exp201112_P2_A05,720,JE2,NA,CONTROL
A05,A,5,0.759,TRUE,exp201112,P2,exp201112_P2_A05,730,JE2,NA,CONTROL
A05,A,5,0.76,TRUE,exp201112,P2,exp201112_P2_A05,740,JE2,NA,CONTROL
A05,A,5,0.762,TRUE,exp201112,P2,exp201112_P2_A05,750,JE2,NA,CONTROL
A05,A,5,0.759,TRUE,exp201112,P2,exp201112_P2_A05,760,JE2,NA,CONTROL
A05,A,5,0.768,TRUE,exp201112,P2,exp201112_P2_A05,770,JE2,NA,CONTROL
A05,A,5,0.768,TRUE,exp201112,P2,exp201112_P2_A05,780,JE2,NA,CONTROL
A05,A,5,0.77,TRUE,exp201112,P2,exp201112_P2_A05,790,JE2,NA,CONTROL
A05,A,5,0.76,TRUE,exp201112,P2,exp201112_P2_A05,800,JE2,NA,CONTROL
A05,A,5,0.764,TRUE,exp201112,P2,exp201112_P2_A05,810,JE2,NA,CONTROL
A05,A,5,0.762,TRUE,exp201112,P2,exp201112_P2_A05,820,JE2,NA,CONTROL
A05,A,5,0.774,TRUE,exp201112,P2,exp201112_P2_A05,830,JE2,NA,CONTROL
A05,A,5,0.77,TRUE,exp201112,P2,exp201112_P2_A05,840,JE2,NA,CONTROL
A05,A,5,0.759,TRUE,exp201112,P2,exp201112_P2_A05,850,JE2,NA,CONTROL
A05,A,5,0.76,TRUE,exp201112,P2,exp201112_P2_A05,860,JE2,NA,CONTROL
A05,A,5,0.771,TRUE,exp201112,P2,exp201112_P2_A05,870,JE2,NA,CONTROL
A05,A,5,0.776,TRUE,exp201112,P2,exp201112_P2_A05,880,JE2,NA,CONTROL
A05,A,5,0.76,TRUE,exp201112,P2,exp201112_P2_A05,890,JE2,NA,CONTROL
A05,A,5,0.774,TRUE,exp201112,P2,exp201112_P2_A05,900,JE2,NA,CONTROL
A05,A,5,0.767,TRUE,exp201112,P2,exp201112_P2_A05,910,JE2,NA,CONTROL
A05,A,5,0.761,TRUE,exp201112,P2,exp201112_P2_A05,920,JE2,NA,CONTROL
A05,A,5,0.767,TRUE,exp201112,P2,exp201112_P2_A05,930,JE2,NA,CONTROL
A05,A,5,0.763,TRUE,exp201112,P2,exp201112_P2_A05,940,JE2,NA,CONTROL
A05,A,5,0.756,TRUE,exp201112,P2,exp201112_P2_A05,950,JE2,NA,CONTROL
A05,A,5,0.773,TRUE,exp201112,P2,exp201112_P2_A05,960,JE2,NA,CONTROL
A05,A,5,0.757,TRUE,exp201112,P2,exp201112_P2_A05,970,JE2,NA,CONTROL
