GP-0178	BPH2869	BPH3670
GP-0179	BPH2869	BPH3672
GP-0180	BPH2869	BPH3674
GP-0181	BPH2869	BPH3676
GP-0182	BPH2869	BPH3682
GP-0183	BPH2869	BPH3684
GP-0184	BPH2869	BPH3686
GP-0185	BPH2869	BPH3688
GP-0186	BPH2869	BPH3692
GP-0187	BPH2869	BPH3694
GP-0188	BPH2869	BPH3698
GP-0189	BPH2869	BPH3700
GP-0190	BPH2869	BPH3702
GP-0191	BPH2869	BPH3704
GP-0192	BPH2869	BPH3706
GP-0193	BPH2869	BPH3710
GP-0194	BPH2869	BPH3712
GP-0195	BPH2869	BPH3753
GP-0196	BPH2869	BPH3755
GP-0197	BPH2869	BPH3757
GP-0198	BPH2872	BPH2873
GP-0199	BPH2873	BPH2872
GP-0200	BPH2876	BPH2877
GP-0201	BPH2877	BPH2876
GP-0202	BPH2881	BPH2882
GP-0203	BPH2882	BPH2881
GP-0204	BPH2883	BPH2884
GP-0205	BPH2884	BPH2883
GP-0206	BPH2887	BPH2888
GP-0207	BPH2888	BPH2887
GP-0208	BPH2890	BPH2891
GP-0209	BPH2891	BPH2890
GP-0210	BPH2896	BPH2710
GP-0211	BPH2896	BPH2780
GP-0212	BPH2896	BPH3372
GP-0213	BPH2896	BPH3376
GP-0214	BPH2896	BPH3382
GP-0215	BPH2896	BPH3435
GP-0216	BPH2896	BPH3483
GP-0217	BPH2897	BPH2898
GP-0218	BPH2898	BPH2897
GP-0219	BPH2902	BPH2904
GP-0220	BPH2904	BPH2902
GP-0221	BPH2907	BPH3485
GP-0222	BPH2907	BPH3511
GP-0223	BPH2907	BPH3545
GP-0224	BPH2907	BPH3547
GP-0225	BPH2922	BPH2923
GP-0226	BPH2922	BPH2924
GP-0227	BPH2922	BPH2925
GP-0228	BPH2922	BPH2926
GP-0229	BPH2923	BPH2922
GP-0230	BPH2923	BPH2924
GP-0231	BPH2923	BPH2925
GP-0232	BPH2923	BPH2926
GP-0233	BPH2924	BPH2922
GP-0234	BPH2924	BPH2923
GP-0235	BPH2924	BPH2925
GP-0236	BPH2924	BPH2926
GP-0237	BPH2925	BPH2922
GP-0238	BPH2925	BPH2923
GP-0239	BPH2925	BPH2924
GP-0240	BPH2925	BPH2926
GP-0241	BPH2926	BPH2922
GP-0242	BPH2926	BPH2923
GP-0243	BPH2926	BPH2924
GP-0244	BPH2926	BPH2925
GP-0245	BPH2942	BPH2943
GP-0246	BPH2943	BPH2942
GP-0247	BPH2946	BPH2718
GP-0248	BPH2946	BPH2798
GP-0249	BPH2946	BPH2799
GP-0250	BPH2946	BPH2800
GP-0251	BPH2947	BPH2948
GP-0252	BPH2947	BPH3533
GP-0253	BPH2948	BPH2947
GP-0254	BPH2948	BPH3533
GP-0255	BPH2952	BPH2953
GP-0256	BPH2953	BPH2952
GP-0257	BPH2959	BPH2960
GP-0258	BPH2959	BPH2961
GP-0259	BPH2960	BPH2959
GP-0260	BPH2960	BPH2961
GP-0261	BPH2961	BPH2959
GP-0262	BPH2961	BPH2960
GP-0263	BPH2962	BPH2963
GP-0264	BPH2962	BPH2964
GP-0265	BPH2963	BPH2962
GP-0266	BPH2963	BPH2964
GP-0267	BPH2964	BPH2962
GP-0268	BPH2964	BPH2963
GP-0269	BPH2965	BPH2966
GP-0270	BPH2966	BPH2965
GP-0271	BPH2973	BPH2974
GP-0272	BPH2973	BPH2975
GP-0273	BPH2974	BPH2973
GP-0274	BPH2974	BPH2975
GP-0275	BPH2975	BPH2973
GP-0276	BPH2975	BPH2974
GP-0277	BPH2976	BPH2977
GP-0278	BPH2976	BPH2978
GP-0279	BPH2976	BPH2979
GP-0280	BPH2976	BPH2980
GP-0281	BPH2976	BPH2981
GP-0282	BPH2976	BPH2982
GP-0283	BPH2977	BPH2976
GP-0284	BPH2977	BPH2978
GP-0285	BPH2977	BPH2979
GP-0286	BPH2977	BPH2980
GP-0287	BPH2977	BPH2981
GP-0288	BPH2977	BPH2982
GP-0289	BPH2978	BPH2976
GP-0290	BPH2978	BPH2977
GP-0291	BPH2978	BPH2979
GP-0292	BPH2978	BPH2980
GP-0293	BPH2978	BPH2981
GP-0294	BPH2978	BPH2982
