GP-0001	196
GP-0002	2004
GP-0003	67
GP-0004	1104
GP-0005	32
GP-0006	31
GP-0007	43
GP-0008	20
GP-0009	74
GP-0010	11
GP-0011	20
GP-0012	3750
GP-0013	493
GP-0014	51
GP-0015	48
GP-0016	54
GP-0017	47
GP-0018	9
GP-0019	38
GP-0020	7
GP-0021	83
GP-0022	12
GP-0023	12
GP-0024	37
GP-0025	7
GP-0026	81
GP-0027	11
GP-0028	27
GP-0029	730
GP-0030	272
GP-0031	1244
GP-0032	626
GP-0033	2754
GP-0034	2594
GP-0035	199
GP-0036	1271
GP-0037	5
GP-0038	33
GP-0039	1248
GP-0040	366
GP-0041	988
GP-0042	108
GP-0043	127
GP-0044	947
GP-0045	586
GP-0046	625
GP-0047	31
GP-0048	553
GP-0049	15
GP-0050	35
GP-0051	6
GP-0052	35
GP-0053	17
GP-0054	69
GP-0055	7
GP-0056	12
GP-0057	429
GP-0058	19
GP-0059	80
GP-0060	10
GP-0061	2527
GP-0062	72
GP-0063	108
GP-0064	61
GP-0065	63
GP-0066	46
GP-0067	51
GP-0068	82
GP-0069	63
GP-0070	67
GP-0071	55
GP-0072	67
GP-0073	55
GP-0074	57
GP-0075	80
GP-0076	74
GP-0077	67
GP-0078	62
GP-0079	75
GP-0080	130
GP-0081	54
GP-0082	65
GP-0083	79
GP-0084	78
GP-0085	41
GP-0086	55
GP-0087	36
GP-0088	54
GP-0089	72
GP-0090	58
GP-0091	47
GP-0092	62
GP-0093	56
GP-0094	58
GP-0095	110
GP-0096	33
GP-0097	54
GP-0098	34
GP-0099	4
GP-0100	8
GP-0101	40
GP-0102	38
GP-0103	11
GP-0104	12
GP-0105	41
GP-0106	35
GP-0107	6
GP-0108	3
GP-0109	33
GP-0110	110
GP-0111	230
GP-0112	433
GP-0113	216
GP-0114	2137
GP-0115	1800
GP-0116	188
GP-0117	145
GP-0118	848
GP-0119	811
GP-0120	821
GP-0121	241
GP-0122	66
GP-0123	74
GP-0124	243
GP-0125	105
GP-0126	108
GP-0127	239
GP-0128	99
GP-0129	94
GP-0130	63
GP-0131	75
GP-0132	2
GP-0133	2
GP-0134	458
GP-0135	466
GP-0136	110
GP-0137	73
GP-0138	79
GP-0139	34
GP-0140	275
GP-0141	56
GP-0142	1817
GP-0143	485
GP-0144	309
GP-0145	2383
GP-0146	105
GP-0147	864
GP-0148	241
GP-0149	419
GP-0150	444
GP-0151	290
GP-0152	1422
GP-0153	795
GP-0154	384
GP-0155	1121
GP-0156	171
GP-0157	142
GP-0158	127
GP-0159	122
GP-0160	118
GP-0161	125
GP-0162	123
GP-0163	124
GP-0164	111
GP-0165	104
GP-0166	97
GP-0167	93
GP-0168	107
GP-0169	115
GP-0170	114
GP-0171	103
GP-0172	117
GP-0173	108
GP-0174	106
GP-0175	127
GP-0176	101
GP-0177	95
GP-0178	109
GP-0179	99
GP-0180	168
GP-0181	104
GP-0182	115
GP-0183	119
GP-0184	126
GP-0185	81
GP-0186	108
GP-0187	88
GP-0188	111
GP-0189	121
GP-0190	108
GP-0191	98
GP-0192	110
GP-0193	112
GP-0194	107
GP-0195	156
GP-0196	92
GP-0197	105
GP-0198	129
GP-0199	34
GP-0200	705
GP-0201	236
GP-0202	139
GP-0203	986
GP-0204	1265
GP-0205	145
GP-0206	231
GP-0207	379
GP-0208	129
GP-0209	98
GP-0210	35
GP-0211	7
GP-0212	37
GP-0213	16
GP-0214	69
GP-0215	8
GP-0216	16
GP-0217	467
GP-0218	1479
GP-0219	316
GP-0220	805
GP-0221	39
GP-0222	30
GP-0223	23
GP-0224	23
GP-0225	88
GP-0226	223
GP-0227	281
GP-0228	99
GP-0229	85
GP-0230	232
GP-0231	280
GP-0232	104
GP-0233	93
GP-0234	105
GP-0235	137
GP-0236	122
GP-0237	60
GP-0238	62
GP-0239	46
GP-0240	65
GP-0241	68
GP-0242	76
GP-0243	221
GP-0244	255
GP-0245	557
GP-0246	400
GP-0247	33
GP-0248	43
GP-0249	37
GP-0250	38
GP-0251	1
GP-0252	57
GP-0253	0
GP-0254	57
GP-0255	175
GP-0256	435
GP-0257	140
GP-0258	136
GP-0259	70
GP-0260	105
GP-0261	82
GP-0262	121
GP-0263	40
GP-0264	76
GP-0265	226
GP-0266	213
GP-0267	106
GP-0268	57
GP-0269	74
GP-0270	29
GP-0271	214
GP-0272	218
GP-0273	179
GP-0274	215
GP-0275	168
GP-0276	200
GP-0277	8
GP-0278	15
GP-0279	26
GP-0280	7
GP-0281	22
GP-0282	16
GP-0283	5
GP-0284	10
GP-0285	22
GP-0286	7
GP-0287	19
GP-0288	14
GP-0289	6
GP-0290	4
GP-0291	18
GP-0292	6
GP-0293	15
GP-0294	14
GP-0295	3
GP-0296	2
GP-0297	4
GP-0298	5
GP-0299	7
GP-0300	4
GP-0301	6
GP-0302	9
GP-0303	14
GP-0304	27
GP-0305	23
GP-0306	18
GP-0307	10
GP-0308	10
GP-0309	12
GP-0310	18
GP-0311	12
GP-0312	5
GP-0313	11
GP-0314	36
GP-0315	33
GP-0316	34
GP-0317	40
GP-0318	44
GP-0319	36
GP-0320	34
GP-0321	20
GP-0322	82
GP-0323	11
GP-0324	302
GP-0325	117
GP-0326	62
GP-0327	70
GP-0328	44
GP-0329	53
GP-0330	42
GP-0331	43
GP-0332	135
GP-0333	84
GP-0334	78
GP-0335	65
GP-0336	71
GP-0337	69
GP-0338	48
GP-0339	78
GP-0340	82
GP-0341	83
GP-0342	81
GP-0343	75
GP-0344	77
GP-0345	85
GP-0346	46
GP-0347	51
GP-0348	86
GP-0349	54
GP-0350	104
GP-0351	69
GP-0352	79
GP-0353	92
GP-0354	94
GP-0355	76
GP-0356	76
GP-0357	73
GP-0358	74
GP-0359	80
GP-0360	76
GP-0361	68
GP-0362	76
GP-0363	76
GP-0364	76
GP-0365	96
GP-0366	72
GP-0367	76
GP-0368	23
GP-0369	20
GP-0370	24
GP-0371	91
GP-0372	37
GP-0373	37
GP-0374	35
GP-0375	38
GP-0376	33
GP-0377	50
GP-0378	52
GP-0379	84
GP-0380	61
GP-0381	74
GP-0382	74
GP-0383	72
GP-0384	60
GP-0385	59
GP-0386	82
GP-0387	76
GP-0388	78
GP-0389	75
GP-0390	115
GP-0391	57
GP-0392	66
GP-0393	93
GP-0394	78
GP-0395	51
GP-0396	66
GP-0397	56
GP-0398	65
GP-0399	70
GP-0400	62
GP-0401	55
GP-0402	61
GP-0403	60
GP-0404	67
GP-0405	106
GP-0406	60
GP-0407	163
GP-0408	13
GP-0409	19
GP-0410	21
GP-0411	26
GP-0412	16
GP-0413	37
GP-0414	35
GP-0415	64
GP-0416	44
GP-0417	58
GP-0418	42
GP-0419	62
GP-0420	56
GP-0421	97
GP-0422	43
GP-0423	52
GP-0424	77
GP-0425	63
GP-0426	42
GP-0427	46
GP-0428	51
GP-0429	42
GP-0430	39
GP-0431	49
GP-0432	88
GP-0433	43
GP-0434	28
GP-0435	22
GP-0436	30
GP-0437	14
GP-0438	40
GP-0439	24
GP-0440	22
GP-0441	348
GP-0442	98
GP-0443	48
GP-0444	54
GP-0445	26
GP-0446	31
GP-0447	21
GP-0448	60
GP-0449	47
GP-0450	86
GP-0451	69
GP-0452	77
GP-0453	71
GP-0454	72
GP-0455	60
GP-0456	59
GP-0457	81
GP-0458	62
GP-0459	72
GP-0460	80
GP-0461	123
GP-0462	49
GP-0463	51
GP-0464	85
GP-0465	63
GP-0466	43
GP-0467	53
GP-0468	42
GP-0469	57
GP-0470	67
GP-0471	57
GP-0472	46
GP-0473	59
GP-0474	53
GP-0475	52
GP-0476	91
GP-0477	48
GP-0478	41
GP-0479	45
GP-0480	101
GP-0481	42
GP-0482	52
GP-0483	22
GP-0484	32
GP-0485	24
GP-0486	59
GP-0487	50
GP-0488	84
GP-0489	67
GP-0490	76
GP-0491	71
GP-0492	58
GP-0493	61
GP-0494	81
GP-0495	60
GP-0496	74
GP-0497	81
GP-0498	123
GP-0499	50
GP-0500	50
GP-0501	87
GP-0502	62
GP-0503	45
GP-0504	56
GP-0505	66
GP-0506	60
GP-0507	48
GP-0508	51
GP-0509	52
GP-0510	94
GP-0511	55
GP-0512	108
GP-0513	54
GP-0514	66
GP-0515	36
GP-0516	41
GP-0517	39
GP-0518	68
GP-0519	60
GP-0520	97
GP-0521	81
GP-0522	88
GP-0523	87
GP-0524	81
GP-0525	73
GP-0526	76
GP-0527	92
GP-0528	70
GP-0529	86
GP-0530	91
GP-0531	131
GP-0532	58
GP-0533	58
GP-0534	97
GP-0535	69
GP-0536	50
GP-0537	66
GP-0538	55
GP-0539	72
GP-0540	76
GP-0541	70
GP-0542	55
GP-0543	70
GP-0544	60
GP-0545	63
GP-0546	106
GP-0547	63
GP-0548	342
GP-0549	786
GP-0550	21
GP-0551	26
GP-0552	252
GP-0553	303
GP-0554	24
GP-0555	31
GP-0556	51
GP-0557	48
GP-0558	45
GP-0559	171
GP-0560	187
GP-0561	99
GP-0562	39
GP-0563	46
GP-0564	16
GP-0565	23
GP-0566	29
GP-0567	51
GP-0568	47
GP-0569	80
GP-0570	62
GP-0571	70
GP-0572	68
GP-0573	52
GP-0574	56
GP-0575	75
GP-0576	61
GP-0577	66
GP-0578	74
GP-0579	116
GP-0580	46
GP-0581	47
GP-0582	82
GP-0583	61
GP-0584	42
GP-0585	51
GP-0586	60
GP-0587	52
GP-0588	40
GP-0589	47
GP-0590	48
GP-0591	89
GP-0592	43
GP-0593	66
GP-0594	44
GP-0595	67
GP-0596	68
GP-0597	57
GP-0598	18
GP-0599	7
GP-0600	24
GP-0601	24
GP-0602	17
GP-0603	449
GP-0604	190
GP-0605	1366
GP-0606	509
GP-0607	32
GP-0608	31
GP-0609	60
GP-0610	5
GP-0611	1422
GP-0612	6
GP-0613	50
GP-0614	42
GP-0615	35
GP-0616	32
GP-0617	6
GP-0618	7
GP-0619	23
GP-0620	86
GP-0621	15
GP-0622	18
GP-0623	22
GP-0624	86
GP-0625	13
GP-0626	31
GP-0627	36
GP-0628	34
GP-0629	4
GP-0630	35
GP-0631	49
GP-0632	51
GP-0633	47
GP-0634	38
GP-0635	39
GP-0636	13
GP-0637	83
GP-0638	11
GP-0639	25
GP-0640	53
GP-0641	47
GP-0642	44
GP-0643	47
GP-0644	75
GP-0645	45
GP-0646	469
GP-0647	56
GP-0648	44
GP-0649	40
GP-0650	87
GP-0651	13
GP-0652	32
GP-0653	604
GP-0654	39
GP-0655	55
GP-0656	50
GP-0657	31
GP-0658	68
GP-0659	30
GP-0660	463
GP-0661	51
GP-0662	40
GP-0663	42
GP-0664	19
GP-0665	10
GP-0666	19
GP-0667	236
GP-0668	32
GP-0669	26
GP-0670	892
GP-0671	14
GP-0672	23
GP-0673	6
GP-0674	7
GP-0675	20
GP-0676	22
GP-0677	55
GP-0678	52
GP-0679	9
GP-0680	9
GP-0681	10
GP-0682	11
GP-0683	13
GP-0684	17
GP-0685	92
GP-0686	54
GP-0687	1
GP-0688	93
