,2,3,4,5,6,7,8,9,10,11
B,27,47,32,37,25,16,17,19,25,14
C,11,24,12,12,4,2,15,8,19,7
D,32,0,15,14,10,5,13,29,14,17
E,13,35,23,40,6,7,12,0,20,7
F,10,12,11,8,12,11,27,6,0,19
G,19,26,34,22,8,22,38,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
