sample_id	sample_id2	phensim
zero	zero	-12.7572
1	1	-0.975822
2	2	15.8947
3	3	-9.2513
4	4	16.9523
5	5	12.3305
6	6	2.5908
7	7	4.02319
8	8	-6.52368
9	9	4.7672
10	10	29.3741
11	11	15.3213
12	12	25.7009
13	13	-3.55616
14	14	-27.2166
15	15	34.7512
16	16	-22.0751
17	17	7.96305
18	18	0.133645
19	19	-2.27066
20	20	-6.68458
21	21	-12.3526
22	22	-15.507
23	23	10.3842
24	24	-2.7864
25	25	-25.1472
26	26	-1.78823
27	27	-14.4961
28	28	2.99507
29	29	-21.6487
30	30	-23.3905
31	31	-16.7529
32	32	18.7303
33	33	27.0279
34	34	3.75427
35	35	5.82707
36	36	-5.13175
37	37	1.37262
38	38	-14.2345
39	39	-28.4928
40	40	0.84817
41	41	24.3211
42	42	5.66281
43	43	-11.9444
44	44	2.31752
45	45	-12.1093
46	46	5.0376
47	47	-4.28584
48	48	5.02862
49	49	7.75651
50	50	-5.42407
51	51	6.75959
52	52	6.13005
53	53	-0.27191
54	54	11.6114
55	55	-19.388
56	56	-4.23779
57	57	-1.31629
58	58	7.8089
59	59	28.4476
60	60	3.75115
61	61	-16.3697
62	62	12.2214
63	63	-14.4988
64	64	-0.181302
65	65	-28.5153
66	66	-7.45492
67	67	0.483657
68	68	-1.43981
69	69	-8.18123
70	70	10.567
71	71	23.2332
72	72	15.9217
73	73	7.20442
74	74	-1.54653
75	75	38.9759
76	76	-3.90802
77	77	-5.23104
78	78	10.4994
79	79	0.849384
80	80	4.3506
81	81	6.79597
82	82	13.4696
83	83	-13.1681
84	84	-13.7179
85	85	-13.9687
86	86	24.5324
87	87	34.118
88	88	30.6769
89	89	-24.6094
90	90	-2.23179
91	91	-30.4777
92	92	7.37914
93	93	-9.9855
94	94	7.31077
95	95	-19.7729
96	96	-6.91007
97	97	10.7675
98	98	-22.3254
99	99	-6.16214
100	100	-4.80371
101	101	-22.1119
102	102	-10.7654
103	103	6.67637
104	104	-7.75581
105	105	-5.78039
106	106	-18.1137
107	107	-3.363
108	108	11.0428
109	109	-13.6522
110	110	0.219742
111	111	-1.89363
112	112	-2.23507
113	113	5.25395
114	114	-9.56481
115	115	1.74212
116	116	37.1116
117	117	-21.3263
118	118	-1.00332
119	119	-30.8282
120	120	-13.7548
121	121	9.54929
122	122	2.0791
123	123	16.6943
124	124	-13.3066
125	125	-4.9454
126	126	-6.20551
127	127	-19.029
128	128	11.7555
129	129	-4.09348
130	130	15.2199
131	131	6.952
132	132	10.3083
133	133	-5.50748
134	134	30.4517
135	135	-11.6185
136	136	10.9951
137	137	-15.2393
138	138	14.1834
139	139	-16.2536
140	140	-8.327
141	141	10.4988
142	142	-4.76409
143	143	-32.0545
144	144	4.65193
145	145	14.1436
146	146	-8.52235
147	147	3.48725
148	148	-2.45635
149	149	4.2431
150	150	-15.1461
151	151	1.39578
152	152	2.48152
153	153	12.9246
154	154	-15.9508
155	155	-3.27097
156	156	-17.8148
157	157	-14.0523
158	158	-18.4104
159	159	7.90449
160	160	-12.8381
161	161	6.50864
162	162	-16.8547
163	163	13.754
164	164	-12.1198
165	165	-8.84908
166	166	-12.4048
167	167	0.584794
168	168	13.4426
169	169	-26.2894
170	170	-23.1138
171	171	10.6773
172	172	18.4699
173	173	47.1343
174	174	12.8939
