,,Time,0 h ,0 h 10 min,0 h 20 min,0 h 30 min,0 h 40 min,0 h 50 min,1 h ,1 h 10 min,1 h 20 min,1 h 30 min,1 h 40 min,1 h 50 min,2 h ,2 h 10 min,2 h 20 min,2 h 30 min,2 h 40 min,2 h 50 min,3 h ,3 h 10 min,3 h 20 min,3 h 30 min,3 h 40 min,3 h 50 min,4 h ,4 h 10 min,4 h 20 min,4 h 30 min,4 h 40 min,4 h 50 min,5 h ,5 h 10 min,5 h 20 min,5 h 30 min,5 h 40 min,5 h 50 min,6 h ,6 h 10 min,6 h 20 min,6 h 30 min,6 h 40 min,6 h 50 min,7 h ,7 h 10 min,7 h 20 min,7 h 30 min,7 h 40 min,7 h 50 min,8 h ,8 h 10 min,8 h 20 min,8 h 30 min,8 h 40 min,8 h 50 min,9 h ,9 h 10 min,9 h 20 min,9 h 30 min,9 h 40 min,9 h 50 min,10 h ,10 h 10 min,10 h 20 min,10 h 30 min,10 h 40 min,10 h 50 min,11 h ,11 h 10 min,11 h 20 min,11 h 30 min,11 h 40 min,11 h 50 min,12 h ,12 h 10 min,12 h 20 min,12 h 30 min,12 h 40 min,12 h 50 min,13 h ,13 h 10 min,13 h 20 min,13 h 30 min,13 h 40 min,13 h 50 min,14 h ,14 h 10 min,14 h 20 min,14 h 30 min,14 h 40 min,14 h 50 min,15 h ,15 h 10 min,15 h 20 min,15 h 30 min,15 h 40 min,15 h 50 min,16 h ,16 h 10 min,16 h 20 min,16 h 30 min,16 h 40 min,16 h 50 min,17 h ,17 h 10 min
A,1,Sample X1,0.000133,-0.007,-0.006,-0.002,-0.006,-0.014,-0.009,-0.011,-0.003,-0.007,-0.002,-0.008,-0.008,-0.003,0.000533,0.002,0.000967,0.006,0.013,0.014,0.014,0.024,0.021,0.029,0.035,0.04,0.05,0.054,0.067,0.08,0.088,0.10100000000000001,0.11799999999999999,0.13100000000000001,0.14599999999999999,0.16700000000000001,0.2,0.22800000000000001,0.255,0.28000000000000003,0.307,0.35399999999999998,0.38700000000000001,0.41599999999999998,0.441,0.48499999999999999,0.51400000000000001,0.55100000000000005,0.59199999999999997,0.63300000000000001,0.67100000000000004,0.69199999999999995,0.72699999999999998,0.753,0.77500000000000002,0.79100000000000004,0.80500000000000005,0.84899999999999998,0.92800000000000005,0.84299999999999997,0.85399999999999998,0.9,0.93300000000000005,0.97399999999999998,1.026,1.1120000000000001,1.1419999999999999,1.2170000000000001,1.29,1.419,1.423,1.512,1.6140000000000001,1.651,1.732,1.7769999999999999,1.887,1.9119999999999999,1.976,2.0470000000000002,2.1909999999999998,2.1579999999999999,2.1989999999999998,2.2509999999999999,2.3130000000000002,2.4129999999999998,2.4630000000000001,2.5249999999999999,2.585,2.641,2.6779999999999999,2.6059999999999999,2.8439999999999999,2.9060000000000001,2.9689999999999999,3.0310000000000001,3.0910000000000002,3.1219999999999999,3.2330000000000001,3.27,3.383,3.4060000000000001,3.4510000000000001,3.5049999999999999
A,2,Sample X2,-0.009,-0.003,-0.008,-0.003,-0.009,-0.011,-0.01,-0.013,-0.004,-0.008,-0.004,-0.009,-0.009,-0.008,-0.006,-0.002,-0.007,-0.002,0.002,0.002,0.004,0.01,0.006,0.01,0.013,0.018,0.024,0.032,0.034,0.041,0.049,0.055,0.071,0.081,0.094,0.11,0.13400000000000001,0.156,0.17799999999999999,0.20399999999999999,0.23300000000000001,0.28499999999999998,0.32900000000000001,0.38,0.44700000000000001,0.5,0.55900000000000005,0.621,0.68600000000000005,0.75,0.80100000000000005,0.879,0.94399999999999995,1.008,1.077,1.1459999999999999,1.2110000000000001,1.2490000000000001,1.2989999999999999,1.3620000000000001,1.415,1.492,1.5940000000000001,1.7250000000000001,1.8029999999999999,1.93,2.0510000000000002,2.1779999999999999,2.419,2.4780000000000002,2.609,2.7989999999999999,2.95,3.1179999999999999,3.2480000000000002,3.37,3.5369999999999999,3.645,3.7490000000000001,3.8929999999999998,4.0350000000000001,4.0910000000000002,4.157,4.22,4.2750000000000004,4.4889999999999999,4.5330000000000004,4.63,4.6920000000000002,4.7069999999999999,4.7270000000000003,4.8440000000000003,4.8920000000000003,4.8659999999999997,4.9390000000000001,4.9969999999999999,5.0039999999999996,5.0679999999999996,5.1260000000000003,5.1779999999999999,5.2359999999999998,5.2190000000000003,5.2549999999999999,5.3090000000000002
A,3,Sample X3,0.028,0.003,-0.001,-0.0005,-0.004,-0.012,-0.009,-0.01,0.019,0.002,-0.002,-0.003,-0.003,0.002,0.006,0.01,0.006,0.01,0.01,0.014,0.019,0.023,0.02,0.027,0.035,0.04,0.044,0.052,0.058,0.062,0.07,0.085,0.083,0.085,0.092,0.104,0.113,0.14699999999999999,0.14899999999999999,0.16700000000000001,0.187,0.217,0.24099999999999999,0.27300000000000002,0.35,0.34100000000000003,0.372,0.40100000000000002,0.443,0.46500000000000002,0.495,0.55000000000000004,0.56299999999999994,0.58899999999999997,0.627,0.69599999999999995,0.69399999999999995,0.71299999999999997,0.77500000000000002,0.8,0.81799999999999995,0.92200000000000004,0.95099999999999996,0.96899999999999997,0.96199999999999997,1.046,1.1120000000000001,1.2110000000000001,1.236,1.2589999999999999,1.306,1.339,1.4590000000000001,1.41,1.5489999999999999,1.496,1.6519999999999999,1.6639999999999999,1.6890000000000001,1.83,2.1150000000000002,1.8380000000000001,1.925,1.99,1.9730000000000001,2.0459999999999998,2.1469999999999998,2.1440000000000001,2.2370000000000001,2.302,2.274,1.7070000000000001,2.407,2.4049999999999998,2.468,2.488,2.5230000000000001,2.5779999999999998,2.6070000000000002,2.69,2.673,2.7349999999999999,2.7839999999999998,2.82
A,4,Sample X4,-0.003,-0.006,-0.007,-0.002,-0.007,-0.013,-0.008,-0.01,0.003,-0.005,-0.0006,-0.004,-0.008,-0.001,-0.002,-0.0007,-0.003,0.004,0.007,0.005,0.009,0.013,0.013,0.015,0.027,0.031,0.034,0.038,0.044,0.052,0.062,0.079,0.075,0.084,0.093,0.114,0.13100000000000001,0.14899999999999999,0.16700000000000001,0.189,0.22700000000000001,0.27,0.311,0.34200000000000003,0.40400000000000003,0.44400000000000001,0.499,0.55800000000000005,0.627,0.69599999999999995,0.78700000000000003,0.90300000000000002,0.999,1.0940000000000001,1.212,1.319,1.4450000000000001,1.5489999999999999,1.7150000000000001,1.851,1.9650000000000001,2.1120000000000001,2.2730000000000001,2.4060000000000001,2.5739999999999998,2.718,2.863,3.01,3.15,3.3719999999999999,3.2909999999999999,3.4060000000000001,3.524,3.6230000000000002,3.7170000000000001,3.7770000000000001,3.8940000000000001,3.9329999999999998,4.0199999999999996,4.0880000000000001,4.1829999999999998,4.2169999999999996,4.2779999999999996,4.3559999999999999,4.4180000000000001,4.4939999999999998,4.5270000000000001,4.6230000000000002,4.6740000000000004,4.7119999999999997,4.766,5.2469999999999999,4.851,4.8879999999999999,4.9539999999999997,4.9870000000000001,5.0199999999999996,5.0659999999999998,5.1369999999999996,5.1769999999999996,5.22,5.266,5.2949999999999999,5.3390000000000004
A,5,Sample X5,-0.009,-0.005,-0.009,-0.003,-0.005,-0.011,-0.008,-0.012,-0.003,-0.004,-0.003,-0.004,-0.003,0.000133,0.006,0.006,0.008,0.014,0.017,0.016,0.021,0.03,0.029,0.038,0.052,0.057,0.07,0.077,0.096,0.109,0.127,0.14099999999999999,0.16900000000000001,0.19700000000000001,0.22900000000000001,0.26,0.28999999999999998,0.308,0.36,0.36799999999999999,0.38,0.41399999999999998,0.432,0.45100000000000001,0.47699999999999998,0.48299999999999998,0.48299999999999998,0.49199999999999999,0.50800000000000001,0.498,0.505,0.50600000000000001,0.497,0.503,0.497,0.51800000000000002,0.50900000000000001,0.504,0.51200000000000001,0.505,0.50800000000000001,0.495,0.498,0.52300000000000002,0.54100000000000004,0.54,0.56299999999999994,0.57899999999999996,0.61499999999999999,0.66200000000000003,0.67900000000000005,0.73699999999999999,0.77500000000000002,0.84899999999999998,0.94399999999999995,0.96599999999999997,1.0660000000000001,1.0609999999999999,1.135,1.2150000000000001,1.2729999999999999,1.3620000000000001,1.3979999999999999,1.4570000000000001,1.478,1.5469999999999999,1.671,1.6819999999999999,1.827,1.8540000000000001,1.7929999999999999,2.02,1.9059999999999999,1.9930000000000001,2.0259999999999998,2.04,2.0790000000000002,2.08,2.1789999999999998,2.1419999999999999,2.331,2.262,2.2200000000000002,2.2749999999999999
A,6,Sample X6,0.003,-0.003,-0.006,-0.001,-0.002,-0.008,-0.003,-0.004,0.008,0.005,0.007,0.005,0.008,0.011,0.02,0.026,0.025,0.033,0.04,0.05,0.058,0.065,0.067,0.082,0.097,0.107,0.12,0.14000000000000001,0.158,0.185,0.20699999999999999,0.247,0.25800000000000001,0.312,0.312,0.36799999999999999,0.38200000000000001,0.41599999999999998,0.436,0.47699999999999998,0.49099999999999999,0.52,0.56000000000000005,0.56899999999999995,0.59299999999999997,0.59699999999999998,0.64400000000000002,0.64800000000000002,0.65600000000000003,0.69799999999999995,0.69599999999999995,0.69599999999999995,0.70399999999999996,0.71,0.70799999999999996,0.70799999999999996,0.72099999999999997,0.71399999999999997,0.70899999999999996,0.70899999999999996,0.71499999999999997,0.69699999999999995,0.69199999999999995,0.70099999999999996,0.69299999999999995,0.69199999999999995,0.68300000000000005,0.67400000000000004,0.67200000000000004,0.68400000000000005,0.67600000000000005,0.67800000000000005,0.67300000000000004,0.67,0.66600000000000004,0.67600000000000005,0.67300000000000004,0.67900000000000005,0.67300000000000004,0.67300000000000004,0.67700000000000005,0.67800000000000005,0.68200000000000005,0.68700000000000006,0.68600000000000005,0.68799999999999994,0.70799999999999996,0.72,0.72399999999999998,0.72799999999999998,1.3049999999999999,0.77,0.76800000000000002,0.82099999999999995,0.86399999999999999,0.89300000000000002,0.90100000000000002,0.98599999999999999,1.022,1.054,1.1439999999999999,1.1619999999999999,1.22,1.256
A,7,Sample X7,-0.004,-0.012,-0.016,-0.013,-0.016,-0.023,-0.021,-0.023,-0.009,-0.017,-0.016,-0.02,-0.021,-0.019,-0.016,-0.015,-0.018,-0.017,-0.015,-0.014,-0.013,-0.011,-0.014,-0.012,-0.005,-0.007,-0.002,-0.0006,0.002,0.006,0.009,0.018,0.018,0.028,0.033,0.043,0.052,0.065,0.078,0.091,0.108,0.129,0.14799999999999999,0.17199999999999999,0.20399999999999999,0.22900000000000001,0.253,0.28899999999999998,0.32600000000000001,0.35,0.39500000000000002,0.437,0.46899999999999997,0.51600000000000001,0.55800000000000005,0.59499999999999997,0.63400000000000001,0.66600000000000004,0.71799999999999997,0.753,0.77500000000000002,0.84499999999999997,0.86699999999999999,0.90200000000000002,0.94799999999999995,1.028,1.1279999999999999,1.232,1.355,1.48,1.554,1.6879999999999999,1.8460000000000001,1.966,2.0880000000000001,2.202,2.37,2.5190000000000001,2.6240000000000001,2.7989999999999999,2.9249999999999998,3.0550000000000002,3.181,3.28,3.4239999999999999,3.61,3.6720000000000002,3.78,4.12,4.0750000000000002,4.1059999999999999,4.367,4.37,4.4889999999999999,4.5039999999999996,4.5919999999999996,4.6580000000000004,4.7480000000000002,4.8179999999999996,4.8959999999999999,4.9649999999999999,5.0119999999999996,5.0599999999999996,5.1340000000000003
A,8,Sample X8,0.001,0.011,0.018,0.011,0.009,0.011,0.03,0.035,0.011,0.018,0.021,0.02,0.018,0.019,0.009,0.071,0.028,0.056,0.033,0.025,0.024,0.031,0.033,0.039,0.05,0.051,0.056,0.06,0.069,0.076,0.14199999999999999,0.121,0.155,0.16,0.189,0.217,0.23899999999999999,0.20399999999999999,0.22800000000000001,0.22700000000000001,0.23699999999999999,0.27700000000000002,0.33400000000000002,0.35299999999999998,0.40300000000000002,0.44900000000000001,0.39800000000000002,0.42099999999999999,0.44500000000000001,0.44500000000000001,0.47099999999999997,0.57399999999999995,0.48399999999999999,0.51400000000000001,0.53400000000000003,0.56000000000000005,0.55700000000000005,0.55900000000000005,0.56399999999999995,0.55500000000000005,0.55200000000000005,0.60499999999999998,0.57299999999999995,0.57999999999999996,0.57799999999999996,0.58399999999999996,0.64100000000000001,0.58699999999999997,0.61499999999999999,0.59899999999999998,0.58399999999999996,0.60199999999999998,0.61099999999999999,0.60399999999999998,0.61499999999999999,0.627,0.61399999999999999,0.624,0.59599999999999997,0.623,0.64800000000000002,0.58399999999999996,0.6,0.57199999999999995,0.59299999999999997,0.58399999999999996,0.65900000000000003,0.57899999999999996,0.69,0.59699999999999998,0.56899999999999995,0.63200000000000001,0.57099999999999995,0.749,1.0720000000000001,0.56599999999999995,0.65900000000000003,0.55800000000000005,0.56999999999999995,0.55800000000000005,0.54900000000000004,0.55000000000000004,0.54200000000000004,0.54300000000000004
A,9,Sample X9,-0.008,-0.006,-0.01,-0.002,-0.006,-0.012,-0.006,-0.007,0.002,-0.000267,0.005,0.001,0.004,0.007,0.014,0.014,0.015,0.025,0.035,0.035,0.048,0.053,0.056,0.072,0.093,0.105,0.12,0.14299999999999999,0.17100000000000001,0.20100000000000001,0.221,0.28000000000000003,0.316,0.34300000000000003,0.42699999999999999,0.49099999999999999,0.56399999999999995,0.65500000000000003,0.749,0.82599999999999996,0.91900000000000004,1.125,1.2609999999999999,1.44,1.671,1.8340000000000001,2.0089999999999999,2.1659999999999999,2.4470000000000001,2.5710000000000002,2.778,2.9980000000000002,3.137,3.3319999999999999,3.5489999999999999,3.722,3.8559999999999999,3.9550000000000001,4.0720000000000001,4.2030000000000003,4.2489999999999997,4.3810000000000002,4.4340000000000002,4.5250000000000004,4.5650000000000004,4.665,4.8220000000000001,4.8760000000000003,4.9039999999999999,4.9480000000000004,4.9859999999999998,5.0449999999999999,5.1020000000000003,5.16,5.2640000000000002,5.2640000000000002,5.3460000000000001,5.3970000000000002,5.4409999999999998,5.4820000000000002,5.6040000000000001,5.6120000000000001,5.7009999999999996,5.6929999999999996,5.7560000000000002,5.82,5.899,5.89,5.9980000000000002,6.0129999999999999,6.0730000000000004,5.9269999999999996,6.1289999999999996,6.1669999999999998,6.1689999999999996,6.2119999999999997,6.2370000000000001,6.2759999999999998,6.2949999999999999,6.327,6.35,6.3730000000000002,6.3540000000000001,6.391
A,10,Sample X10,-0.011,-0.002,0.009,0.005,0.017,-0.01,0.017,-0.004,0.01,0.02,0.03,0.009,0.025,0.019,0.029,0.033,0.03,0.042,0.047,0.043,0.06,0.08,0.062,0.096,0.10299999999999999,0.13800000000000001,0.13,0.14299999999999999,0.192,0.19600000000000001,0.221,0.251,0.28199999999999997,0.30599999999999999,0.35399999999999998,0.42,0.42399999999999999,0.46300000000000002,0.50800000000000001,0.505,0.53100000000000003,0.56499999999999995,0.59,0.61199999999999999,0.65400000000000003,0.68799999999999994,0.66700000000000004,0.71,0.74099999999999999,0.73399999999999999,0.77500000000000002,0.82499999999999996,0.79,0.79400000000000004,0.81399999999999995,0.82099999999999995,0.94599999999999995,0.90500000000000003,0.98199999999999998,1.0389999999999999,1.083,1.177,1.238,1.3140000000000001,1.375,1.45,1.591,1.6160000000000001,1.6870000000000001,1.7649999999999999,1.8009999999999999,1.901,2.0960000000000001,2.113,2.3290000000000002,2.3050000000000002,2.5219999999999998,2.593,2.6230000000000002,2.7869999999999999,2.87,2.8889999999999998,3.0110000000000001,3.085,3.1880000000000002,3.3119999999999998,3.47,3.5110000000000001,3.6880000000000002,3.823,3.7989999999999999,3.988,4.0810000000000004,4.1820000000000004,4.3079999999999998,4.3979999999999997,4.5110000000000001,4.6150000000000002,4.72,4.8220000000000001,4.9829999999999997,4.9269999999999996,4.9939999999999998,5.0570000000000004
