row,01,02,03,04,05,06,07,08,09,10,11,12
A,NE577,NE172,JE2,NE1719,NE996,NE1919,NE1131,NE896,NE370,NE258,NE119,NE274
B,NE713,NE1088,NE713,NE172,NE844,Non infected,NE1919,NE1360,NE1719,NE594,NE1724,NE172
C,NE119,NE1304,NE577,NE713,NE1724,NE546,NE1283,NE361,NE361,NE1013,NE370,TOX-4
D,NE896,NE594,NE370,NE1194,NE1360,Non infected,JE2,NE1919,NE118,NE1194,NE274,NE594
E,TOX-4,NE546,NE483,NE1194,Non infected,NE546,NE996,NE1121,NE118,NE1719,NE1131,NE483
F,NE844,NE483,NE215,NE577,NE873,NE873,NE215,NE1121,NE118,NE258,TOX-4,NE896
G,NE1724,NE844,NE1088,NE1304,NE873,NE215,NE1360,NE1121,NE258,NE1283,JE2,NE361
H,NE996,NE1304,NE1088,NE1131,NE1283,NE119,NE1013,NE274,NE1013,Complete lysis,Complete lysis,Complete lysis
