inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate,sample_id,replicate
0.539,A04,TRUE,exp190905,2,BPH2739,1
0.448,A06,TRUE,exp190905,2,BPH2742,1
0.45,A07,TRUE,exp190905,2,BPH2732,2
0.603,A08,TRUE,exp190905,2,BPH2755,1
0.591,A09,TRUE,exp190905,2,BPH2747,2
0.429,A10,TRUE,exp190905,2,BPH2744,3
0.395,A11,TRUE,exp190905,2,BPH2734,3
0.6,A12,TRUE,exp190905,2,BPH2745,3
0.595,B01,TRUE,exp190905,2,BPH2752,2
0.356,B02,TRUE,exp190905,2,BPH2730,1
0.342,B03,TRUE,exp190905,2,BPH2752,1
0.349,B04,TRUE,exp190905,2,BPH2740,1
0.434,B05,TRUE,exp190905,2,BPH2753,3
0.382,B06,TRUE,exp190905,2,TOX-4,3
0.361,B07,TRUE,exp190905,2,BPH2742,2
0.353,B08,TRUE,exp190905,2,BPH2738,3
0.584,B09,TRUE,exp190905,2,BPH2739,2
0.518,B10,TRUE,exp190905,2,BPH2751,1
0.348,B11,TRUE,exp190905,2,BPH2741,3
0.651,B12,TRUE,exp190905,2,BPH2740,2
0.556,C01,TRUE,exp190905,2,BPH2734,2
0.502,C02,TRUE,exp190905,2,BPH2737,1
0.298,C03,TRUE,exp190905,2,BPH2750,3
0.337,C04,TRUE,exp190905,2,BPH2752,3
0.271,C05,TRUE,exp190905,2,BPH2741,1
0.444,C06,TRUE,exp190905,2,BPH2749,3
0.375,C07,TRUE,exp190905,2,BPH2736,1
0.431,C08,TRUE,exp190905,2,BPH2746,1
0.426,C09,TRUE,exp190905,2,BPH2746,2
0.34,C10,TRUE,exp190905,2,BPH2729,3
0.444,C11,TRUE,exp190905,2,BPH2747,1
0.453,C12,TRUE,exp190905,2,JE2,2
0.586,D01,TRUE,exp190905,2,BPH2755,3
0.41,D02,TRUE,exp190905,2,BPH2751,2
0.429,D03,TRUE,exp190905,2,BPH2747,3
0.313,D04,TRUE,exp190905,2,BPH2735,3
0.346,D05,TRUE,exp190905,2,BPH2738,2
0.309,D06,TRUE,exp190905,2,TOX-4,2
0.381,D07,TRUE,exp190905,2,BPH2728,2
0.299,D08,TRUE,exp190905,2,BPH2742,3
0.337,D09,TRUE,exp190905,2,BPH2733,3
0.371,D10,TRUE,exp190905,2,BPH2735,1
0.302,D11,TRUE,exp190905,2,BPH2745,1
0.323,D12,TRUE,exp190905,2,BPH2751,3
0.593,E01,TRUE,exp190905,2,JE2,1
0.394,E02,TRUE,exp190905,2,BPH2749,2
0.47,E03,TRUE,exp190905,2,BPH2748,2
0.332,E04,TRUE,exp190905,2,BPH2735,2
0.359,E05,TRUE,exp190905,2,TOX-4,1
0.388,E06,TRUE,exp190905,2,BPH2749,1
0.324,E08,TRUE,exp190905,2,BPH2731,2
0.348,E09,TRUE,exp190905,2,BPH2733,2
0.573,E10,TRUE,exp190905,2,BPH2739,3
