time,OD,well,OD_blank_normalised,experiment,plate
240,0.32,H12,FALSE,190831,2
255,0.329,H12,FALSE,190831,2
270,0.328,H12,FALSE,190831,2
285,0.327,H12,FALSE,190831,2
300,0.327,H12,FALSE,190831,2
315,0.327,H12,FALSE,190831,2
330,0.327,H12,FALSE,190831,2
345,0.348,H12,FALSE,190831,2
360,0.326,H12,FALSE,190831,2
375,0.329,H12,FALSE,190831,2
390,0.33,H12,FALSE,190831,2
405,0.328,H12,FALSE,190831,2
420,0.328,H12,FALSE,190831,2
435,0.33,H12,FALSE,190831,2
450,0.331,H12,FALSE,190831,2
465,0.323,H12,FALSE,190831,2
480,0.324,H12,FALSE,190831,2
495,0.321,H12,FALSE,190831,2
510,0.323,H12,FALSE,190831,2
525,0.323,H12,FALSE,190831,2
540,0.323,H12,FALSE,190831,2
555,0.322,H12,FALSE,190831,2
570,0.319,H12,FALSE,190831,2
585,0.321,H12,FALSE,190831,2
600,0.322,H12,FALSE,190831,2
615,0.323,H12,FALSE,190831,2
630,0.318,H12,FALSE,190831,2
645,0.319,H12,FALSE,190831,2
660,0.318,H12,FALSE,190831,2
675,0.317,H12,FALSE,190831,2
690,0.316,H12,FALSE,190831,2
705,0.32,H12,FALSE,190831,2
720,0.318,H12,FALSE,190831,2
735,0.317,H12,FALSE,190831,2
750,0.315,H12,FALSE,190831,2
765,0.315,H12,FALSE,190831,2
780,0.312,H12,FALSE,190831,2
795,0.314,H12,FALSE,190831,2
810,0.312,H12,FALSE,190831,2
825,0.313,H12,FALSE,190831,2
840,0.311,H12,FALSE,190831,2
855,0.312,H12,FALSE,190831,2
870,0.32,H12,FALSE,190831,2
885,0.313,H12,FALSE,190831,2
900,0.311,H12,FALSE,190831,2
915,0.31,H12,FALSE,190831,2
930,0.311,H12,FALSE,190831,2
945,0.315,H12,FALSE,190831,2
960,0.309,H12,FALSE,190831,2
0,0.358,A01,FALSE,190831,2
15,0.361,A01,FALSE,190831,2
30,0.361,A01,FALSE,190831,2
45,0.357,A01,FALSE,190831,2
60,0.369,A01,FALSE,190831,2
75,0.36,A01,FALSE,190831,2
90,0.364,A01,FALSE,190831,2
105,0.367,A01,FALSE,190831,2
120,0.363,A01,FALSE,190831,2
135,0.358,A01,FALSE,190831,2
150,0.365,A01,FALSE,190831,2
165,0.362,A01,FALSE,190831,2
180,0.369,A01,FALSE,190831,2
195,0.378,A01,FALSE,190831,2
210,0.398,A01,FALSE,190831,2
225,0.426,A01,FALSE,190831,2
240,0.505,A01,FALSE,190831,2
255,0.552,A01,FALSE,190831,2
270,0.652,A01,FALSE,190831,2
285,0.812,A01,FALSE,190831,2
300,0.996,A01,FALSE,190831,2
315,1.311,A01,FALSE,190831,2
330,1.696,A01,FALSE,190831,2
345,1.942,A01,FALSE,190831,2
360,2.55,A01,FALSE,190831,2
375,3.062,A01,FALSE,190831,2
390,3.349,A01,FALSE,190831,2
405,3.644,A01,FALSE,190831,2
420,3.788,A01,FALSE,190831,2
435,3.937,A01,FALSE,190831,2
450,4.128,A01,FALSE,190831,2
465,4.221,A01,FALSE,190831,2
480,4.35,A01,FALSE,190831,2
495,4.458,A01,FALSE,190831,2
510,4.562,A01,FALSE,190831,2
525,4.651,A01,FALSE,190831,2
540,4.745,A01,FALSE,190831,2
555,4.73,A01,FALSE,190831,2
570,4.769,A01,FALSE,190831,2
585,4.807,A01,FALSE,190831,2
600,4.812,A01,FALSE,190831,2
615,4.954,A01,FALSE,190831,2
630,4.914,A01,FALSE,190831,2
645,4.913,A01,FALSE,190831,2
660,4.851,A01,FALSE,190831,2
675,4.894,A01,FALSE,190831,2
690,4.852,A01,FALSE,190831,2
705,4.814,A01,FALSE,190831,2
720,4.806,A01,FALSE,190831,2
735,4.771,A01,FALSE,190831,2
750,4.769,A01,FALSE,190831,2
765,4.751,A01,FALSE,190831,2
780,4.657,A01,FALSE,190831,2
795,4.644,A01,FALSE,190831,2
810,4.679,A01,FALSE,190831,2
825,4.587,A01,FALSE,190831,2
840,4.546,A01,FALSE,190831,2
855,4.517,A01,FALSE,190831,2
870,4.426,A01,FALSE,190831,2
885,4.468,A01,FALSE,190831,2
900,4.442,A01,FALSE,190831,2
915,4.394,A01,FALSE,190831,2
930,4.382,A01,FALSE,190831,2
945,4.231,A01,FALSE,190831,2
960,4.292,A01,FALSE,190831,2
0,0.325,A02,FALSE,190831,2
15,0.33,A02,FALSE,190831,2
30,0.334,A02,FALSE,190831,2
45,0.334,A02,FALSE,190831,2
60,0.334,A02,FALSE,190831,2
75,0.333,A02,FALSE,190831,2
90,0.332,A02,FALSE,190831,2
105,0.336,A02,FALSE,190831,2
120,0.336,A02,FALSE,190831,2
135,0.339,A02,FALSE,190831,2
150,0.34,A02,FALSE,190831,2
165,0.347,A02,FALSE,190831,2
180,0.351,A02,FALSE,190831,2
195,0.366,A02,FALSE,190831,2
210,0.389,A02,FALSE,190831,2
225,0.42,A02,FALSE,190831,2
240,0.448,A02,FALSE,190831,2
255,0.531,A02,FALSE,190831,2
270,0.641,A02,FALSE,190831,2
285,0.802,A02,FALSE,190831,2
300,1.007,A02,FALSE,190831,2
315,1.245,A02,FALSE,190831,2
330,1.575,A02,FALSE,190831,2
345,1.866,A02,FALSE,190831,2
360,2.613,A02,FALSE,190831,2
375,3.181,A02,FALSE,190831,2
390,3.535,A02,FALSE,190831,2
405,3.908,A02,FALSE,190831,2
420,4.217,A02,FALSE,190831,2
435,4.473,A02,FALSE,190831,2
450,4.645,A02,FALSE,190831,2
465,4.856,A02,FALSE,190831,2
480,4.971,A02,FALSE,190831,2
495,5.135,A02,FALSE,190831,2
510,5.259,A02,FALSE,190831,2
525,5.366,A02,FALSE,190831,2
540,5.483,A02,FALSE,190831,2
555,5.58,A02,FALSE,190831,2
570,5.682,A02,FALSE,190831,2
585,5.768,A02,FALSE,190831,2
600,5.87,A02,FALSE,190831,2
615,5.979,A02,FALSE,190831,2
630,6.076,A02,FALSE,190831,2
645,6.148,A02,FALSE,190831,2
660,6.192,A02,FALSE,190831,2
675,6.268,A02,FALSE,190831,2
690,6.322,A02,FALSE,190831,2
705,6.379,A02,FALSE,190831,2
720,6.429,A02,FALSE,190831,2
735,6.463,A02,FALSE,190831,2
750,6.51,A02,FALSE,190831,2
765,6.53,A02,FALSE,190831,2
780,6.556,A02,FALSE,190831,2
795,6.607,A02,FALSE,190831,2
810,6.647,A02,FALSE,190831,2
825,6.611,A02,FALSE,190831,2
840,6.7,A02,FALSE,190831,2
855,6.716,A02,FALSE,190831,2
870,6.72,A02,FALSE,190831,2
885,6.765,A02,FALSE,190831,2
900,6.813,A02,FALSE,190831,2
915,6.769,A02,FALSE,190831,2
930,6.825,A02,FALSE,190831,2
945,6.8,A02,FALSE,190831,2
960,6.846,A02,FALSE,190831,2
0,0.335,A03,FALSE,190831,2
15,0.328,A03,FALSE,190831,2
30,0.335,A03,FALSE,190831,2
45,0.332,A03,FALSE,190831,2
60,0.334,A03,FALSE,190831,2
75,0.332,A03,FALSE,190831,2
90,0.333,A03,FALSE,190831,2
105,0.339,A03,FALSE,190831,2
120,0.338,A03,FALSE,190831,2
135,0.344,A03,FALSE,190831,2
150,0.355,A03,FALSE,190831,2
165,0.37,A03,FALSE,190831,2
180,0.385,A03,FALSE,190831,2
195,0.425,A03,FALSE,190831,2
210,0.479,A03,FALSE,190831,2
225,0.547,A03,FALSE,190831,2
240,0.661,A03,FALSE,190831,2
255,0.85,A03,FALSE,190831,2
270,1.09,A03,FALSE,190831,2
285,1.384,A03,FALSE,190831,2
300,1.837,A03,FALSE,190831,2
315,2.379,A03,FALSE,190831,2
330,2.892,A03,FALSE,190831,2
345,3.082,A03,FALSE,190831,2
360,3.631,A03,FALSE,190831,2
375,3.91,A03,FALSE,190831,2
390,4.149,A03,FALSE,190831,2
405,4.331,A03,FALSE,190831,2
420,4.541,A03,FALSE,190831,2
435,4.684,A03,FALSE,190831,2
450,4.815,A03,FALSE,190831,2
465,5.05,A03,FALSE,190831,2
480,5.151,A03,FALSE,190831,2
495,5.358,A03,FALSE,190831,2
510,5.495,A03,FALSE,190831,2
525,5.637,A03,FALSE,190831,2
540,5.736,A03,FALSE,190831,2
555,5.779,A03,FALSE,190831,2
570,5.877,A03,FALSE,190831,2
585,5.941,A03,FALSE,190831,2
600,6.057,A03,FALSE,190831,2
615,6.115,A03,FALSE,190831,2
630,6.18,A03,FALSE,190831,2
645,6.248,A03,FALSE,190831,2
660,6.26,A03,FALSE,190831,2
675,6.312,A03,FALSE,190831,2
690,6.352,A03,FALSE,190831,2
705,6.395,A03,FALSE,190831,2
