well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,276,24245,276,A,01,Sample X1,29977,26804,33260,21304,0.2459852793576447,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1020,25370,1020,A,01,Sample X1,29977,26804,33260,21304,0.3400802944128471,BPH2750,2,2,exp190909
A01,Sample X1,WL535,762,24930,762,A,01,Sample X1,29977,26804,33260,21304,0.30327868852459017,BPH2750,2,2,exp190909
A01,Sample X1,WL535,390,24740,390,A,01,Sample X1,29977,26804,33260,21304,0.28738708598193374,BPH2750,2,2,exp190909
A01,Sample X1,WL535,504,24726,504,A,01,Sample X1,29977,26804,33260,21304,0.2862161257945801,BPH2750,2,2,exp190909
A01,Sample X1,WL535,618,24567,618,A,01,Sample X1,29977,26804,33260,21304,0.2729173636667782,BPH2750,2,2,exp190909
A01,Sample X1,WL535,990,25123,990,A,01,Sample X1,29977,26804,33260,21304,0.3194212111073938,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1104,25100,1104,A,01,Sample X1,29977,26804,33260,21304,0.31749749079959855,BPH2750,2,2,exp190909
A01,Sample X1,WL535,732,24787,732,A,01,Sample X1,29977,26804,33260,21304,0.29131816661090665,BPH2750,2,2,exp190909
A01,Sample X1,WL535,846,24838,846,A,01,Sample X1,29977,26804,33260,21304,0.29558380729340916,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1218,25493,1218,A,01,Sample X1,29977,26804,33260,21304,0.35036801605888257,BPH2750,2,2,exp190909
A01,Sample X1,WL535,960,25075,960,A,01,Sample X1,29977,26804,33260,21304,0.3154064904650385,BPH2750,2,2,exp190909
A01,Sample X1,WL535,216,24197,216,A,01,Sample X1,29977,26804,33260,21304,0.24197055871528939,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1074,24984,1074,A,01,Sample X1,29977,26804,33260,21304,0.3077952492472399,BPH2750,2,2,exp190909
A01,Sample X1,WL535,702,24848,702,A,01,Sample X1,29977,26804,33260,21304,0.2964202074272332,BPH2750,2,2,exp190909
