well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.685,TRUE,exp210222,M1,exp210222_M1_A01,530,BPH3423,2,VSS-227
A01,A,1,0.697,TRUE,exp210222,M1,exp210222_M1_A01,540,BPH3423,2,VSS-227
A01,A,1,0.694,TRUE,exp210222,M1,exp210222_M1_A01,550,BPH3423,2,VSS-227
A01,A,1,0.692,TRUE,exp210222,M1,exp210222_M1_A01,560,BPH3423,2,VSS-227
A01,A,1,0.703,TRUE,exp210222,M1,exp210222_M1_A01,570,BPH3423,2,VSS-227
A01,A,1,0.693,TRUE,exp210222,M1,exp210222_M1_A01,580,BPH3423,2,VSS-227
A01,A,1,0.695,TRUE,exp210222,M1,exp210222_M1_A01,590,BPH3423,2,VSS-227
A01,A,1,0.707,TRUE,exp210222,M1,exp210222_M1_A01,600,BPH3423,2,VSS-227
A01,A,1,0.704,TRUE,exp210222,M1,exp210222_M1_A01,610,BPH3423,2,VSS-227
A01,A,1,0.703,TRUE,exp210222,M1,exp210222_M1_A01,620,BPH3423,2,VSS-227
A01,A,1,0.725,TRUE,exp210222,M1,exp210222_M1_A01,630,BPH3423,2,VSS-227
A01,A,1,0.707,TRUE,exp210222,M1,exp210222_M1_A01,640,BPH3423,2,VSS-227
A01,A,1,0.716,TRUE,exp210222,M1,exp210222_M1_A01,650,BPH3423,2,VSS-227
A01,A,1,0.738,TRUE,exp210222,M1,exp210222_M1_A01,660,BPH3423,2,VSS-227
A01,A,1,0.721,TRUE,exp210222,M1,exp210222_M1_A01,670,BPH3423,2,VSS-227
A01,A,1,0.731,TRUE,exp210222,M1,exp210222_M1_A01,680,BPH3423,2,VSS-227
A01,A,1,0.725,TRUE,exp210222,M1,exp210222_M1_A01,690,BPH3423,2,VSS-227
A01,A,1,0.726,TRUE,exp210222,M1,exp210222_M1_A01,700,BPH3423,2,VSS-227
A01,A,1,0.734,TRUE,exp210222,M1,exp210222_M1_A01,710,BPH3423,2,VSS-227
A01,A,1,0.748,TRUE,exp210222,M1,exp210222_M1_A01,720,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,730,BPH3423,2,VSS-227
A01,A,1,0.74,TRUE,exp210222,M1,exp210222_M1_A01,740,BPH3423,2,VSS-227
A01,A,1,0.743,TRUE,exp210222,M1,exp210222_M1_A01,750,BPH3423,2,VSS-227
A01,A,1,0.743,TRUE,exp210222,M1,exp210222_M1_A01,760,BPH3423,2,VSS-227
A01,A,1,0.722,TRUE,exp210222,M1,exp210222_M1_A01,770,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,780,BPH3423,2,VSS-227
A01,A,1,0.746,TRUE,exp210222,M1,exp210222_M1_A01,790,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,800,BPH3423,2,VSS-227
A01,A,1,0.746,TRUE,exp210222,M1,exp210222_M1_A01,810,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,820,BPH3423,2,VSS-227
A01,A,1,0.74,TRUE,exp210222,M1,exp210222_M1_A01,830,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,840,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,850,BPH3423,2,VSS-227
A01,A,1,0.762,TRUE,exp210222,M1,exp210222_M1_A01,860,BPH3423,2,VSS-227
A01,A,1,0.764,TRUE,exp210222,M1,exp210222_M1_A01,870,BPH3423,2,VSS-227
A01,A,1,0.729,TRUE,exp210222,M1,exp210222_M1_A01,880,BPH3423,2,VSS-227
A01,A,1,0.725,TRUE,exp210222,M1,exp210222_M1_A01,890,BPH3423,2,VSS-227
A01,A,1,0.745,TRUE,exp210222,M1,exp210222_M1_A01,900,BPH3423,2,VSS-227
A01,A,1,0.726,TRUE,exp210222,M1,exp210222_M1_A01,910,BPH3423,2,VSS-227
A01,A,1,0.745,TRUE,exp210222,M1,exp210222_M1_A01,920,BPH3423,2,VSS-227
A01,A,1,0.731,TRUE,exp210222,M1,exp210222_M1_A01,930,BPH3423,2,VSS-227
A01,A,1,0.743,TRUE,exp210222,M1,exp210222_M1_A01,940,BPH3423,2,VSS-227
A01,A,1,0.747,TRUE,exp210222,M1,exp210222_M1_A01,950,BPH3423,2,VSS-227
A01,A,1,0.754,TRUE,exp210222,M1,exp210222_M1_A01,960,BPH3423,2,VSS-227
A01,A,1,0.735,TRUE,exp210222,M1,exp210222_M1_A01,970,BPH3423,2,VSS-227
A01,A,1,0.75,TRUE,exp210222,M1,exp210222_M1_A01,980,BPH3423,2,VSS-227
A01,A,1,0.726,TRUE,exp210222,M1,exp210222_M1_A01,990,BPH3423,2,VSS-227
A01,A,1,0.744,TRUE,exp210222,M1,exp210222_M1_A01,1000,BPH3423,2,VSS-227
A01,A,1,0.748,TRUE,exp210222,M1,exp210222_M1_A01,1010,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,1020,BPH3423,2,VSS-227
A01,A,1,0.747,TRUE,exp210222,M1,exp210222_M1_A01,1030,BPH3423,2,VSS-227
A01,A,1,0.729,TRUE,exp210222,M1,exp210222_M1_A01,1040,BPH3423,2,VSS-227
A01,A,1,0.724,TRUE,exp210222,M1,exp210222_M1_A01,1050,BPH3423,2,VSS-227
A01,A,1,0.739,TRUE,exp210222,M1,exp210222_M1_A01,1060,BPH3423,2,VSS-227
A01,A,1,0.741,TRUE,exp210222,M1,exp210222_M1_A01,1070,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,1080,BPH3423,2,VSS-227
A01,A,1,0.724,TRUE,exp210222,M1,exp210222_M1_A01,1090,BPH3423,2,VSS-227
A01,A,1,0.73,TRUE,exp210222,M1,exp210222_M1_A01,1100,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,1110,BPH3423,2,VSS-227
A01,A,1,0.72,TRUE,exp210222,M1,exp210222_M1_A01,1120,BPH3423,2,VSS-227
A01,A,1,0.741,TRUE,exp210222,M1,exp210222_M1_A01,1130,BPH3423,2,VSS-227
A02,A,2,0.015,TRUE,exp210222,M1,exp210222_M1_A02,0,BPH3358,3,VSS-159
A02,A,2,0.007,TRUE,exp210222,M1,exp210222_M1_A02,10,BPH3358,3,VSS-159
A02,A,2,0.001,TRUE,exp210222,M1,exp210222_M1_A02,20,BPH3358,3,VSS-159
A02,A,2,0.024,TRUE,exp210222,M1,exp210222_M1_A02,30,BPH3358,3,VSS-159
A02,A,2,0.005,TRUE,exp210222,M1,exp210222_M1_A02,40,BPH3358,3,VSS-159
A02,A,2,0.005,TRUE,exp210222,M1,exp210222_M1_A02,50,BPH3358,3,VSS-159
A02,A,2,0.012,TRUE,exp210222,M1,exp210222_M1_A02,60,BPH3358,3,VSS-159
A02,A,2,0.002,TRUE,exp210222,M1,exp210222_M1_A02,70,BPH3358,3,VSS-159
A02,A,2,0.014,TRUE,exp210222,M1,exp210222_M1_A02,80,BPH3358,3,VSS-159
A02,A,2,0.009,TRUE,exp210222,M1,exp210222_M1_A02,90,BPH3358,3,VSS-159
A02,A,2,0.005,TRUE,exp210222,M1,exp210222_M1_A02,100,BPH3358,3,VSS-159
A02,A,2,0.03,TRUE,exp210222,M1,exp210222_M1_A02,110,BPH3358,3,VSS-159
A02,A,2,-0.006,TRUE,exp210222,M1,exp210222_M1_A02,120,BPH3358,3,VSS-159
A02,A,2,-0.01,TRUE,exp210222,M1,exp210222_M1_A02,130,BPH3358,3,VSS-159
A02,A,2,-0.008,TRUE,exp210222,M1,exp210222_M1_A02,140,BPH3358,3,VSS-159
A02,A,2,-0.017,TRUE,exp210222,M1,exp210222_M1_A02,150,BPH3358,3,VSS-159
A02,A,2,-0.008,TRUE,exp210222,M1,exp210222_M1_A02,160,BPH3358,3,VSS-159
