"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2716","exp191115_1_A10",402,0.00196334856163199,354.766316719219,118.365206969965,1152,1.24327621892468,126,-0.0395550813447719,1.24327621892468,1152,"exp191115","A10","A",10,40000,"1",2,"VAN-013",0.0736655047803006,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2717","exp191115_1_A12",468,0.00248766946944435,279.269699860257,116.63032682785,1074,1.0962124545091,165,-0.035445554720015,1.09214189666829,1152,"exp191115","A12","A",11,40000,"1",2,"VAN-014",0.0319953301438861,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2718","exp191115_1_C08",939,0.00119150642124755,582.753754664446,32.5773527618739,1152,0.711416518007579,189,-0.0790353296515414,0.711416518007579,1152,"exp191115","C08","C",9,40000,"1",2,"VAN-015",0.0588557652202117,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2719","exp191115_1_A09",546,0.0014513238465125,477.596493867004,81.7313558133262,1152,1.00257063892938,168,-0.00500966606714769,1.00257063892938,1152,"exp191115","A09","A",9,40000,"1",2,"VAN-016",0.0288804822600519,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2720","exp191115_1_E03",537,0.000443604354756178,1563.21429886379,21.3625946610784,1152,0.253856659940553,156,-0.0366546494242692,0.253856659940553,1152,"exp191115","E03","E",3,40000,"1",2,"VAN-017",0.0245057144360569,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2721","exp191115_1_C06",588,0.00187976737490186,372.116257812733,84.0273218599345,1131,0.915980381154435,171,-0.0297619614496861,0.915325558689517,1152,"exp191115","C06","C",6,40000,"1",2,"VAN-018",0.0207995985474807,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2722","exp191115_1_A01",1035,0.000376271474328942,1853.34533938516,16.8068686931714,1152,0.251500595494217,216,-0.0274616247358234,0.251500595494217,1152,"exp191115","A01","A",3.5,40000,"1",1.5,"VAN-019",0.0290404368018095,FALSE,FALSE,FALSE,0,0,0,FALSE,"188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2723","exp191115_1_B10",573,0.000233204649992514,3035.50061522361,-0.740017705482451,423,0.0482051807587214,189,-0.0467764023151096,0.023134691058496,1152,"exp191115","B10","B",10,40000,"1",2,"VAN-020",0.0190805550737312,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2724","exp191115_1_B01",306,0.000594532791861523,1165.98685997324,33.5742420026064,1152,0.253263038107138,129,0.0313633033791514,0.250950598157086,1152,"exp191115","B01","B",3,40000,"1",2,"VAN-021",0.0402620656679337,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2725","exp191115_1_B05",372,0.0018671765880001,371.227437733869,85.6226030522226,1152,0.727687026222123,114,0.00267200405637176,0.727687026222123,1152,"exp191115","B05","B",2,40000,"1",2,"VAN-022",0.0197773498239656,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2726","exp191115_1_F05",738,0.000779237242120356,889.520088482739,13.8333621531081,1152,0.356947727913483,234,-0.0812923717504229,0.356947727913483,1152,"exp191115","F05","F",6,40000,"1",2,"VAN-023",0.0298571548208739,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2727","exp191115_1_A08",654,0.00100018450106177,693.025101149562,34.1028969791531,1152,0.558817300799855,198,-0.0366979996134973,0.558817300799855,1152,"exp191115","A08","A",8,40000,"1",2,"VAN-023",0.0439248800378639,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein"
"BPH2728","exp190831_2_A03",450,0.00399123867045235,173.66718399764,117.179846675437,726,1.15193725422153,156,-0.0387505539459603,0.925616412153239,1152,"exp190831","A03","A",7,40000,"2",2,"VAN-024",0.0304057053844575,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2729","exp190831_2_C10",606,0.000637830049709251,1086.72706918702,15.3741163979634,1152,0.246300021255839,180,-0.045068971153296,0.217605503855418,1152,"exp190831","C10","C",9,40000,"2",2,"VAN-024",0.0274531663749368,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD"
"BPH2730","exp190831_2_B02",444,0.00387327762702923,178.956234823679,140.114506697605,720,1.21419132841749,162,-0.00523681514029262,1.02511664418886,1152,"exp190831","B02","B",3,40000,"2",2,"VAN-024",0.0396209994736145,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA
"BPH2731","exp190831_2_E08",357,0.000630243511000622,1100.60061770692,17.1736400352912,1152,0.19224815874877,171,-0.0442484717142237,0.19224815874877,1152,"exp190831","E08","E",8,40000,"2",2,"VAN-025",0.0471528570328044,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2732","exp190831_2_A07",321,0.00498041589208109,140.40069701296,177.570527506212,612,1.44072887955266,51,-0.0337540966707,1.03997249408559,1152,"exp190831","A07","A",7,40000,"2",2,"VAN-026",0.053487003825231,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2733","exp190831_2_D09",303,0.00569457843179674,121.807708680338,183.654710898684,549,1.5356188079488,57,-0.0763434932973842,0.920295683865467,1152,"exp190831","D09","D",9,40000,"2",2,"VAN-026",0.046397593495903,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA
"BPH2734","exp190831_2_A11",372,0.000191706128910628,3629.81291742173,6.656702110372,1152,0.0971186527381007,144,-0.0102345773499475,0.0971186527381007,1152,"exp190831","A11","A",6,40000,"2",2,"VAN-026",0.0353630887276263,FALSE,FALSE,FALSE,0,0,0,FALSE,"34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA
"BPH2735","exp190831_2_D04",633,0.000937060838640699,739.708138578136,49.3555313113759,1068,0.555422691218554,144,-0.0383077042521969,0.525293986072122,1152,"exp190831","D04","D",4,40000,"2",2,"VAN-027",0.0431678096107613,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2736","exp190831_2_C07",300,0.00188462851463275,368.173223433201,60.3046804656447,579,0.467622369799115,114,-0.0384182267876607,0.396847778409107,1152,"exp190831","C07","C",7,40000,"2",2,"VAN-028",0.0323993943423014,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2737","exp190831_2_C02",282,0.000190574422685445,3641.499281822,10.1513160361488,1152,0.0998652955075015,132,0.00204017706832308,0.0998652955075015,1152,"exp190831","C02","C",2,40000,"2",2,"VAN-029",0.0542052857066548,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2738","exp190831_2_B08",345,0.000151652408945109,4758.18638717095,3.63532467418491,576,0.0741327574828947,174,-0.0217828772433579,0.0571289228229096,1152,"exp190831","B08","B",7,40000,"2",2,"VAN-029",0.0278437212105534,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp"
"BPH2739","exp190831_2_A04",309,0.000473449646959957,1464.21719687238,19.8287337986641,1050,0.184392765494574,138,-0.0442318947295497,0.176291054460183,1152,"exp190831","A04","A",9,40000,"2",2,"VAN-030",0.0292867128774612,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
