"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2715","exp191115_1_F03",601,0.00143295489310744,485.556409142952,64.5259536357885,1152,0.89644532033579,182,-0.0707333804260618,0.89644532033579,1152,"exp191115","F03","F",5.33333333333333,40000,"1",2,"VAN-012",0.022895132722589,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2716","exp191115_1_A10",416,0.00226781055581685,331.035942061753,125.815388553002,1120,1.23063396295777,122,-0.0155894145241826,1.22261593227862,1152,"exp191115","A10","A",9.66666666666667,40000,"1",2,"VAN-013",0.0736655047803006,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2717","exp191115_1_A12",473,0.00254340502209992,277.415180738555,111.90712227476,1071,1.07077912795986,165,-0.0177069629027317,1.0681117211173,1152,"exp191115","A12","A",10.3333333333333,40000,"1",2,"VAN-014",0.0319953301438861,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2718","exp191115_1_C08",926,0.00137386951874449,667.321071919997,32.7126069107451,1152,0.73577247311298,189,-0.0833661552123787,0.73577247311298,1152,"exp191115","C08","C",9.66666666666667,40000,"1",2,"VAN-015",0.0588557652202117,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2719","exp191115_1_A09",516,0.00139567253716303,657.809962566258,82.0649490481467,1152,0.93924467030409,165.6,-0.00653528136995182,0.93924467030409,1152,"exp191115","A09","A",8.6,40000,"1",1.8,"VAN-016",0.0288804822600519,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2720","exp191115_1_E03",630,0.000399336300695545,2160.5432289512,17.0556472843551,1152,0.245445997850423,161,-0.0383299667980988,0.245445997850423,1152,"exp191115","E03","E",5.66666666666667,40000,"1",2,"VAN-017",0.0245057144360569,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2721","exp191115_1_C06",565,0.00192964608425393,367.68852148891,84.793239270483,1100,0.92868997119214,168,-0.0357103735206112,0.925234812675769,1152,"exp191115","C06","C",4.66666666666667,40000,"1",2,"VAN-018",0.0207995985474807,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2722","exp191115_1_A01",996,0.00038432662581251,1827.21500881932,15.7676505556217,1152,0.253635885010902,225,-0.0169548667472606,0.253635885010902,1152,"exp191115","A01","A",3,40000,"1",1.75,"VAN-019",0.0290404368018095,FALSE,FALSE,FALSE,0,0,0,FALSE,"188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2723","exp191115_1_B10",614,0.000266299795448527,3333.05749188077,5.59988253249969,525,0.123839829522407,185,-0.0410665474092285,0.096039742177449,1152,"exp191115","B10","B",8,40000,"1",2,"VAN-020",0.0190805550737312,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2724","exp191115_1_B01",311,0.000717794734986532,1133.40141581222,38.6905964754479,1105,0.291614119395519,134,0.0339493816089773,0.290180548108718,1152,"exp191115","B01","B",2.66666666666667,40000,"1",2,"VAN-021",0.0402620656679337,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
