"well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","sample_id","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"exp200313_M2_E02",390,0.0252326567563568,27.4702417289184,111.700566666333,780,6.13287080485667,60,0.000934506748210111,5.98307349564238,930,"BPH3681","E",2,"E02","exp200313","M2",2,"VSS-504",0.0784495591659592,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-504","-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-504","-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E03",300,0.0245189672301804,28.2698359214229,126.737333333333,930,7.08087465109,30,0.00782997276823727,7.08087465109,930,"BPH3680","E",3,"E03","exp200313","M2",2,"VSS-503",0.360335029289873,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-503","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E04",300,0.0259865212104273,26.6733348010358,120.891333333333,750,6.00608613127405,30,0.013549100738963,5.97802413620868,930,"BPH3525","E",4,"E04","exp200313","M2",2,"VSS-329",0.108724422279449,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-329","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-329","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E05",390,0.000159203814427753,4353.83525860492,-0.385666666666667,540,-0.00127523699405735,870,-0.022195932141578,-0.0143622766186396,930,"Non infected","E",5,"E05","exp200313","M2",1,"CONTROL",0.0136398735726281,FALSE,FALSE,FALSE,0,0,0,FALSE,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E06",300,0.0220544454797764,31.4289099309049,116.941333333333,750,5.78916872159449,0,0.0223116446975838,5.70863928589831,930,"BPH3681","E",6,"E06","exp200313","M2",1,"VSS-504",0.00435889894354067,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-504","-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-504","-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E07",270,0.028379650139333,24.4240918107469,116.674333333333,720,5.65438260480917,30,0.0260947597289855,5.43582437378356,930,"JE2","E",7,"E07","exp200313","M2",1,"CONTROL",1.69423166754199,FALSE,FALSE,FALSE,0,0,0,FALSE,"CONTROL","8",1,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"CONTROL","8",1,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"8",1,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"exp200313_M2_E08",270,0.02965112986178,23.3767544033256,127.890333333333,810,6.21349930663245,30,0.0149813557938734,6.19298328408153,930,"BPH3504","E",8,"E08","exp200313","M2",2,"VSS-308",0.0694190175672344,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-308","78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-308","78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E09",270,0.0279768427365093,24.7757471094263,124.729333333333,720,6.02897851920802,60,0.0125067034291572,5.9991735553008,930,"BPH3515","E",9,"E09","exp200313","M2",2,"VSS-319",0.0277368587502864,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-319","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-319","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E10",240,0.031683990085199,21.8768904641132,141.468333333333,930,6.65427157368289,30,0.00168949181716341,6.65427157368289,930,"BPH3560","E",10,"E10","exp200313","M2",3,"VSS-367",0.19026385188294,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-367","8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-367","8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_E11",300,0.0295374800437435,23.4666999193374,117.116333333333,840,5.90379302659263,30,0.00825483323651506,5.85920549169293,930,"BPH3506","E",11,"E11","exp200313","M2",1,"VSS-310",0.70896567852988,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-310","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-310","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
