"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2702","exp191116_1_G03",366,0.00134260677664712,516.269687161073,44.908183937972,1152,0.421755878780412,156,-0.0626911043813532,0.421755878780412,1152,"exp191116","G03","G",3,40000,"1",3,"VAN-002",0.0335515888353589,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191116_1_B02",372,0.000610078952382726,1136.15980005996,19.2014982031453,1152,0.221916207306306,162,-0.0533102546201787,0.221916207306306,1152,"exp191116","B02","B",2,40000,"1",1,"VAN-002",0.0335515888353589,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_G08",498,0.00190329898106577,364.181974274904,82.2297802514188,1152,0.92191775794075,156,-0.0600033126765356,0.92191775794075,1152,"exp191116","G08","G",8,40000,"1",1,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0.0725388601036269,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_G08",1152,0.00104730322574359,661.840013018014,23.034733676501,1152,0.584679895005391,228,-0.0976723139216009,0.584679895005391,1152,"exp191115","G08","G",8,40000,"1",1,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",726,0.00148148105038749,467.874483024032,47.5929914760042,1152,0.762469138614982,210,-0.044645178990183,0.762469138614982,1152,"exp191116","E08","E",8,40000,"1",2,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_F08",540,0.00182497078183683,379.81275506356,69.6195305678338,1152,0.833181052836709,168,-0.0646825249265212,0.833181052836709,1152,"exp191116","F08","F",8,40000,"1",3,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0.0103626943005181,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_E08",744,0.0012577004446595,551.122632979272,32.8450463371528,1152,0.714732723837127,198,-0.104580709816399,0.714732723837127,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_F08",780,0.00117504464893987,589.8900788028,27.6311920147137,1152,0.668959572884462,210,-0.129432125001637,0.668959572884462,1152,"exp191115","F08","F",8,40000,"1",3,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_H04",474,0.00132747905055796,522.153008944739,55.8992042274414,1152,0.605445848085691,180,-0.0546879177395893,0.605445848085691,1152,"exp191115","H04","H",4,40000,"1",3,"VAN-004",0.0456833260244674,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2704","exp191116_1_E11",558,0.00153912600459671,450.351159352652,64.52302066034,1152,0.735905005273452,180,-0.0348462413712493,0.735905005273452,1152,"exp191116","E11","E",11,40000,"1",1,"VAN-004",0.0456833260244674,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
