well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
G09,31479,0,G,09,exp200219,40000,P1,exp200219_P1_G09,Complete lysis,1,CONTROL
G10,30435,0,G,10,exp200219,40000,P1,exp200219_P1_G10,Complete lysis,2,CONTROL
G11,31918,0,G,11,exp200219,40000,P1,exp200219_P1_G11,Complete lysis,3,CONTROL
B02,15204,6,B,02,exp200219,40000,P1,exp200219_P1_B02,TOX-4,3,CONTROL
B03,13819,6,B,03,exp200219,40000,P1,exp200219_P1_B03,BPH2705,1,VAN-004
B04,13832,6,B,04,exp200219,40000,P1,exp200219_P1_B04,BPH2979,3,VAN-216
B05,14160,6,B,05,exp200219,40000,P1,exp200219_P1_B05,BPH2704,1,VAN-004
B06,15253,6,B,06,exp200219,40000,P1,exp200219_P1_B06,BPH2978,1,VAN-216
B07,14439,6,B,07,exp200219,40000,P1,exp200219_P1_B07,BPH2763,2,VAN-050
B08,14399,6,B,08,exp200219,40000,P1,exp200219_P1_B08,BPH2981,1,VAN-216
B09,14021,6,B,09,exp200219,40000,P1,exp200219_P1_B09,BPH2728,2,VAN-024
B10,14177,6,B,10,exp200219,40000,P1,exp200219_P1_B10,BPH2729,3,VAN-024
B11,14726,6,B,11,exp200219,40000,P1,exp200219_P1_B11,BPH2977,3,VAN-216
C02,14833,6,C,02,exp200219,40000,P1,exp200219_P1_C02,BPH2730,3,VAN-024
C03,14775,6,C,03,exp200219,40000,P1,exp200219_P1_C03,BPH2982,2,VAN-216
C04,15223,6,C,04,exp200219,40000,P1,exp200219_P1_C04,BPH2980,3,VAN-216
C05,14556,6,C,05,exp200219,40000,P1,exp200219_P1_C05,BPH2727,1,VAN-023
C06,14139,6,C,06,exp200219,40000,P1,exp200219_P1_C06,BPH2726,1,VAN-023
C07,14746,6,C,07,exp200219,40000,P1,exp200219_P1_C07,BPH2726,3,VAN-023
C08,13950,6,C,08,exp200219,40000,P1,exp200219_P1_C08,BPH2728,3,VAN-024
C09,14608,6,C,09,exp200219,40000,P1,exp200219_P1_C09,BPH2982,1,VAN-216
C10,14974,6,C,10,exp200219,40000,P1,exp200219_P1_C10,BPH2979,1,VAN-216
C11,15486,6,C,11,exp200219,40000,P1,exp200219_P1_C11,BPH2764,1,VAN-050
D02,14699,6,D,02,exp200219,40000,P1,exp200219_P1_D02,TOX-4,1,CONTROL
D03,14717,6,D,03,exp200219,40000,P1,exp200219_P1_D03,Non infected,2,CONTROL
D04,14108,6,D,04,exp200219,40000,P1,exp200219_P1_D04,BPH2979,2,VAN-216
D05,13980,6,D,05,exp200219,40000,P1,exp200219_P1_D05,BPH2980,2,VAN-216
D06,14291,6,D,06,exp200219,40000,P1,exp200219_P1_D06,BPH2982,3,VAN-216
D07,14308,6,D,07,exp200219,40000,P1,exp200219_P1_D07,BPH2730,2,VAN-024
D08,14519,6,D,08,exp200219,40000,P1,exp200219_P1_D08,BPH2704,3,VAN-004
D09,14147,6,D,09,exp200219,40000,P1,exp200219_P1_D09,BPH2705,3,VAN-004
D10,14841,6,D,10,exp200219,40000,P1,exp200219_P1_D10,BPH2981,2,VAN-216
D11,15051,6,D,11,exp200219,40000,P1,exp200219_P1_D11,BPH2976,2,VAN-216
E02,14908,6,E,02,exp200219,40000,P1,exp200219_P1_E02,BPH2976,3,VAN-216
E03,14978,6,E,03,exp200219,40000,P1,exp200219_P1_E03,BPH2978,3,VAN-216
E04,15244,6,E,04,exp200219,40000,P1,exp200219_P1_E04,BPH2977,2,VAN-216
E05,14185,6,E,05,exp200219,40000,P1,exp200219_P1_E05,BPH2978,2,VAN-216
E06,14682,6,E,06,exp200219,40000,P1,exp200219_P1_E06,BPH2727,3,VAN-023
E07,13682,6,E,07,exp200219,40000,P1,exp200219_P1_E07,BPH2764,3,VAN-050
E08,14783,6,E,08,exp200219,40000,P1,exp200219_P1_E08,BPH2726,2,VAN-023
E09,13385,6,E,09,exp200219,40000,P1,exp200219_P1_E09,Non infected,1,CONTROL
E10,14304,6,E,10,exp200219,40000,P1,exp200219_P1_E10,BPH2763,1,VAN-050
E11,14711,6,E,11,exp200219,40000,P1,exp200219_P1_E11,JE2,3,CONTROL
F02,15833,6,F,02,exp200219,40000,P1,exp200219_P1_F02,BPH2976,1,VAN-216
F03,14057,6,F,03,exp200219,40000,P1,exp200219_P1_F03,BPH2730,1,VAN-024
F04,14154,6,F,04,exp200219,40000,P1,exp200219_P1_F04,BPH2980,1,VAN-216
F05,14007,6,F,05,exp200219,40000,P1,exp200219_P1_F05,JE2,2,CONTROL
F06,15298,6,F,06,exp200219,40000,P1,exp200219_P1_F06,BPH2704,2,VAN-004
F07,14235,6,F,07,exp200219,40000,P1,exp200219_P1_F07,BPH2728,1,VAN-024
F08,13945,6,F,08,exp200219,40000,P1,exp200219_P1_F08,BPH2729,1,VAN-024
F09,14467,6,F,09,exp200219,40000,P1,exp200219_P1_F09,BPH2727,2,VAN-023
F10,14677,6,F,10,exp200219,40000,P1,exp200219_P1_F10,Non infected,3,CONTROL
F11,15763,6,F,11,exp200219,40000,P1,exp200219_P1_F11,BPH2977,1,VAN-216
G02,17887,6,G,02,exp200219,40000,P1,exp200219_P1_G02,BPH2764,2,VAN-050
G03,14125,6,G,03,exp200219,40000,P1,exp200219_P1_G03,BPH2729,2,VAN-024
G04,14100,6,G,04,exp200219,40000,P1,exp200219_P1_G04,TOX-4,2,CONTROL
G05,14113,6,G,05,exp200219,40000,P1,exp200219_P1_G05,BPH2763,3,VAN-050
G06,14737,6,G,06,exp200219,40000,P1,exp200219_P1_G06,JE2,1,CONTROL
G07,14421,6,G,07,exp200219,40000,P1,exp200219_P1_G07,BPH2981,3,VAN-216
G08,14100,6,G,08,exp200219,40000,P1,exp200219_P1_G08,BPH2705,2,VAN-004
G09,34940,6,G,09,exp200219,40000,P1,exp200219_P1_G09,Complete lysis,1,CONTROL
G10,34232,6,G,10,exp200219,40000,P1,exp200219_P1_G10,Complete lysis,2,CONTROL
G11,35185,6,G,11,exp200219,40000,P1,exp200219_P1_G11,Complete lysis,3,CONTROL
B02,14910,12,B,02,exp200219,40000,P1,exp200219_P1_B02,TOX-4,3,CONTROL
B03,13904,12,B,03,exp200219,40000,P1,exp200219_P1_B03,BPH2705,1,VAN-004
B04,13541,12,B,04,exp200219,40000,P1,exp200219_P1_B04,BPH2979,3,VAN-216
B05,13781,12,B,05,exp200219,40000,P1,exp200219_P1_B05,BPH2704,1,VAN-004
B06,15018,12,B,06,exp200219,40000,P1,exp200219_P1_B06,BPH2978,1,VAN-216
B07,13961,12,B,07,exp200219,40000,P1,exp200219_P1_B07,BPH2763,2,VAN-050
B08,14158,12,B,08,exp200219,40000,P1,exp200219_P1_B08,BPH2981,1,VAN-216
B09,13767,12,B,09,exp200219,40000,P1,exp200219_P1_B09,BPH2728,2,VAN-024
B10,14113,12,B,10,exp200219,40000,P1,exp200219_P1_B10,BPH2729,3,VAN-024
B11,14386,12,B,11,exp200219,40000,P1,exp200219_P1_B11,BPH2977,3,VAN-216
C02,14477,12,C,02,exp200219,40000,P1,exp200219_P1_C02,BPH2730,3,VAN-024
C03,14272,12,C,03,exp200219,40000,P1,exp200219_P1_C03,BPH2982,2,VAN-216
