"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2716","exp191115_1_A10",131.848437286724,1152,1.36288942433159,126,-0.0172188017929874,381,0.0021162949467674,329.091691177521,1.36288942433159,1152,"exp191115","A10","A",10,40000,"1",2,"VAN-013",0.110954400379146,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2717","exp191115_1_A12",130.20138371634,1074,1.20242002198118,165,-0.0167629085320475,465,0.00273827729504981,253.825863315724,1.19805602890873,1152,"exp191115","A12","A",11,40000,"1",2,"VAN-014",0.0521736944335572,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2718","exp191115_1_C08",39.6107504204997,1152,0.78870093745319,189,-0.0626285567113656,918,0.0013412497177603,518.154094446845,0.78870093745319,1152,"exp191115","C08","C",9,40000,"1",2,"VAN-015",0.0699263699423059,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2719","exp191115_1_A09",91.9823321686411,1152,1.10265858589966,168,0.0133466241169617,534,0.00157404240628272,440.361185818933,1.10265858589966,1152,"exp191115","A09","A",9,40000,"1",2,"VAN-016",0.0392734459895382,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2720","exp191115_1_E03",28.3061196834904,1152,0.299793418372145,156,-0.0109280179315662,318,0.00049401763980598,1403.10398117509,0.299793418372145,1152,"exp191115","E03","E",3,40000,"1",2,"VAN-017",0.0298667298325626,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2721","exp191115_1_C06",94.8442173473985,1131,1.00836517410932,171,-0.0084604753377466,585,0.00205249052062373,340.454165539241,1.00766479732444,1152,"exp191115","C06","C",6,40000,"1",2,"VAN-018",0.0367891247044492,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2722","exp191115_1_C03",22.6088795728924,1152,0.331453734086549,213,-0.00438793326492445,1047,0.000478870573995149,1454.03935567475,0.331453734086549,1152,"exp191115","C03","C",3.5,40000,"1",2,"VAN-019",0.0310092796828126,FALSE,FALSE,FALSE,0,0,0,FALSE,"188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2723","exp191115_1_B10",3.74496614884909,423,0.0753894985119911,189,-0.0267678217158197,591,0.000271601892080193,2600.94641706587,0.0484666489794055,1152,"exp191115","B10","B",10,40000,"1",2,"VAN-020",0.0300619432443366,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2724","exp191115_1_B01",40.683175791769,1152,0.296007562971377,129,0.0549074773374265,297,0.000707030512163069,980.39884764206,0.293507545368801,1152,"exp191115","B01","B",3,40000,"1",2,"VAN-021",0.063828460030555,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2725","exp191115_1_B05",96.189224802969,1152,0.806586948363221,114,0.021898683706642,366,0.00209970192957719,330.116942217376,0.806586948363221,1152,"exp191115","B05","B",2,40000,"1",2,"VAN-022",0.0376675985553351,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2726","exp191115_1_F05",18.5766727801541,1152,0.404664831671796,234,-0.0586710721515004,738,0.000856500920266226,809.277800127167,0.404664831671796,1152,"exp191115","F05","F",6,40000,"1",2,"VAN-023",0.0371323416776692,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2727","exp191115_1_A08",40.4904067389162,1152,0.622909411656764,198,-0.0251535698770902,639,0.00115305430756949,601.151846426757,0.622909411656764,1152,"exp191115","A08","A",8,40000,"1",2,"VAN-023",0.0710521969092665,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein"
"BPH2728","exp190831_2_A03",117.179846675437,726,1.15193725422153,156,-0.0387505539459603,444,0.00425109696150306,163.051369290544,0.925616412153239,1152,"exp190831","A03","A",7,40000,"2",2,"VAN-024",0.0663974414224687,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2729","exp190831_2_C10",15.3741163979634,1152,0.246300021255839,180,-0.045068971153296,612,0.000638939143764392,1084.84068838885,0.217605503855418,1152,"exp190831","C10","C",9,40000,"2",2,"VAN-024",0.0703282851623391,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD"
"BPH2730","exp190831_2_B02",140.114506697605,720,1.21419132841749,162,-0.00523681514029262,444,0.00425994722483158,162.712621536608,1.02511664418886,1152,"exp190831","B02","B",3,40000,"2",2,"VAN-024",0.058762206521503,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA
"BPH2731","exp190831_2_E08",17.1736400352912,1152,0.19224815874877,171,-0.0442484717142237,354,0.000700154121864918,990.75600568595,0.19224815874877,1152,"exp190831","E08","E",8,40000,"2",2,"VAN-025",0.0755868907376801,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2732","exp190831_2_A07",177.570527506212,612,1.44072887955266,51,-0.0337540966707,321,0.00542396546361076,128.848756103297,1.03997249408559,1152,"exp190831","A07","A",7,40000,"2",2,"VAN-026",0.0768028001631547,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2733","exp190831_2_D09",183.654710898684,549,1.5356188079488,57,-0.0763434932973842,303,0.00626054131132912,110.729693375707,0.920295683865467,1152,"exp190831","D09","D",9,40000,"2",2,"VAN-026",0.0448676417695257,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA
"BPH2734","exp190831_2_A11",6.656702110372,1152,0.0971186527381007,144,-0.0102345773499475,330,0.00021977901590789,3162.71450019193,0.0971186527381007,1152,"exp190831","A11","A",6,40000,"2",2,"VAN-026",0.0851166204572163,FALSE,FALSE,FALSE,0,0,0,FALSE,"34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA
"BPH2735","exp190831_2_D04",49.3555313113759,1068,0.555422691218554,144,-0.0383077042521969,636,0.000991617836970375,699.007548156526,0.525293986072122,1152,"exp190831","D04","D",4,40000,"2",2,"VAN-027",0.084295194940232,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2736","exp190831_2_C07",60.3046804656447,579,0.467622369799115,114,-0.0384182267876607,294,0.00213179178605361,325.758311331734,0.396847778409107,1152,"exp190831","C07","C",7,40000,"2",2,"VAN-028",0.0732069853408199,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2737","exp190831_2_C02",10.1513160361488,1152,0.0998652955075015,132,0.00204017706832308,252,0.000211821403642223,3272.37926765904,0.0998652955075015,1152,"exp190831","C02","C",2,40000,"2",2,"VAN-029",0.0776787833766327,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2738","exp190831_2_B08",3.63532467418491,576,0.0741327574828947,174,-0.0217828772433579,372,0.000167285511039617,4188.37261694178,0.0571289228229096,1152,"exp190831","B08","B",7,40000,"2",2,"VAN-029",0.0675128157148898,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp"
"BPH2739","exp190831_2_A04",19.8287337986641,1050,0.184392765494574,138,-0.0442318947295497,288,0.000490178093905151,1414.38079636073,0.176291054460183,1152,"exp190831","A04","A",9,40000,"2",2,"VAN-030",0.0777998072922739,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2740","exp190831_2_A02",77.7718003987415,1152,0.830426049456334,126,-0.0210069163115164,330,0.0017020916307775,407.243754974721,0.830426049456334,1152,"exp190831","A02","A",4,40000,"2",2,"VAN-030",0.0791393116229044,FALSE,FALSE,FALSE,0,0,0,FALSE,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"BPH2741","exp190831_2_B11",97.4155730055906,1152,1.16174968371105,117,-0.030665529193027,429,0.00148163529766139,469.168145619033,1.16174968371105,1152,"exp190831","B11","B",5,40000,"2",2,"VAN-031",0.0666825093219526,FALSE,FALSE,FALSE,0,0,0,FALSE,"109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2742","exp190831_2_A06",18.1069460189535,1152,0.173668297473708,153,-0.0270776831610228,333,0.000462916926328575,1727.95151536711,0.16431181984738,1152,"exp190831","A06","A",7,40000,"2",2,"VAN-032",0.0666600147833397,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2743","exp190831_2_F03",122.560897327851,1152,1.14340816975298,96,-0.0293888384684997,372,0.00257188645501541,363.203594273009,1.14340816975298,1152,"exp190831","F03","F",6,40000,"2",2,"VAN-033",0.0547535493820825,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
