"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2715","exp191115_1_F03",73.8715686983388,1152,0.987319561070391,182,-0.0526861865178765,610,0.0015525388886506,448.217900255805,0.987319561070391,1152,"exp191115","F03","F",5.33333333333333,40000,"1",2,"VAN-012",0.0265642719970833,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2716","exp191115_1_A10",139.726882784068,1120,1.34660558480732,122,0.00671850449718665,408,0.00249113583897605,304.285078742901,1.33802976029157,1152,"exp191115","A10","A",9.66666666666667,40000,"1",2,"VAN-013",0.110954400379146,FALSE,FALSE,FALSE,0,0,0.0077720207253886,FALSE,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2717","exp191115_1_A12",124.899046692358,1071,1.17509951095124,165,0.00434518968289754,470,0.00282511376197641,250.591861967623,1.17224014130429,1152,"exp191115","A12","A",10.3333333333333,40000,"1",2,"VAN-014",0.0521736944335572,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2718","exp191115_1_C08",39.7212212101201,1152,0.814619387873038,189,-0.0661444785377033,907,0.00151953486193101,596.902506036496,0.814619387873038,1152,"exp191115","C08","C",9.66666666666667,40000,"1",2,"VAN-015",0.0699263699423059,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2719","exp191115_1_A09",92.4615314823146,1152,1.03152181341313,165.6,0.0154318139255046,504,0.00152066435141544,597.680815840665,1.03152181341313,1152,"exp191115","A09","A",8.6,40000,"1",1.8,"VAN-016",0.0392734459895382,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2720","exp191115_1_E03",22.8191667182314,1152,0.286927695165271,161,-0.0178015592437614,483,0.00044785791189984,1919.62228372614,0.286927695165271,1152,"exp191115","E03","E",5.66666666666667,40000,"1",2,"VAN-017",0.0298667298325626,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2721","exp191115_1_C06",95.6282973704881,1100,1.02193238032123,168,-0.0149395876957479,562,0.00211180971550716,335.67666418029,1.01823685528569,1152,"exp191115","C06","C",4.66666666666667,40000,"1",2,"VAN-018",0.0367891247044492,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2722","exp191115_1_C03",28.026662271627,1152,0.400073791960502,213,-0.00197910983838847,993,0.000618435745710964,1319.67681593285,0.400073791960502,1152,"exp191115","C03","C",3.5,40000,"1",2,"VAN-019",0.0310092796828126,FALSE,FALSE,FALSE,0,0,0,FALSE,"188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2723","exp191115_1_B10",10.5832014961531,525,0.156909397457559,185,-0.0206180387097185,633,0.000303980712795508,2994.40065103259,0.127010320553982,1152,"exp191115","B10","B",8,40000,"1",2,"VAN-020",0.0300619432443366,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2724","exp191115_1_B01",46.2172637537028,1105,0.337540365930353,134,0.0601123476530754,299,0.000830165632971131,987.549950702411,0.335990507975567,1152,"exp191115","B01","B",2.66666666666667,40000,"1",2,"VAN-021",0.063828460030555,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2725","exp191115_1_B05",103.664677479926,1074,0.84654021676311,118.8,0.0446497593807389,369.6,0.00199330280037518,354.3754436666,0.843910617786308,1152,"exp191115","B05","B",2.8,40000,"1",2,"VAN-022",0.0376675985553351,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2726","exp191115_1_F05",19.0526172075809,1091.33333333333,0.415834764541231,249.333333333333,-0.0688998569540139,724.666666666667,0.000896182319621021,873.912763120198,0.409861444675086,1152,"exp191115","F05","F",5.88888888888889,40000,"1",2,"VAN-023",0.0371323416776692,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2727","exp191115_1_A08",32.7378836749293,1124.25,0.527646670022656,215.25,-0.0155411293114679,711,0.000926930499256544,1244.98440879266,0.525601930105956,1152,"exp191115","A08","A",7.625,40000,"1",1.875,"VAN-023",0.0710521969092665,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein"
"BPH2728","exp190831_2_A03",128.02071883954,805.333333333333,1.22065223211152,155.333333333333,-0.0538001228552964,437.333333333333,0.00424364876363909,181.134716604596,0.929458009374361,1152,"exp190831","A03","A",7.33333333333333,40000,"2",2,"VAN-024",0.0663974414224687,FALSE,FALSE,FALSE,0,0.00690846286701209,0.00460564191134139,FALSE,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2729","exp190831_2_C10",15.1857425530593,1060.66666666667,0.250830842717468,186.666666666667,-0.0614575432466345,619.333333333333,0.000637292026337448,1138.0307206053,0.242140425462381,1152,"exp190831","C10","C",8.11111111111111,40000,"2",2,"VAN-024",0.0703282851623391,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD"
"BPH2730","exp190831_2_B02",134.809605474021,744.666666666667,1.23968645981879,156,-0.0229891805132904,440.666666666667,0.00436945096371868,175.04240064678,0.919771822140807,1152,"exp190831","B02","B",3.11111111111111,40000,"2",2,"VAN-024",0.058762206521503,FALSE,FALSE,FALSE,0,0.00518134715025907,0,FALSE,"45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA
