row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3742,BPH3413,BPH3356,BPH3403,JE2,BPH3417,BPH3370,BPH3748,BPH3738,BPH3434,BPH3376,BPH3435
B,BPH3744,BPH3366,BPH3744,BPH3413,BPH3745,Non infected,BPH3417,BPH3401,BPH3403,BPH3743,BPH3415,BPH3413
C,BPH3376,BPH3389,BPH3742,BPH3744,BPH3415,BPH3741,BPH3382,BPH3737,BPH3737,BPH3362,BPH3738,TOX-4
D,BPH3748,BPH3743,BPH3738,BPH3381,BPH3401,Non infected,BPH3356,BPH3417,BPH3372,BPH3381,BPH3435,BPH3743
E,TOX-4,BPH3741,BPH3739,BPH3381,Non infected,BPH3741,JE2,BPH3368,BPH3372,BPH3403,BPH3370,BPH3739
F,BPH3745,BPH3739,BPH3431,BPH3742,BPH3746,BPH3746,BPH3431,BPH3368,BPH3372,BPH3434,JE2,BPH3748
G,BPH3415,BPH3745,BPH3366,BPH3389,BPH3746,BPH3431,BPH3401,BPH3368,BPH3434,BPH3382,BPH3356,BPH3737
H,JE2,BPH3389,BPH3366,BPH3370,BPH3382,BPH3376,BPH3362,BPH3435,BPH3362,Complete lysis,Complete lysis,Complete lysis
