

User: USER,,,,,,,,,,,,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,,,,,,,,,,,,
Test ID: 6951,,,,,,,,,,,,,,
Test Name: Growth/Leila,,,,,,,,,,,,,,
Date: 30/08/2019,,,,,,,,,,,,,,
Time: 10:42:35 AM,,,,,,,,,,,,,,
ID1: plate 2 VANANZ  ON diluted 1 in 10 pbs,,,,,,,,,,,,,,
ID2: 19-08-29,,,,,,,,,,,,,,
ID3: OD600 PBS,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,



,Blank corrected based on Raw Data (600),,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,Average of all blanks used
A,0.52800000000000002,0.79500000000000004,0.71,0.78600000000000003,0.001,0.55000000000000004,0.63600000000000001,0.53300000000000003,0.65100000000000002,0.59,0.41599999999999998,0.60199999999999998,,
B,0.57699999999999996,0.56899999999999995,0.497,0.53700000000000003,0.59199999999999997,0.49399999999999999,0.52100000000000002,0.54300000000000004,0.64400000000000002,0.45100000000000001,0.36599999999999999,0.66500000000000004,,
C,0.38900000000000001,0.71199999999999997,0.379,0.435,0.35799999999999998,0.42699999999999999,0.39900000000000002,0.46300000000000002,0.47199999999999998,0.38100000000000001,0.45400000000000001,0.51300000000000001,,
D,0.52500000000000002,0.41899999999999998,0.504,0.38300000000000001,0.46800000000000003,0.49399999999999999,0.41899999999999998,0.45600000000000002,0.38600000000000001,0.373,0.41299999999999998,0.441,,
E,0.44400000000000001,0.45900000000000002,0.54200000000000004,0.39500000000000002,0.46200000000000002,0.46400000000000002,-0.0006,0.38200000000000001,0.45900000000000002,0.497,0.39900000000000002,0.64800000000000002,,
F,0.63300000000000001,0.56799999999999995,0.36699999999999999,0.439,0.42399999999999999,0.36399999999999999,0.38700000000000001,0.433,0.442,0.46300000000000002,0.44800000000000001,0.47,,
G,0.40799999999999997,0.437,0.53400000000000003,0.51800000000000002,0.45400000000000001,0.40200000000000002,0.40899999999999997,0.41399999999999998,0.48799999999999999,0.44600000000000001,0.46500000000000002,0.60799999999999998,,
H,0.001,0.62,0.54600000000000004,0.54,0.56499999999999995,0.35499999999999998,0.41399999999999998,0.47599999999999998,0.36099999999999999,,,,,
