well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp191129_5_H02,169.42891655828572,768,1.461469957232978,180,0.05223768199868756,444,0.005100275061938761,1080,-7.060431018921948e-4,exp191129,H02,H,02,40000,5,BPH2821,3,VAN-095,12,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H03,162.17199405317947,510,1.4326156841261461,102,-0.005884754907455708,312,0.006445409224869775,666,-0.001527968881223742,exp191129,H03,H,03,40000,5,BPH2814,2,VAN-090,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H04,38.641702285825225,1152,0.5128705873029682,162,-0.02179840736098977,612,8.770290815552322e-4,0,-5.358711474395955e-4,exp191129,H04,H,04,40000,5,BPH2816,3,VAN-091,15,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H05,117.89602304406199,756,0.9899952385374357,90,0.03804867686659969,510,0.002344256497594442,1002,-5.232769796478658e-4,exp191129,H05,H,05,40000,5,BPH2820,3,VAN-094,5,0,NA,0,TRUE,0,2,FALSE,-0.5,Persistent,3,paired-invasive,cmpD / pckA
exp191129_5_H06,102.00120795392554,1152,1.086353928387013,108,-0.024362324919712155,504,0.0019966959746932403,0,-3.7402014887886174e-4,exp191129,H06,H,06,40000,5,BPH2818,1,VAN-093,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H07,169.7580375395198,570,1.4234399135545897,114,-0.004831969283039486,330,0.005937868253259901,732,-0.0011189909833990385,exp191129,H07,H,07,40000,5,BPH2813,2,VAN-090,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H08,63.15526853745596,930,0.5406699372158715,162,0.012552743164254957,408,0.0014194189545180989,0,-5.771481471337353e-4,exp191129,H08,H,08,40000,5,BPH2830,2,VAN-103,-,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H10,390.5954283591173,78,2.4797409891594597,1152,1.7880946038865089,0,0.002605108316942162,168,-0.002047258616324081,exp191129,H10,H,10,40000,5,Complete lysis,1,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H11,374.95883664753666,72,2.465868689154688,1152,1.694051460327114,0,0.002316998313207752,156,-0.002658833343428516,exp191129,H11,H,11,40000,5,Complete lysis,2,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191129_5_H12,336.7573871028345,90,2.087782707432758,1152,1.5420347586341174,0,0.0016629860033302024,198,-0.0013491216303515297,exp191129,H12,H,12,40000,5,Complete lysis,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A02,54.501189551376534,1152,0.7163707956558093,192,0.043702574527349464,726,0.00097954391893167775,0,-7.977712729075291e-4,exp191130,A02,A,02,40000,5,BPH2824,3,VAN-098,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A03,147.09378034572399,576,1.1509609205362388,96,0.0914015566997684,306,0.003929766349843271,888,-8.612715392521223e-4,exp191130,A03,A,03,40000,5,BPH2812,1,VAN-090,1,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A04,26.709749465920385,1152,0.19589445531739863,168,0.06379022189321694,324,3.039493313795102e-4,0,-7.54275712814681e-4,exp191130,A04,A,04,40000,5,BPH2823,1,VAN-097,78,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A05,21.57380073801138,1152,0.1419873998424948,156,0.08629073790474431,696,9.139552611676725e-5,0,-6.087497773091463e-4,exp191130,A05,A,05,40000,5,TOX-4,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A06,23.19746552729053,1152,0.24262954460964076,144,0.04372747015656877,1104,2.780977063750843e-4,0,-5.833671656322696e-4,exp191130,A06,A,06,40000,5,BPH2827,1,VAN-100,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191130_5_A07,96.97501942126014,1152,1.0739656133067481,162,0.0803106487726334,660,0.0016958869824648868,0,-5.74688901475065e-4,exp191130,A07,A,07,40000,5,BPH2816,2,VAN-091,15,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
