lineage,wald_test,p_value
MDS4,6.993726156703259,2.6767477123712524e-12
MDS3,5.2870820383507,1.2428291040755826e-7
MDS1,3.615721544820313,2.9951219554891e-4
MDS7,3.115679585930512,0.00183521563077748
MDS6,2.462943174383194,0.01378017541826603
MDS2,1.607504073640461,0.10794383650491944
MDS9,1.4239382627773696,0.1544643443622169
MDS5,1.2016327595069265,0.22950584328202428
MDS8,0.7196396176018864,0.4717469126944853
MDS10,0.2089904773266021,0.834455672473204
