sample_id	sample_id2	phensim
zero	zero	-50.2525
1	1	-0.069283
2	2	6.99351
3	3	-39.9642
4	4	-14.7218
5	5	-9.65853
6	6	6.10011
7	7	-15.0224
8	8	-33.0255
9	9	-6.95335
10	10	1.54867
11	11	-3.42143
12	12	5.78941
13	13	-37.0162
14	14	-12.7464
15	15	25.9019
16	16	-17.9495
17	17	12.4967
18	18	37.2937
19	19	-14.5456
20	20	-6.13382
21	21	34.1106
22	22	-1.9414
23	23	-28.0485
24	24	-6.49528
25	25	-1.30495
26	26	-11.8306
27	27	25.305
28	28	-15.0644
29	29	4.52115
30	30	23.4053
31	31	28.2801
32	32	-15.4017
33	33	-18.3768
34	34	-8.09114
35	35	5.47562
36	36	-28.4006
37	37	-3.74736
38	38	3.38503
39	39	-13.6003
40	40	-7.02525
41	41	-0.0494245
42	42	-4.63224
43	43	15.4106
44	44	-11.1677
45	45	-9.94612
46	46	7.80133
47	47	34.5401
48	48	27.2574
49	49	9.49033
50	50	8.27959
51	51	-2.73019
52	52	-10.6872
53	53	-30.2264
54	54	17.6019
55	55	-15.805
56	56	-51.8394
57	57	2.61932
58	58	20.7817
59	59	-6.5056
60	60	-4.80084
61	61	17.5655
62	62	-32.8317
63	63	3.01699
64	64	2.14565
65	65	16.461
66	66	2.94047
67	67	22.37
68	68	-5.95488
69	69	-35.5347
70	70	-12.0196
71	71	-0.00395679
72	72	41.7651
73	73	-12.3428
74	74	3.33691
75	75	25.5293
76	76	11.5483
77	77	-7.08755
78	78	10.274
79	79	2.43733
80	80	2.24065
81	81	30.8764
82	82	5.20692
83	83	-11.2453
84	84	23.297
85	85	-0.383822
86	86	10.6171
87	87	-8.46455
88	88	-14.2168
89	89	9.41668
90	90	-32.5047
91	91	31.8979
92	92	47.4208
93	93	-22.5855
94	94	-37.8046
95	95	33.2377
96	96	6.38393
97	97	-48.7494
98	98	-5.5264
99	99	0.424271
100	100	-11.0567
101	101	1.98608
102	102	2.56268
103	103	-0.290097
104	104	32.2095
105	105	0.880667
106	106	12.157
107	107	8.00473
108	108	28.3306
109	109	-7.23509
110	110	-24.4662
111	111	-19.5143
112	112	6.64837
113	113	6.02261
114	114	28.1823
115	115	0.134822
116	116	18.6698
117	117	7.13481
118	118	-13.5642
119	119	-14.4912
120	120	11.7928
121	121	-14.9811
122	122	-36.4141
123	123	-2.14645
124	124	-3.5655
125	125	31.3919
126	126	9.50486
127	127	9.22108
128	128	-37.1116
129	129	23.5221
130	130	18.8658
131	131	-19.9364
132	132	8.42048
133	133	13.6593
134	134	3.91425
135	135	-4.02955
136	136	-9.99987
137	137	-7.85414
138	138	-15.3727
139	139	23.0863
140	140	7.53717
141	141	8.01696
142	142	12.2911
143	143	-24.0828
144	144	28.1345
145	145	20.3294
