well,sample_id,replicate,plate_number,plan
D05,BPH3702,2,GP7,1
D06,Non infected,2,GP1,1
D06,Non infected,2,GP2,1
D06,TOX-4,2,GP3,1
D06,Non infected,2,GP4,1
D06,Non infected,2,GP5,1
D06,Non infected,2,GP6,1
D06,Non infected,2,GP7,1
D07,BPH2787,2,GP1,1
D07,BPH2922,2,GP2,1
D07,BPH3226,2,GP3,1
D07,BPH3356,2,GP4,1
D07,BPH3437,2,GP5,1
D07,BPH3529,2,GP6,1
D07,BPH3672,2,GP7,1
D08,BPH2881,3,GP1,1
D08,BPH2966,3,GP2,1
D08,BPH3292,3,GP3,1
D08,BPH3417,3,GP4,1
D08,BPH3482,3,GP5,1
D08,BPH3636,3,GP6,1
D08,BPH3754,3,GP7,1
D09,BPH2802,3,GP1,1
D09,BPH2946,3,GP2,1
D09,BPH3258,3,GP3,1
D09,BPH3372,3,GP4,1
D09,BPH3460,3,GP5,1
D09,BPH3584,3,GP6,1
D09,BPH3688,3,GP7,1
D10,BPH2807,1,GP1,1
D10,BPH2948,1,GP2,1
D10,BPH3262,1,GP3,1
D10,BPH3381,1,GP4,1
D10,BPH3463,1,GP5,1
D10,BPH3590,1,GP6,1
D10,BPH3694,1,GP7,1
D11,BPH2884,1,GP1,1
D11,BPH2975,1,GP2,1
D11,BPH3316,1,GP3,1
D11,BPH3435,1,GP4,1
D11,BPH3493,1,GP5,1
D11,BPH3643,1,GP6,1
D11,Non infected,1,GP7,1
D12,BPH2907,3,GP1,1
D12,BPH3202,3,GP2,1
D12,BPH3348,3,GP3,1
D12,BPH3743,3,GP4,1
D12,BPH3524,3,GP5,1
D12,BPH3662,3,GP6,1
D12,JE2,4,GP7,2
E01,Non infected,1,GP1,1
E01,TOX-4,1,GP2,1
E01,Non infected,1,GP3,1
E01,TOX-4,1,GP4,1
E01,TOX-4,1,GP5,1
E01,TOX-4,1,GP6,1
E01,NEB agrA,1,GP7,2
E02,BPH2897,2,GP1,1
E02,BPH2990,2,GP2,1
E02,BPH3340,2,GP3,1
E02,BPH3741,2,GP4,1
E02,BPH3511,2,GP5,1
E02,BPH3658,2,GP6,1
E02,Non infected,2,GP7,1
E03,BPH2891,2,GP1,1
E03,BPH2989,2,GP2,1
E03,BPH3338,2,GP3,1
E03,BPH3739,2,GP4,1
E03,BPH3508,2,GP5,1
E03,BPH3652,2,GP6,1
E03,Non infected,2,GP7,1
E04,BPH2807,2,GP1,1
E04,BPH2948,2,GP2,1
E04,BPH3262,2,GP3,1
E04,BPH3381,2,GP4,1
E04,BPH3463,2,GP5,1
E04,BPH3590,2,GP6,1
E04,BPH3694,2,GP7,1
E05,Non infected,1,GP1,1
E05,Non infected,1,GP2,1
E05,TOX-4,1,GP3,1
E05,Non infected,1,GP4,1
E05,Non infected,1,GP5,1
E05,Non infected,1,GP6,1
E05,Non infected,1,GP7,1
E06,BPH2897,1,GP1,1
E06,BPH2990,1,GP2,1
E06,BPH3340,1,GP3,1
E06,BPH3741,1,GP4,1
E06,BPH3511,1,GP5,1
E06,BPH3658,1,GP6,1
E06,NEB agrA,4,GP7,2
E07,Non infected,1,GP1,1
E07,JE2,1,GP2,1
E07,Non infected,1,GP3,1
E07,JE2,1,GP4,1
E07,JE2,1,GP5,1
E07,JE2,1,GP6,1
E07,Non infected,1,GP7,1
E08,BPH2800,2,GP1,1
E08,BPH2925,2,GP2,1
E08,BPH3246,2,GP3,1
E08,BPH3368,2,GP4,1
E08,BPH3457,2,GP5,1
E08,BPH3548,2,GP6,1
E08,BPH3684,2,GP7,1
E09,BPH2802,2,GP1,1
E09,BPH2946,2,GP2,1
E09,BPH3258,2,GP3,1
E09,BPH3372,2,GP4,1
E09,BPH3460,2,GP5,1
E09,BPH3584,2,GP6,1
E09,BPH3688,2,GP7,1
E10,BPH2873,3,GP1,1
E10,BPH2960,3,GP2,1
E10,BPH3274,3,GP3,1
E10,BPH3403,3,GP4,1
E10,BPH3477,3,GP5,1
E10,BPH3628,3,GP6,1
E10,BPH3704,3,GP7,1
E11,BPH2801,1,GP1,1
E11,BPH2926,1,GP2,1
E11,BPH3250,1,GP3,1
E11,BPH3370,1,GP4,1
E11,BPH3459,1,GP5,1
E11,BPH3568,1,GP6,1
E11,BPH3686,1,GP7,1
E12,BPH2891,3,GP1,1
E12,BPH2989,3,GP2,1
E12,BPH3338,3,GP3,1
E12,BPH3739,3,GP4,1
E12,BPH3508,3,GP5,1
E12,BPH3652,3,GP6,1
E12,Non infected,3,GP7,1
F01,Non infected,1,GP1,1
F01,BPH3208,1,GP2,1
F01,BPH3735,1,GP3,1
F01,BPH3745,1,GP4,1
F01,BPH3749,1,GP5,1
F01,BPH3666,1,GP6,1
F01,Non infected,1,GP7,1
F02,BPH2891,1,GP1,1
F02,BPH2989,1,GP2,1
F02,BPH3338,1,GP3,1
F02,BPH3739,1,GP4,1
F02,BPH3508,1,GP5,1
F02,BPH3652,1,GP6,1
F02,Non infected,1,GP7,1
F03,BPH2882,2,GP1,1
F03,BPH2973,2,GP2,1
F03,BPH3294,2,GP3,1
F03,BPH3431,2,GP4,1
F03,BPH3485,2,GP5,1
F03,BPH3638,2,GP6,1
F03,BPH3755,2,GP7,1
F04,BPH2898,1,GP1,1
F04,BPH2991,1,GP2,1
F04,BPH3346,1,GP3,1
F04,BPH3742,1,GP4,1
F04,BPH3523,1,GP5,1
F04,BPH3660,1,GP6,1
F04,Non infected,1,GP7,1
F05,TOX-4,2,GP1,1
F05,BPH3216,2,GP2,1
F05,BPH3736,2,GP3,1
F05,BPH3746,2,GP4,1
F05,BPH3750,2,GP5,1
F05,BPH3668,2,GP6,1
F05,Non infected,2,GP7,1
F06,TOX-4,1,GP1,1
F06,BPH3216,1,GP2,1
F06,BPH3736,1,GP3,1
F06,BPH3746,1,GP4,1
F06,BPH3750,1,GP5,1
F06,BPH3668,1,GP6,1
F06,JE2,2,GP7,2
F07,BPH2882,3,GP1,1
F07,BPH2973,3,GP2,1
F07,BPH3294,3,GP3,1
F07,BPH3431,3,GP4,1
F07,BPH3485,3,GP5,1
F07,BPH3638,3,GP6,1
F07,BPH3755,3,GP7,1
F08,BPH2800,3,GP1,1
F08,BPH2925,3,GP2,1
F08,BPH3246,3,GP3,1
F08,BPH3368,3,GP4,1
F08,BPH3457,3,GP5,1
F08,BPH3548,3,GP6,1
F08,BPH3684,3,GP7,1
F09,BPH2802,1,GP1,1
F09,BPH2946,1,GP2,1
F09,BPH3258,1,GP3,1
F09,BPH3372,1,GP4,1
F09,BPH3460,1,GP5,1
F09,BPH3584,1,GP6,1
F09,BPH3688,1,GP7,1
F10,BPH2883,2,GP1,1
F10,BPH2974,2,GP2,1
F10,BPH3304,2,GP3,1
F10,BPH3434,2,GP4,1
F10,BPH3489,2,GP5,1
F10,BPH3640,2,GP6,1
F10,JE2,2,GP7,1
F11,Non infected,3,GP1,1
F11,JE2,4,GP2,1
F11,Non infected,3,GP3,1
F11,JE2,4,GP4,1
F11,JE2,4,GP5,1
F11,JE2,4,GP6,1
F11,Non infected,3,GP7,1
F12,Non infected,2,GP1,1
F12,BPH3220,2,GP2,1
F12,JE2,2,GP3,1
F12,BPH3748,2,GP4,1
F12,BPH3751,2,GP5,1
F12,BPH3670,2,GP6,1
F12,Non infected,2,GP7,1
G01,BPH2877,2,GP1,1
G01,BPH2964,2,GP2,1
G01,BPH3284,2,GP3,1
G01,BPH3415,2,GP4,1
G01,BPH3481,2,GP5,1
G01,BPH3634,2,GP6,1
G01,BPH3753,2,GP7,1
G02,Non infected,2,GP1,1
G02,BPH3208,2,GP2,1
G02,BPH3735,2,GP3,1
G02,BPH3745,2,GP4,1
G02,BPH3749,2,GP5,1
G02,BPH3666,2,GP6,1
G02,Non infected,2,GP7,1
G03,BPH2799,3,GP1,1
G03,BPH2924,3,GP2,1
G03,BPH3244,3,GP3,1
G03,BPH3366,3,GP4,1
G03,BPH3443,3,GP5,1
G03,BPH3547,3,GP6,1
G03,BPH3682,3,GP7,1
G04,BPH2869,2,GP1,1
G04,BPH2953,2,GP2,1
G04,BPH3270,2,GP3,1
G04,BPH3389,2,GP4,1
G04,BPH3469,2,GP5,1
G04,BPH3602,2,GP6,1
G04,BPH3700,2,GP7,1
G05,JE2,4,GP1,1
G05,BPH3216,3,GP2,1
G05,BPH3736,3,GP3,1
G05,BPH3746,3,GP4,1
G05,BPH3750,3,GP5,1
G05,BPH3668,3,GP6,1
G05,NEB agrA,3,GP7,2
G06,BPH2882,1,GP1,1
G06,BPH2973,1,GP2,1
G06,BPH3294,1,GP3,1
G06,BPH3431,1,GP4,1
G06,BPH3485,1,GP5,1
G06,BPH3638,1,GP6,1
G06,BPH3755,1,GP7,1
G07,BPH2872,1,GP1,1
G07,BPH2959,1,GP2,1
G07,BPH3272,1,GP3,1
G07,BPH3401,1,GP4,1
G07,BPH3473,1,GP5,1
G07,BPH3612,1,GP6,1
G07,BPH3702,1,GP7,1
G08,BPH2800,1,GP1,1
G08,BPH2925,1,GP2,1
G08,BPH3246,1,GP3,1
G08,BPH3368,1,GP4,1
G08,BPH3457,1,GP5,1
G08,BPH3548,1,GP6,1
G08,BPH3684,1,GP7,1
G09,BPH2883,1,GP1,1
G09,BPH2974,1,GP2,1
G09,BPH3304,1,GP3,1
G09,BPH3434,1,GP4,1
G09,BPH3489,1,GP5,1
G09,BPH3640,1,GP6,1
G09,JE2,1,GP7,1
G10,BPH2808,2,GP1,1
G10,BPH2952,2,GP2,1
G10,BPH3268,2,GP3,1
G10,BPH3382,2,GP4,1
G10,BPH3465,2,GP5,1
G10,BPH3596,2,GP6,1
G10,BPH3696,2,GP7,1
G11,BPH2787,3,GP1,1
G11,BPH2922,3,GP2,1
G11,BPH3226,3,GP3,1
G11,BPH3356,3,GP4,1
G11,BPH3437,3,GP5,1
G11,BPH3529,3,GP6,1
G11,BPH3672,3,GP7,1
G12,BPH2888,3,GP1,1
G12,BPH2987,3,GP2,1
G12,BPH3320,3,GP3,1
G12,BPH3737,3,GP4,1
G12,BPH3499,3,GP5,1
G12,BPH3648,3,GP6,1
G12,JE2,4,GP7,1
H01,Non infected,2,GP1,1
H01,JE2,2,GP2,1
H01,Non infected,2,GP3,1
H01,JE2,2,GP4,1
H01,JE2,2,GP5,1
H01,JE2,2,GP6,1
H01,Non infected,2,GP7,1
H02,BPH2869,3,GP1,1
H02,BPH2953,3,GP2,1
H02,BPH3270,3,GP3,1
H02,BPH3389,3,GP4,1
H02,BPH3469,3,GP5,1
H02,BPH3602,3,GP6,1
H02,BPH3700,3,GP7,1
H03,BPH2799,2,GP1,1
H03,BPH2924,2,GP2,1
H03,BPH3244,2,GP3,1
H03,BPH3366,2,GP4,1
H03,BPH3443,2,GP5,1
H03,BPH3547,2,GP6,1
H03,BPH3682,2,GP7,1
H04,BPH2801,3,GP1,1
H04,BPH2926,3,GP2,1
H04,BPH3250,3,GP3,1
H04,BPH3370,3,GP4,1
H04,BPH3459,3,GP5,1
H04,BPH3568,3,GP6,1
H04,BPH3686,3,GP7,1
H05,BPH2808,3,GP1,1
H05,BPH2952,3,GP2,1
H05,BPH3268,3,GP3,1
H05,BPH3382,3,GP4,1
H05,BPH3465,3,GP5,1
H05,BPH3596,3,GP6,1
H05,BPH3696,3,GP7,1
H06,BPH2803,1,GP1,1
H06,BPH2947,1,GP2,1
H06,BPH3260,1,GP3,1
H06,BPH3376,1,GP4,1
H06,BPH3462,1,GP5,1
H06,BPH3588,1,GP6,1
H06,BPH3692,1,GP7,1
H07,BPH2798,2,GP1,1
H07,BPH2923,2,GP2,1
H07,BPH3236,2,GP3,1
H07,BPH3362,2,GP4,1
H07,BPH3439,2,GP5,1
H07,BPH3545,2,GP6,1
H07,BPH3674,2,GP7,1
H08,BPH2884,2,GP1,1
H08,BPH2975,2,GP2,1
H08,BPH3316,2,GP3,1
H08,BPH3435,2,GP4,1
H08,BPH3493,2,GP5,1
H08,BPH3643,2,GP6,1
H08,JE2,3,GP7,2
H09,BPH2798,1,GP1,1
H09,BPH2923,1,GP2,1
H09,BPH3236,1,GP3,1
H09,BPH3362,1,GP4,1
H09,BPH3439,1,GP5,1
H09,BPH3545,1,GP6,1
H09,BPH3674,1,GP7,1
H10,Complete lysis,1,GP1,1
H10,Complete lysis,1,GP2,1
H10,Complete lysis,1,GP3,1
H10,Complete lysis,1,GP4,1
H10,Complete lysis,1,GP5,1
H10,Complete lysis,1,GP6,1
H10,Complete lysis,1,GP7,1
H11,Complete lysis,2,GP1,1
H11,Complete lysis,2,GP2,1
H11,Complete lysis,2,GP3,1
H11,Complete lysis,2,GP4,1
H11,Complete lysis,2,GP5,1
H11,Complete lysis,2,GP6,1
H11,Complete lysis,2,GP7,1
H12,Complete lysis,3,GP1,1
H12,Complete lysis,3,GP2,1
H12,Complete lysis,3,GP3,1
H12,Complete lysis,3,GP4,1
H12,Complete lysis,3,GP5,1
H12,Complete lysis,3,GP6,1
H12,Complete lysis,3,GP7,1
