lineage	wald_test	p-value
MDS4	6.993726156703259	2.6767477123712524e-12
MDS3	5.2870820383507	1.2428291040755823e-07
MDS1	3.615721544820313	0.0002995121955489122
MDS7	3.1156795859305118	0.001835215630777487
MDS6	2.462943174383194	0.013780175418266039
MDS2	1.6075040736404613	0.10794383650491945
MDS9	1.4239382627773696	0.1544643443622169
MDS5	1.2016327595069263	0.22950584328202428
MDS8	0.7196396176018864	0.4717469126944853
MDS10	0.2089904773266021	0.834455672473204
