well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
E11,14646,0,E,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_E11,NE1166,NEBRASKA
E12,15006,0,E,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_E12,NE369,NEBRASKA
F01,14368,0,F,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_F01,NE581,NEBRASKA
F02,13593,0,F,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_F02,NE369,NEBRASKA
F03,13555,0,F,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_F03,NE186,NEBRASKA
F04,14055,0,F,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_F04,NE46,NEBRASKA
F05,13930,0,F,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_F05,NE66,NEBRASKA
F06,13593,0,F,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_F06,NE66,NEBRASKA
F07,13887,0,F,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_F07,NE186,NEBRASKA
F08,14310,0,F,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_F08,NE1140,NEBRASKA
F09,14404,0,F,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_F09,NE117,NEBRASKA
F10,13468,0,F,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_F10,NE188,NEBRASKA
F11,12828,0,F,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_F11,Non infected,CONTROL
F12,15284,0,F,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_F12,NE704,NEBRASKA
G01,14493,0,G,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_G01,NE1671,NEBRASKA
G02,14060,0,G,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_G02,NE581,NEBRASKA
G03,14664,0,G,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_G03,NE1020,NEBRASKA
G04,14135,0,G,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_G04,NE1462,NEBRASKA
G05,14121,0,G,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_G05,NE66,NEBRASKA
G06,13715,0,G,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_G06,NE186,NEBRASKA
G07,14168,0,G,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_G07,NE1532,NEBRASKA
G08,14644,0,G,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_G08,NE1140,NEBRASKA
G09,15016,0,G,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_G09,NE188,NEBRASKA
G10,13846,0,G,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_G10,NE1380,NEBRASKA
G11,14789,0,G,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_G11,JE2,CONTROL
G12,14931,0,G,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_G12,NE214,NEBRASKA
H01,15404,0,H,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_H01,NE743,NEBRASKA
H02,14825,0,H,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_H02,NE1462,NEBRASKA
H03,16090,0,H,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_H03,NE1020,NEBRASKA
H04,14884,0,H,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_H04,NE1166,NEBRASKA
