sample_id	sample_id2	phensim
zero	zero	-8.58328
1	1	-25.883
2	2	5.87022
3	3	-48.1882
4	4	6.49537
5	5	-11.1105
6	6	11.7714
7	7	-18.0915
8	8	-16.2551
9	9	33.612
10	10	-46.2755
11	11	-35.1413
12	12	11.3952
13	13	0.97252
14	14	-28.9785
15	15	7.81726
16	16	-45.2896
17	17	15.7134
18	18	-20.6126
19	19	14.22
20	20	2.26653
21	21	-22.72
22	22	-0.227181
23	23	-57.0645
24	24	-4.51906
25	25	-12.4734
26	26	31.3431
27	27	-31.1727
28	28	13.8951
29	29	-13.2325
30	30	-24.6551
31	31	21.9747
32	32	36.1676
33	33	-7.67506
34	34	4.84697
35	35	6.81812
36	36	-1.42472
37	37	-32.3768
38	38	28.4415
39	39	-9.14521
40	40	-15.5838
41	41	22.3523
42	42	-15.4246
43	43	-26.1585
44	44	-9.41695
45	45	-34.7935
46	46	13.2953
47	47	28.3121
48	48	-17.4716
49	49	15.8151
50	50	30.5754
51	51	-0.511887
52	52	-27.6614
53	53	-20.3999
54	54	-26.5771
55	55	-8.09033
56	56	27.3763
57	57	-13.1161
58	58	-8.49406
59	59	6.00905
60	60	9.98162
61	61	18.8102
62	62	46.0665
63	63	-14.5256
64	64	28.622
65	65	-13.2435
66	66	-4.64048
67	67	0.76489
68	68	-13.7779
69	69	-12.2807
70	70	-25.2399
71	71	34.0937
72	72	-18.69
73	73	40.1361
74	74	59.426
75	75	-7.331
76	76	16.1431
77	77	9.4021
78	78	-6.62772
79	79	-16.9047
80	80	-33.1832
81	81	-2.36622
82	82	-4.25952
83	83	-19.5606
84	84	-0.270569
85	85	-1.16562
86	86	33.1749
87	87	16.7891
88	88	-0.39385
89	89	28.1761
90	90	-21.2204
91	91	8.52806
92	92	20.8489
93	93	4.87028
94	94	-58.1069
95	95	-3.57619
96	96	-38.269
97	97	-22.4978
98	98	-25.9212
99	99	42.0308
100	100	-9.76027
101	101	21.4187
102	102	5.91953
103	103	26.9988
104	104	-22.2481
105	105	50.0574
106	106	-16.0746
107	107	26.961
108	108	25.4064
109	109	-36.291
110	110	28.6728
111	111	29.7233
112	112	-0.581023
113	113	-28.8227
114	114	8.59689
115	115	-22.5441
116	116	-24.1344
117	117	6.91541
118	118	-14.6554
119	119	10.2334
120	120	2.64516
121	121	-29.0865
122	122	-26.5581
123	123	0.263479
124	124	-26.6638
125	125	-5.05884
126	126	-0.263645
127	127	-3.463
128	128	-4.66474
129	129	17.4116
130	130	40.7553
131	131	-11.9347
132	132	32.2138
133	133	-23.0696
134	134	10.9637
135	135	7.12891
136	136	-7.18602
137	137	8.02145
138	138	20.3777
139	139	-22.4949
140	140	-34.5655
141	141	-8.04236
142	142	31.5448
143	143	-2.4159
144	144	-3.64441
145	145	-14.4979
146	146	16.8535
147	147	29.8942
148	148	-32.6309
149	149	-23.5253
150	150	-11.5338
151	151	38.974
152	152	-25.3502
153	153	-8.71488
154	154	-16.1345
155	155	3.75055
156	156	19.3749
157	157	-18.36
158	158	23.7157
159	159	-20.3417
160	160	13.4099
161	161	28.162
162	162	9.4029
163	163	-25.3625
164	164	3.47921
165	165	-40.0238
166	166	15.2951
167	167	-10.5016
168	168	-17.4736
169	169	-7.97193
170	170	-12.3546
171	171	13.0013
172	172	-11.5972
173	173	53.5612
174	174	-21.9901
175	175	-33.9901
176	176	-31.5636
177	177	38.8847
178	178	14.9172
179	179	19.0964
180	180	5.49952
181	181	-10.3101
182	182	-4.12467
183	183	49.3992
184	184	24.3809
185	185	34.251
186	186	19.0573
187	187	3.56523
188	188	-26.47
189	189	24.8545
190	190	-59.7208
191	191	-56.5024
192	192	-11.5135
193	193	22.8743
194	194	2.42803
195	195	15.8453
196	196	-14.5927
197	197	41.3727
198	198	33.2884
199	199	1.81207
200	200	19.2825
201	201	17.1696
202	202	-22.9108
203	203	1.22136
204	204	28.9877
205	205	44.7583
206	206	0.468334
207	207	21.4922
208	208	-24.3936
209	209	7.9087
210	210	-14.9676
211	211	20.6999
212	212	13.985
213	213	-2.04399
214	214	19.1898
215	215	-25.6424
216	216	-51.5867
217	217	-10.5543
218	218	-31.9722
219	219	-20.0641
220	220	-15.2915
221	221	3.75196
222	222	-12.3589
223	223	-19.6161
224	224	-2.88425
225	225	-9.69617
226	226	-1.81302
227	227	52.5127
228	228	-16.6148
229	229	11.3983
230	230	-19.3264
231	231	-30.1355
232	232	4.09449
233	233	-14.1692
234	234	-25.7425
235	235	-4.08887
236	236	8.64437
237	237	30.7317
238	238	-13.9496
239	239	8.78249
240	240	-34.7662
241	241	16.9021
242	242	0.874747
243	243	-8.21671
244	244	-5.76953
245	245	55.4385
246	246	20.0328
247	247	-27.7695
248	248	45.3567
249	249	2.72988
250	250	60.4534
251	251	-11.1459
252	252	21.5575
253	253	28.4219
254	254	39.679
255	255	6.41066
256	256	-24.9702
257	257	49.6784
258	258	-8.36482
259	259	4.52744
260	260	10.6385
261	261	-12.4843
262	262	-25.6556
263	263	17.6517
264	264	19.8972
265	265	-5.04941
266	266	10.215
267	267	31.6147
268	268	51.5913
269	269	-3.71001
270	270	-3.76238
271	271	2.62014
272	272	-0.915629
273	273	3.97388
274	274	-0.35432
275	275	53.4945
276	276	49.3332
277	277	-7.50034
278	278	-15.3204
279	279	-36.297
280	280	-5.13735
281	281	-22.9707
282	282	33.8949
283	283	-21.8004
284	284	-14.1586
285	285	24.4398
286	286	-45.4089
287	287	10.8258
288	288	4.06775
289	289	31.4707
290	290	22.0021
291	291	-7.55514
292	292	-6.31503
293	293	15.4906
294	294	-0.180902
295	295	-27.4309
296	296	47.6008
297	297	-19.3091
298	298	21.959
299	299	53.8649
300	300	3.98848
301	301	-21.7711
302	302	-71.6821
303	303	9.65259
304	304	-13.5518
305	305	4.99215
306	306	12.1692
307	307	4.88932
308	308	-29.1745
309	309	-0.678239
310	310	-8.52903
311	311	-6.29798
312	312	18.9472
313	313	-37.6759
314	314	52.2746
315	315	-22.173
316	316	-3.33446
317	317	-25.0654
318	318	-6.03369
319	319	5.39057
320	320	11.0062
321	321	-30.3481
322	322	-22.7185
323	323	-3.47682
324	324	-6.64265
325	325	-37.3485
326	326	3.11469
327	327	-23.8169
328	328	-7.87553
329	329	10.4131
330	330	-15.9383
331	331	40.1155
332	332	28.2018
333	333	7.60203
334	334	40.3601
335	335	14.4201
336	336	-33.9611
337	337	-1.21985
338	338	-0.915169
339	339	-0.163193
340	340	34.1157
341	341	33.3603
342	342	4.11139
343	343	41.0001
344	344	58.9469
345	345	-7.07342
346	346	-1.87977
347	347	-3.6482
348	348	10.7798
349	349	31.4309
350	350	23.05
351	351	-32.6737
352	352	-9.05736
353	353	2.55356
354	354	5.87298
355	355	-29.7286
356	356	11.5848
357	357	-28.5757
358	358	17.6678
359	359	36.2816
360	360	-9.43522
361	361	11.4434
362	362	3.50523
363	363	7.28003
364	364	-20.3269
365	365	-10.2477
366	366	-8.49378
367	367	-2.77731
368	368	5.99954
369	369	-17.3901
370	370	-33.7111
371	371	-7.65761
372	372	20.1084
373	373	-33.0639
374	374	-22.1686
375	375	12.5068
376	376	-38.0334
377	377	-21.7261
378	378	1.41724
379	379	-19.7987
380	380	-28.9477
381	381	-25.798
382	382	17.4486
383	383	-12.3269
384	384	-22.163
385	385	-17.8402
386	386	32.625
387	387	23.7743
388	388	-30.0578
389	389	20.7879
390	390	-39.24
391	391	7.79139
392	392	-1.1862
393	393	-26.5202
394	394	-3.98187
395	395	-5.80242
396	396	-0.624154
397	397	-47.1966
398	398	-15.9228
399	399	-8.78542
400	400	-13.7232
401	401	55.1005
402	402	-34.2211
403	403	16.5281
404	404	10.9759
405	405	25.8585
406	406	43.3083
407	407	-0.570966
408	408	-21.5586
409	409	56.1252
410	410	6.61321
411	411	-20.5736
412	412	33.1391
413	413	-16.6977
414	414	-5.92376
415	415	-16.9864
416	416	47.4412
417	417	-6.19613
418	418	-32.4274
419	419	-39.3322
420	420	35.942
421	421	3.31048
422	422	25.4022
423	423	53.1568
424	424	21.7081
425	425	29.9493
426	426	16.5965
427	427	-10.1864
428	428	-0.733405
429	429	-19.1984
430	430	-11.4806
431	431	5.5225
432	432	-0.473977
433	433	8.61892
434	434	29.8328
435	435	27.4382
436	436	16.4751
437	437	-7.04709
438	438	-2.34847
439	439	-14.8372
440	440	-5.67866
441	441	16.1735
442	442	-25.5486
443	443	-29.7293
444	444	-36.947
445	445	-11.6007
446	446	15.0241
447	447	-21.492
448	448	14.7228
449	449	20.9184
450	450	7.86542
451	451	-4.50073
452	452	-3.99374
453	453	5.85816
454	454	20.1457
455	455	-19.9452
456	456	-3.5364
457	457	-4.52543
458	458	-14.9445
459	459	33.6156
460	460	34.9863
461	461	-0.0385962
462	462	-15.6754
463	463	14.0607
464	464	-4.03927
465	465	2.49946
466	466	-44.8939
467	467	8.29809
468	468	-1.1745
469	469	2.53325
470	470	3.3068
471	471	-6.5096
472	472	-1.85208
473	473	10.4348
474	474	-18.1697
475	475	41.0126
476	476	18.442
477	477	-4.46701
478	478	-17.4058
479	479	1.92238
480	480	32.0738
481	481	-3.24671
482	482	-15.3411
483	483	25.4684
484	484	3.73298
485	485	1.58747
486	486	-9.88614
487	487	-39.7572
488	488	8.77262
489	489	7.28588
490	490	-12.77
491	491	-27.232
492	492	-24.6278
493	493	-16.7787
494	494	15.7677
495	495	-21.5851
496	496	-33.8995
497	497	-38.6749
498	498	-0.544376
499	499	-22.0367
500	500	-11.0004
501	501	-19.8791
502	502	-19.6681
503	503	-21.5282
504	504	-5.77098
505	505	13.3042
506	506	12.9054
507	507	21.9127
508	508	-32.4911
509	509	3.30981
510	510	4.69009
511	511	-3.21264
512	512	4.96577
513	513	-2.31386
514	514	10.1719
515	515	17.9126
516	516	1.72397
517	517	12.0143
518	518	-9.94776
519	519	39.8631
520	520	-8.37903
521	521	14.0384
522	522	-11.5152
523	523	-19.2514
