well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.055,TRUE,exp191107,2,exp191107_2_A01,275,BPH2750,2,VAN-040
A01,A,1,0.065,TRUE,exp191107,2,exp191107_2_A01,280,BPH2750,2,VAN-040
A01,A,1,0.072,TRUE,exp191107,2,exp191107_2_A01,285,BPH2750,2,VAN-040
A01,A,1,0.081,TRUE,exp191107,2,exp191107_2_A01,290,BPH2750,2,VAN-040
A01,A,1,0.094,TRUE,exp191107,2,exp191107_2_A01,295,BPH2750,2,VAN-040
A01,A,1,0.114,TRUE,exp191107,2,exp191107_2_A01,300,BPH2750,2,VAN-040
A01,A,1,0.122,TRUE,exp191107,2,exp191107_2_A01,305,BPH2750,2,VAN-040
A01,A,1,0.142,TRUE,exp191107,2,exp191107_2_A01,310,BPH2750,2,VAN-040
A01,A,1,0.165,TRUE,exp191107,2,exp191107_2_A01,315,BPH2750,2,VAN-040
A01,A,1,0.178,TRUE,exp191107,2,exp191107_2_A01,320,BPH2750,2,VAN-040
A01,A,1,0.203,TRUE,exp191107,2,exp191107_2_A01,325,BPH2750,2,VAN-040
A01,A,1,0.232,TRUE,exp191107,2,exp191107_2_A01,330,BPH2750,2,VAN-040
A01,A,1,0.274,TRUE,exp191107,2,exp191107_2_A01,335,BPH2750,2,VAN-040
A01,A,1,0.284,TRUE,exp191107,2,exp191107_2_A01,340,BPH2750,2,VAN-040
A01,A,1,0.329,TRUE,exp191107,2,exp191107_2_A01,345,BPH2750,2,VAN-040
A01,A,1,0.361,TRUE,exp191107,2,exp191107_2_A01,350,BPH2750,2,VAN-040
A01,A,1,0.386,TRUE,exp191107,2,exp191107_2_A01,355,BPH2750,2,VAN-040
A01,A,1,0.426,TRUE,exp191107,2,exp191107_2_A01,360,BPH2750,2,VAN-040
A01,A,1,0.458,TRUE,exp191107,2,exp191107_2_A01,365,BPH2750,2,VAN-040
A01,A,1,0.497,TRUE,exp191107,2,exp191107_2_A01,370,BPH2750,2,VAN-040
A01,A,1,0.524,TRUE,exp191107,2,exp191107_2_A01,375,BPH2750,2,VAN-040
A01,A,1,0.56,TRUE,exp191107,2,exp191107_2_A01,380,BPH2750,2,VAN-040
A01,A,1,0.568,TRUE,exp191107,2,exp191107_2_A01,385,BPH2750,2,VAN-040
A01,A,1,0.617,TRUE,exp191107,2,exp191107_2_A01,390,BPH2750,2,VAN-040
A01,A,1,0.633,TRUE,exp191107,2,exp191107_2_A01,395,BPH2750,2,VAN-040
A01,A,1,0.651,TRUE,exp191107,2,exp191107_2_A01,400,BPH2750,2,VAN-040
A01,A,1,0.683,TRUE,exp191107,2,exp191107_2_A01,405,BPH2750,2,VAN-040
A01,A,1,0.706,TRUE,exp191107,2,exp191107_2_A01,410,BPH2750,2,VAN-040
A01,A,1,0.737,TRUE,exp191107,2,exp191107_2_A01,415,BPH2750,2,VAN-040
A01,A,1,0.758,TRUE,exp191107,2,exp191107_2_A01,420,BPH2750,2,VAN-040
A01,A,1,0.776,TRUE,exp191107,2,exp191107_2_A01,425,BPH2750,2,VAN-040
A01,A,1,0.789,TRUE,exp191107,2,exp191107_2_A01,430,BPH2750,2,VAN-040
A01,A,1,0.817,TRUE,exp191107,2,exp191107_2_A01,435,BPH2750,2,VAN-040
A01,A,1,0.838,TRUE,exp191107,2,exp191107_2_A01,440,BPH2750,2,VAN-040
A01,A,1,0.854,TRUE,exp191107,2,exp191107_2_A01,445,BPH2750,2,VAN-040
A01,A,1,0.858,TRUE,exp191107,2,exp191107_2_A01,450,BPH2750,2,VAN-040
A01,A,1,0.87,TRUE,exp191107,2,exp191107_2_A01,455,BPH2750,2,VAN-040
A01,A,1,0.895,TRUE,exp191107,2,exp191107_2_A01,460,BPH2750,2,VAN-040
A01,A,1,0.893,TRUE,exp191107,2,exp191107_2_A01,465,BPH2750,2,VAN-040
A01,A,1,0.89,TRUE,exp191107,2,exp191107_2_A01,470,BPH2750,2,VAN-040
A01,A,1,0.92,TRUE,exp191107,2,exp191107_2_A01,475,BPH2750,2,VAN-040
A01,A,1,0.927,TRUE,exp191107,2,exp191107_2_A01,480,BPH2750,2,VAN-040
A01,A,1,0.919,TRUE,exp191107,2,exp191107_2_A01,485,BPH2750,2,VAN-040
