well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
D04,17138,0,D,04,exp191129,40000,5,exp191129_5_D04,BPH2819,3,VAN-094
D05,17284,0,D,05,exp191129,40000,5,exp191129_5_D05,BPH2822,2,VAN-096
D06,17257,0,D,06,exp191129,40000,5,exp191129_5_D06,JE2,2,CONTROL
D07,16940,0,D,07,exp191129,40000,5,exp191129_5_D07,BPH2812,2,VAN-090
D08,16979,0,D,08,exp191129,40000,5,exp191129_5_D08,BPH2827,3,VAN-100
D09,17086,0,D,09,exp191129,40000,5,exp191129_5_D09,BPH2817,3,VAN-092
D10,17472,0,D,10,exp191129,40000,5,exp191129_5_D10,BPH2819,1,VAN-094
D11,16961,0,D,11,exp191129,40000,5,exp191129_5_D11,BPH2830,1,VAN-103
D12,17368,0,D,12,exp191129,40000,5,exp191129_5_D12,BPH2836,3,VAN-107
E01,16947,0,E,01,exp191129,40000,5,exp191129_5_E01,Blank,1,NA
E02,17347,0,E,02,exp191129,40000,5,exp191129_5_E02,BPH2834,2,VAN-105
E03,17210,0,E,03,exp191129,40000,5,exp191129_5_E03,BPH2833,2,VAN-104
E04,17042,0,E,04,exp191129,40000,5,exp191129_5_E04,BPH2819,2,VAN-094
E05,17073,0,E,05,exp191129,40000,5,exp191129_5_E05,JE2,1,CONTROL
E06,16635,0,E,06,exp191129,40000,5,exp191129_5_E06,BPH2834,1,VAN-105
E07,16459,0,E,07,exp191129,40000,5,exp191129_5_E07,TOX-4,1,CONTROL
E08,16582,0,E,08,exp191129,40000,5,exp191129_5_E08,BPH2815,2,VAN-090
E09,16849,0,E,09,exp191129,40000,5,exp191129_5_E09,BPH2817,2,VAN-092
E10,16681,0,E,10,exp191129,40000,5,exp191129_5_E10,BPH2823,3,VAN-097
E11,16790,0,E,11,exp191129,40000,5,exp191129_5_E11,BPH2816,1,VAN-091
E12,16982,0,E,12,exp191129,40000,5,exp191129_5_E12,BPH2833,3,VAN-104
F01,16660,0,F,01,exp191129,40000,5,exp191129_5_F01,BPH2838,1,VAN-109
F02,16650,0,F,02,exp191129,40000,5,exp191129_5_F02,BPH2833,1,VAN-104
F03,16754,0,F,03,exp191129,40000,5,exp191129_5_F03,BPH2828,2,VAN-101
F04,17045,0,F,04,exp191129,40000,5,exp191129_5_F04,BPH2835,1,VAN-106
