sample_id,strain_group
BPH3370-D3,BPH3370-MUTANTS
BPH3370-F3,BPH3370-MUTANTS
BPH3370-G3,BPH3370-MUTANTS
BPH3370-A4,BPH3370-MUTANTS
BPH3370-C4,BPH3370-MUTANTS
BPH3370-D4,BPH3370-MUTANTS
BPH3370-E2,BPH3370-MUTANTS
NE1532,NEBRASKA
NE873,NEBRASKA
NE119,NEBRASKA
NE188,NEBRASKA
NE117,NEBRASKA
NE1140,NEBRASKA
