row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3423,BPH2823,BPH2700,BPH2799,JE2,BPH2866,BPH2728,BPH3751,BPH3208,BPH2876,JE2,BPH2737
B,BPH2896,BPH3660,BPH2718,BPH3660,BPH3750,BPH2823,BPH3750,TOX-4,BPH2866,BPH2798,BPH2799,BPH3434
C,BPH2858,BPH2823,BPH2737,BPH2764,BPH3750,BPH3746,BPH2858,BPH3423,BPH2763,BPH2946,BPH2946,BPH2710
D,BPH3208,Non infected,TOX-4,BPH3434,BPH3306,BPH2738,BPH2798,Non infected,BPH2700,BPH2866,BPH2729,BPH2738
E,BPH2896,BPH3434,Non infected,BPH3382,BPH3306,BPH2738,BPH3382,BPH3208,Non infected,BPH2720,BPH2729,BPH2799
F,BPH2728,BPH3382,BPH3751,TOX-4,BPH2867,Non infected,Non infected,BPH2764,BPH3746,BPH2876,BPH2720,BPH2729
G,BPH2867,BPH3423,JE2,BPH2946,BPH2867,BPH2718,BPH2764,BPH3746,BPH2858,BPH3751,BPH2720,BPH2876
H,BPH2763,BPH2700,BPH2896,BPH3306,BPH2798,BPH2718,BPH2728,BPH2763,BPH2737,BPH2710,BPH3660,BPH2710
