row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3660,BPH3632,BPH3529,BPH3628,JE2,BPH3636,BPH3568,BPH3670,BPH3650,BPH3640,BPH3588,BPH3643
B,BPH3664,BPH3547,BPH3664,BPH3632,BPH3666,Non infected,BPH3636,BPH3612,BPH3628,BPH3662,BPH3634,BPH3632
C,BPH3588,BPH3602,BPH3660,BPH3664,BPH3634,BPH3658,BPH3596,BPH3648,BPH3648,BPH3545,BPH3650,TOX-4
D,BPH3670,BPH3662,BPH3650,BPH3590,BPH3612,Non infected,BPH3529,BPH3636,BPH3584,BPH3590,BPH3643,BPH3662
E,TOX-4,BPH3658,BPH3652,BPH3590,Non infected,BPH3658,JE2,BPH3548,BPH3584,BPH3628,BPH3568,BPH3652
F,BPH3666,BPH3652,BPH3638,BPH3660,BPH3668,BPH3668,BPH3638,BPH3548,BPH3584,BPH3640,JE2,BPH3670
G,BPH3634,BPH3666,BPH3547,BPH3602,BPH3668,BPH3638,BPH3612,BPH3548,BPH3640,BPH3596,BPH3529,BPH3648
H,JE2,BPH3602,BPH3547,BPH3568,BPH3596,BPH3588,BPH3545,BPH3643,BPH3545,Complete lysis,Complete lysis,Complete lysis
