row,01,02,03,04,05,06,07,08,09,10,11,12
A,BPH3287,BPH3277,BPH3265,BPH3276,Non infected,BPH3279,BPH3269,BPH3292,BPH3284,BPH3281,BPH3271,BPH3282
B,BPH3289,BPH3267,BPH3289,BPH3277,BPH3290,TOX-4,BPH3279,BPH3275,BPH3276,BPH3288,BPH3278,BPH3277
C,BPH3271,BPH3274,BPH3287,BPH3289,BPH3278,BPH3286,BPH3273,BPH3283,BPH3283,BPH3266,BPH3284,TOX-5
D,BPH3292,BPH3288,BPH3284,BPH3272,BPH3275,TOX-4,BPH3265,BPH3279,BPH3270,BPH3272,BPH3282,BPH3288
E,TOX-5,BPH3286,BPH3285,BPH3272,TOX-4,BPH3286,Non infected,BPH3268,BPH3270,BPH3276,BPH3269,BPH3285
F,BPH3290,BPH3285,BPH3280,BPH3287,BPH3291,BPH3291,BPH3280,BPH3268,BPH3270,BPH3281,TOX-5,BPH3292
G,BPH3278,BPH3290,BPH3267,BPH3274,BPH3291,BPH3280,BPH3275,BPH3268,BPH3281,BPH3273,BPH3265,BPH3283
H,Non infected,BPH3274,BPH3267,BPH3269,BPH3273,BPH3271,BPH3266,BPH3282,BPH3266,Total LDH,Total LDH,Total LDH
