sample_id	sample_id2	phensim
zero	zero	-11.7217
1	1	-21.9766
2	2	12.5489
3	3	21.482
4	4	5.38749
5	5	8.21076
6	6	-39.1465
7	7	50.7555
8	8	-2.35897
9	9	-33.8406
10	10	-13.5337
11	11	16.0068
12	12	8.30685
13	13	-17.4586
14	14	-0.206151
15	15	-7.90909
16	16	14.3046
17	17	-6.65342
18	18	3.03095
19	19	-12.5646
20	20	-20.4904
21	21	-13.1461
22	22	12.6412
23	23	14.1274
24	24	-23.9731
25	25	-20.1754
26	26	-20.4055
27	27	-3.33035
28	28	-21.2143
29	29	-37.4263
30	30	-30.8177
31	31	-25.4452
32	32	14.3428
33	33	23.205
34	34	-5.55119
35	35	9.80558
36	36	7.55324
37	37	45.6606
38	38	20.0662
39	39	3.13739
40	40	4.605
41	41	-30.39
42	42	18.1557
43	43	-17.3371
44	44	7.13711
45	45	23.9521
46	46	30.7234
47	47	11.0112
48	48	36.0178
49	49	6.88609
50	50	19.8177
51	51	-10.6997
52	52	36.9822
53	53	-16.8033
54	54	4.40707
55	55	38.9644
56	56	-22.5764
57	57	-24.9444
58	58	11.4286
59	59	6.84583
60	60	37.5066
61	61	-34.5449
62	62	10.6619
63	63	1.52476
64	64	-18.8301
65	65	-2.04611
66	66	15.052
67	67	18.9904
68	68	4.75828
69	69	-17.4293
70	70	24.6661
71	71	0.401289
72	72	-6.98034
73	73	46.7348
74	74	27.0056
75	75	-11.8036
76	76	3.88067
77	77	37.3235
78	78	-21.1613
79	79	19.5367
80	80	2.13096
81	81	-24.0817
82	82	-0.220355
83	83	27.5231
84	84	-21.9229
85	85	-12.2981
86	86	10.8101
87	87	3.12066
88	88	20.5148
89	89	-45.7532
90	90	-13.3365
91	91	-0.145082
92	92	-2.99007
93	93	5.0302
94	94	-14.7695
95	95	-5.8564
96	96	-30.1164
97	97	-1.99798
98	98	7.74379
99	99	10.3443
100	100	17.3796
101	101	27.1658
102	102	2.66877
103	103	-12.7301
104	104	-44.1387
105	105	12.4971
106	106	-11.2407
107	107	-1.87708
108	108	17.6128
109	109	19.4182
110	110	29.282
111	111	-24.4265
112	112	-0.613574
113	113	-44.638
114	114	-11.8683
115	115	-5.49118
116	116	-52.5714
117	117	-12.9875
118	118	-10.9972
119	119	29.4811
120	120	23.415
121	121	-30.9712
122	122	-19.1545
123	123	-21.9526
124	124	20.106
125	125	-42.0672
126	126	9.29983
127	127	-15.4255
128	128	-16.3575
129	129	-3.72694
130	130	-10.0083
131	131	-11.7016
132	132	-6.79206
133	133	17.2648
134	134	-23.2545
135	135	-20.5005
136	136	-18.591
137	137	18.6599
138	138	-0.17143
139	139	0.418469
140	140	33.7832
141	141	-48.9747
142	142	64.9404
143	143	16.8943
144	144	28.7797
145	145	-14.3197
146	146	-9.02569
147	147	-7.8596
148	148	-36.4469
149	149	8.76991
150	150	45.4031
151	151	13.3714
152	152	-4.59433
153	153	-27.301
